,Community,School,Return of School Leaders,First Staff Day,First Student Day,Last Day Before Christmas,First Day After Christmas,PD Week,Easter Break,Last Student Day,Last Staff Day,Last Day School Leaders,operations
0,Apex,Nanook School,"August 20, 2020","August 27, 2020","September 1, 2020","December 18, 2020","January 6, 2021","February 15-19, 2021","April 2-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
1,Arctic Bay,Inuujaq School,"August 5, 2020","August 12, 2020","August 17, 2020","December 17, 2020","January 5, 2021","February 15-19, 2021","April 2-9, 2021","June 7, 2021","June 8, 2021","June 10, 2021",Community
2,Clyde River,Quluaq School,"August 12, 2020","August 19, 2020","August 24, 2020","December 16, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 11, 2021","June 14, 2021","June 16, 2021",Community
3,Grise Fiord,Umimmaq School,"August 11, 2020","August 18, 2020","August 20, 2020","December 18, 2019","January 4, 2021","February 8-12, 2021","April 2-5, 2021","June 8, 2021","June 9, 2020","June 11, 2021",Community
4,Igloolik,Ataguttaaluk ElementarySchool,"August 5, 2020","August 12, 2020","August 17, 2020","December 15, 2020","January 4, 2021","February 15-19, 2021","April 2 -9, 2021","June 10, 2021","June 11, 2021","June 15, 2021",Community
5,Igloolik,Sivuniit Middle School,"August 5, 2020","August 12, 2020","August 17, 2020","December 15, 2020","January 4, 2021","February 15-19, 2021","April 2 -9, 2021","June 10, 2021","June 11, 2021","June 15, 2021",Community
6,Igloolik,Igloolik High School,"August 5, 2020","August 12, 2020","August 17, 2020","December 15, 2020","January 4, 2021","February 15-19, 2021","April 2 -9, 2021","June 10, 2021","June 11, 2021","June 15, 2021",Community
7,Iqaluit,Inuksuk High School,"August 22, 2020","August 27, 2020","September 1, 2020","December 18, 2020","January 6, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
8,Iqaluit,Joamie Elementary School,"August 20, 2020","August 27, 2020","September 1, 2020","December 18, 2020","January 6, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
9,Iqaluit,Nakasuk Elementary School,"August 20, 2020","August 27, 2020","September 1, 2020","December 16, 2020","January 4, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
10,Iqaluit,Aqsarniit Middle School,"August 20, 2020","August 27, 2020","September 1, 2020","December 18, 2020","January 6, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
11,Kinngait,Peter Pitseolak High School,"August 11, 2020","August 18, 2020","August 21, 2020","December 16, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 16, 2021","June 17, 2021","June 22, 2021",Community
12,Kinngait,Sam Pudlat ElementarySchool,"August 11, 2020","August 18, 2020","August 21, 2020","December 16, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 16, 2021","June 17, 2021","June 22, 2021",Community
13,Kimmirut,Qaqqalik School,"August 12, 2020","August 17, 2020","August 20, 2020","December 11, 2020","January 6, 2021","February 15-19, 2021","April 1-5, 2021","June 16, 2021","June 17, 2021","June 19, 2021",Community
14,Pangnirtung,Alookie Elementary School,"August 24, 2020","August 31, 2020","September 3, 2020","December 18, 2020","January 4, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
15,Pangnirtung,Attagoyuk High School,"August 24, 2020","August 31, 2020","September 3, 2020","December 18, 2020","January 4, 2021","February 15-19, 2021","April 1-9, 2021","June 25, 2021","June 28, 2021","June 30, 2021",Community
16,Pond Inlet,Nasivvik High School,"August 5, 2020","August 12, 2020","August 17, 2020","December 18, 2020","January 5, 2021","February 15-19, 2021","April 1-5, 2021","June 3, 2021","June 4, 2021","June 8, 2021",Community
17,Pond Inlet,Ulaajuk Elementary School,"August 5, 2020","August 12, 2020","August 17, 2020","December 18, 2020","January 5, 2021","February 15-19, 2021","April 1-5, 2021","June 3, 2021","June 4, 2021","June 8, 2021",Community
18,Qikiqtaruaq,Inuksuit School,"August 12, 2020","August 17, 2020","August 19, 2020","December 18, 2020","January 7, 2021","February 22-26, 2021","April 2-5, 2021","June 10, 2021","June 11, 2021","June 13, 2021",Community
19,Resolute Bay,Qarmartalik School,"August 15, 2020","August 19, 2020","August 24, 2020","December 11, 2020","January 5, 2021","February 15-19, 2021","April 2-5, 2021","June 17, 2021","June 18, 2021","June 22, 2021",Community
