,Pseudo ProgramID,Type of program,Program Name,Program Address,Program City,Postal Code,Phone Number,Capacity,Accreditation Status,Inspection Date,Inspection Reason,Non-Compliance,Regulation-Schedule-Type,Enforcement Action,Remedy Date
0,01CBDCE576D43FEC1C7034AD38112D83,OUT OF SCHOOL CARE PROGRAM,ISHINE CHILDCARE,211 - 47 STREET SE,CALGARY,T2A1N9,4037642298,12,N,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
1,0F9AD84BF1F6DCE62AF64053EED3227E,OUT OF SCHOOL CARE PROGRAM,CALGARY KIDS MONTESSORI ACADEMY LTD.,"#110, 9937 FAIRMOUNT DRIVE SE",CALGARY,T2J0S2,4032575675,15,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
2,12F37FB3356C8AF570CCF3F80F393E66,DAY CARE PROGRAM,METIS CALGARY FAMILY SERVICES SOCIETY LITTLE SUNDANCE CHILDCARE CENTRE,352 SUNVALE DRIVE SE,CALGARY,T2X2P1,4032404642,80,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
3,1A62C1811F48EE2436207D4DD489D84D,DAY CARE PROGRAM,CAMPUS CORNER CHILDREN'S CENTRE,2602 59TH AVE,LLOYDMINSTER,T9V3N7,7808715450,50,Y,2018-10-01,INCIDENT REPORT,,,,
4,1B9959474911059B4575984F8C210C87,DAY CARE PROGRAM,TINY TOTS DAY CARE,7246B 101 AVENUE,EDMONTON,T6A0J1,7804660249,22,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
5,1E147953612479EE3FA8D4ACB88D9B0A,DAY CARE PROGRAM,BRIGHT ADVENTURES DAYCARE LTD.,"#14, 30 COUNTRY HILLS LANDING NW",CALGARY,T3K5P4,4032761274,63,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
6,2504C108CBA3E966618BF4475C4AB007,DAY CARE PROGRAM,SONSHINE DAYCARE,5830 51 STREET,TOFIELD,T0B4J0,7806623415,44,Y,2018-10-01,INSPECTION,,,,
7,3023E9903372FE431C497DC7989C412F,OUT OF SCHOOL CARE PROGRAM,BRIGHT ADVENTURES DAYCARE LTD.,"#14, 30 COUNTRY HILLS LANDING NW",CALGARY,T3K5P4,4032761274,16,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
8,337910A5A81B4C514AF59DFC354A2BE3,OUT OF SCHOOL CARE PROGRAM,SANDSTONE CHILD LEARNING CENTRE,3 SANDSTONE DR. NW,CALGARY,T3K2X2,4032953807,22,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
9,3BBA54FA4FF5E27C66C6745850643C6A,DAY CARE PROGRAM,CANMORE COMMUNITY DAY CARE,606B -  7 AVE,CANMORE,T1W2H5,4036785762,90,Y,2018-10-01,INSPECTION,10(1)(c) - Medication - administered according to labelled directions,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2018-10-10
10,3BBA54FA4FF5E27C66C6745850643C6A,DAY CARE PROGRAM,CANMORE COMMUNITY DAY CARE,606B -  7 AVE,CANMORE,T1W2H5,4036785762,90,Y,2018-10-01,INSPECTION,25(1)(a)(ii) - Core Requirements - each staff member/volunteer provides a current criminal record check to licence holder every 3 years,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2018-10-10
11,4637EF981D8281D25C8EA0E8C58D58AA,DAY CARE PROGRAM,ELLWOOD DAYCARE,204 91 ST SW,EDMONTON,T6X1W8,7807219988,98,Y,2018-10-01,CONSULTATION,2(1) - Day Care Program - program in keeping with needs of children,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2019-01-30
12,497520652B7B6E3F2100E702388FD306,OUT OF SCHOOL CARE PROGRAM,TINY TOTS OUT OF SCHOOL CARE,7246B 101 AVENUE,EDMONTON,T6A0J1,7804660249,30,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
13,4AF0DACD5684302E1EE5AB9AB1C61B9F,PRE-SCHOOL PROGRAM,SONSHINE PRESCHOOL,5830 51 STREET,TOFIELD,T0B4J0,7806623415,19,,2018-10-01,INSPECTION,,,,
14,4B21B28328818E19428A49CAC888B7FA,DAY CARE PROGRAM,CHOICE DAYCARE,5247 55 AVENUE,EDMONTON,T6B3V1,7804696602,68,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
15,4DCA67D33014EECD26254084E8F65982,PRE-SCHOOL PROGRAM,KALYNA KIDS PLAYSCHOOL,11310 51 AVENUE,EDMONTON,T6H0L7,7809198244,54,,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
16,585EAAD77D78ECFB0DA1B79D94971A74,DAY CARE PROGRAM,EDMONTON GARRISON MILITARY FAMILY RESOURCE CENTRE DAYCARE,BLDG 161 MONS AVE/HWY 28A,LANCASTER PARK,T0A2H0,7809734011,80,Y,2018-10-01,INSPECTION,10(1)(a) - Medication - written consent of child's parent,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2018-10-17
17,585EAAD77D78ECFB0DA1B79D94971A74,DAY CARE PROGRAM,EDMONTON GARRISON MILITARY FAMILY RESOURCE CENTRE DAYCARE,BLDG 161 MONS AVE/HWY 28A,LANCASTER PARK,T0A2H0,7809734011,80,Y,2018-10-01,INSPECTION,2(1) - Day Care Program - program in keeping with needs of children,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2018-10-17
18,585EAAD77D78ECFB0DA1B79D94971A74,DAY CARE PROGRAM,EDMONTON GARRISON MILITARY FAMILY RESOURCE CENTRE DAYCARE,BLDG 161 MONS AVE/HWY 28A,LANCASTER PARK,T0A2H0,7809734011,80,Y,2018-10-01,INSPECTION,28(1)(b) - Minimum staffing and general supervision - children at all times supervised,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2018-10-17
19,5B728044DF3D5368EC59A6B5A6ED4530,DAY CARE PROGRAM,LITTLE FEET BIG STEPS DAYCARE,"117/119, 121 TOWN CREST ROAD",FORT SASKATCHEWAN,T8L0G7,7809068542,62,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
20,6EBEE624D463DA91C879415D5F9ADCE8,PRE-SCHOOL PROGRAM,LANCASTER PARK PLAYSCHOOL,BLDG 161 MONS AVE/HWY 28,LANCASTER PARK,T0A2H0,7809734011,24,,2018-10-01,INSPECTION,,,,
21,74404876E3E538F5A13CEE88434FA18F,DAY CARE PROGRAM,ISHINE CHILDCARE,211 - 47 STREET SE,CALGARY,T2A1N9,4037642298,28,N,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,23(1)(a) - Administration Records- particulars of daily attendance of each child including arrival and departure,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2018-10-10
22,76C5AEFD544A8931AE56DE34DCF036ED,PRE-SCHOOL PROGRAM,MUNCHKIN ACADEMY INC.,"#316, 401 COOPERS BLVD. SW",AIRDRIE,T4B4J3,4033053929,30,,2018-10-01,CONSULTATION,,,,
23,78E7D3098729BA0FF1E33B6F2377D8F9,DAY CARE PROGRAM,SANDSTONE CHILD LEARNING CENTRE,3 SANDSTONE DR. NW,CALGARY,T3K2X2,4032953807,58,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
24,791FF20ABE9E080760E69D5033198D86,OUT OF SCHOOL CARE PROGRAM,LITTLE FEET BIG STEPS OUT OF SCHOOL CARE,"117/119, 121 TOWN CREST ROAD",FORT SASKATCHEWAN,T8L0G7,7809068542,14,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
25,7944561F921BB4DD2F5D408012D2B694,PRE-SCHOOL PROGRAM,CANMORE PRESCHOOL,606A - 7 AVENUE,CANMORE,T1W2H5,4036782538,40,,2018-10-01,INSPECTION,,,,
26,7993D782B9AF8002DA135A757F9C4CFA,OUT OF SCHOOL CARE PROGRAM,KREATIVE KIDZ OUT OF SCHOOL CARE,37/67 SIOUX ROAD,SHERWOOD PARK,T8A4C7,7804170991,15,Y,2018-10-01,FOLLOW UP TO ENFORCEMENT ACTION,,,,
27,8A5072308F2ADA8FB0A7A41020013A4E,OUT OF SCHOOL CARE PROGRAM,INNISFAIL SCHOOL AGE PROGRAM,"5152, 5160 AND 5156 - 42 STREET",INNISFAIL,T4G1E9,4033046560,77,Y,2018-10-01,INSPECTION,,,,
28,9230321CAFA73B4C9854CBD4F33B0D48,OUT OF SCHOOL CARE PROGRAM,CAMPUS CORNER CHILDREN'S CENTRE,2602 59 AVE,LLOYDMINSTER,T9V3N7,7808715450,10,N,2018-10-01,INCIDENT REPORT,,,,
