FAC_PARTY_ID,SERVICE_TYPE_CD,NAME,ADDRESS_1,ADDRESS_2,CITY,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE,WEBSITE,EMAIL,OP_WEEKDAY_YN,OP_WEEKEND_YN,OP_STAT_HOLIDAY_YN,OP_OVERNIGHT_YN,OP_EXT_WEEKDAY_BEFORE6AM_YN,OP_EXT_WEEKDAY_AFTER7PM_YN,SRVC_UNDER36_YN,SRVC_30MOS_5YRS_YN,SRVC_LICPRE_YN,SRVC_OOS_KINDER_YN,SRVC_OOS_GR1_AGE12_YN,LANG_CANTONESE_YN,LANG_PUNJABI_YN,LANG_MANDARIN_YN,LANG_FRENCH_YN,LANG_SPANISH_YN,LANG_OTHER_YN,PROVIDE_CD_MEALS,PROVIDE_CD_PICKUP,PRESCHOOL_MORNING_YN,PRESCHOOL_MIDDAY_YN,PRESCHOOL_AFTERNOON_YN,ABORIGINAL_PROGRAMMING_YN,ACCOMMODATE_SPECIAL_NEEDS,ECE_CERTIFICATION_YN,ELF_PROGRAMMING_YN,VACANCY_SRVC_UNDER36,VACANCY_SRVC_30MOS_5YRS,VACANCY_SRVC_LICPRE,VACANCY_SRVC_OOS_GR1_AGE12,VACANCY_LAST_UPDATE,HA_FAC_INSPEC_RPTS,IS_INCOMPLETE_IND,IS_CCFRI_AUTH,IS_DUPLICATE
3586,Licensed Group,Core Education & Fine Arts (3-5 Gdc),2946 Commercial Dr,,Vancouver,V5N 4C9,49.258109,-123.069456,604-879-2332,,accounts@cefa.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2020/10/02,http://www.vch.ca/your_environment/facility_licensing/residential_care/inspection_reports/,N,Y,N
3587,Licensed Group,Circle Of Friends,140 - 8279 Saba Rd,,Richmond,V6Y 4B6,49.169254,-123.132827,604-233-8910,,citycentre@richmond.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,Y,N,2020/09/30,https://inspections.vcha.ca/ChildCare/Table,N,N,N
3588,Licensed Family,Little Stars Daycare,6026 Brantford Ave,,Burnaby,V5E 2R7,49.229155,-122.967365,604-430-9734,,taherehkhoddami@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,N,N,N,2020/09/21,http://www.healthspace.ca/fha/childcare,N,Y,N
3589,Licensed Group,Crayon Box Learning Center,160 - 10811 No. 4 Rd,,Richmond,V7A 2Z5,49.133818,-123.115225,604-275-2332,,richmond@cefa.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2020/09/22,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3590,Licensed Group,Crayon Box Learning Center Inc.,160 - 10811 No. 4 Rd,,Richmond,V7A 2Z5,49.133818,-123.115225,604-275-2332,,richmond@cefa.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2020/09/22,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3591,Licensed Family,Little Jems,3875 203B St,,Langley,V3A 4X1,49.072221,-122.660028,604-825-5465,http://littlejemsplaycenter.weebly.com/,kakn5465@telus.net,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,Y,N,N,2020/10/01,http://www.healthspace.ca/fha/childcare,N,Y,N
3592,Licensed Family,Little Stars Daycare Centre,6150 150B St,,Surrey,V3S 7W9,49.114361,-122.804143,604-592-2526,,amalhi1953@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2020/10/02,http://www.healthspace.ca/fha/childcare,N,Y,N
3593,Licensed Group,Waverley School-Age Care,6111 Elliott,,Vancouver,V5S 2M1,49.227705,-123.055493,604-875-9111,,central@anhbc.org,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2020/10/02,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3594,Licensed Group,Wee Saints School Age,17475 59Th Ave,,Surrey,V3S 1P3,49.109766,-122.739208,604-574-4363,,pbparish@telus.net,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2020/10/03,http://www.healthspace.ca/fha/childcare,N,N,N
3595,Licensed Group,Curiosity Grove,8889 Walnut Grove Dr,,Langley,V1M 2N7,49.163342,-122.641827,604-455-8824,,seby@tol.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
