,Facility Number,Phone,Region,Area,Neighourhood,School Division,Type of Facility,Age Type,Facility Open On,Total Child Care Spaces,Address,Legal Name
0,9804,(204) 726-5522,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
1,9804,(204) 726-5522,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
2,2088,(204) 725-8713,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,56,"Room 249 1430 Victoria Avenue (Ave) E Brandon, MB",Assiniboine Early Learning Centre Inc.
3,9453,(204) 728-4018,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
4,9453,(204) 728-4018,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
5,102392,(204) 724-8569,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
6,102392,(204) 724-8569,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
7,102654,(204) 725-0968,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,15,"451 18th Street Brandon, MB ",BU Early Learning Centre Inc. Site #3
8,1241,(204) 729-8175,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,34,"King George School, Gymnasium 535 B Park Street Brandon, MB",Children's Den Inc.
9,50801,(204) 729-9378,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"38 Sifton Avenue (Ave) Brandon, MB ",Family or Group Child  Care Home *
10,50801,(204) 729-9378,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"38 Sifton Avenue (Ave) Brandon, MB ",Family or Group Child  Care Home *
11,9209,(204) 728-7282,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
12,9209,(204) 728-7282,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
13,9779,(204) 571-6935,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,8,"104 - 1930 1 st Street Brandon, MB ",Community Partnership Committee for Pregnant and Parenting Youth
14,9578,(204) 725-4307,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,"1340 College Avenue (Ave) Brandon, MB ",Debbie Beaudry
15,100054,(204) 727-4699,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
16,100054,(204) 727-4699,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
17,100069,(204) 728-5666,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,"517 21ST Street BRANDON, MB ",Erin Hodgson
18,9392,(204) 720-2268,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,15,"30 Knowlton Drive Brandon, MB ",Fuzzy Bears Inc.
19,1109,(204) 726-5321,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"Gymnasium, Community Room, Daycare 10 Knowlton Drive Brandon, MB",Fuzzy Bears Inc.
20,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
21,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
22,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
23,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
24,50353,(204) 729-0742,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,None,Family or Group Child  Care Home *
