,Unnamed: 0,facility,type,community,agegroups,district,address,operator,num_spaces,age,licence_status
0,0,A 2 Z Learning & Care Centre,Full-time Centre,Minto,Infant,Anglophone West,7  Theatre   Street Minto E4B 3M9 (506) 327-3456,A 2 Z Learning & Care Centre Limited,34,"Infant, Preschool, School-age",Active
1,1, petit pas dans mon cole,Full-time Centre,Robertville,Infant,Francophone Nord-Est,1341  chemin   Robertville   Robertville E8K 2V9 (506) 542-2453,CENTRE DE LA PETITE ENFANCE ET FAMILLES,53,"Infant, Preschool",Active
2,2,A PLACE TO GROW CHILDREN'S CENTRE,Full-time Centre,Bathurst,Infant,Anglophone North,205  York   Street Bathurst E2A 1G9 (506) 543-1199,MATHEW SCOTT,30,"Infant, Preschool, School-age",Active
3,3,ABC PLUS,Full-time Centre,Moncton,School-age,Francophone Sud,210  Road   Mill   Moncton E1A 4B1 (506) 857-8999,058626 NB INC.,58,School-age,Active
4,4,Academie Power Play Academy Moncton Campus 1,Part-time Centre,Moncton,School-age,Francophone Sud,1240  Street   Ryan   Moncton E1G 2V6 (506) 854-7529,Power Play Academy Moncton Campus Inc.,60,School-age,Active
5,5,Academie Power Play Academy Moncton Campus 2,Full-time Centre,Moncton,Infant,Anglophone East,1240  Ryan   Street Moncton E1G 2V6 (506) 854-7529,Power Play Academy Moncton Campus Inc.,55,"Infant, Preschool, School-age",Active
6,6,Academie Power Play Academy Moncton Campus 3,Full-time Centre,Moncton,Infant,Francophone Sud,1240  Street   Ryan   Moncton E1G 2V6 (506) 878-1515,Power Play Academy Moncton Campus Inc.,60,"Infant, Preschool, School-age",Active
7,7,ACADMIE POWERPLAY ACADEMY,Full-time Centre,Dieppe,Preschool,Francophone Sud,257  rue   des Erables   Dieppe E1A 9B1 (506) 853-7529,ACADMIE POWER PLAY ACADEMY INC.,60,"Preschool, School-age",Active
8,8,ACADMIE POWERPLAY ACADEMY 2,Full-time Centre,Dieppe,Infant,Francophone Sud,257  rue   des Erables   Dieppe E1A 9B1 (506) 853-7529,ACADMIE POWER PLAY ACADEMY INC.,50,"Infant, Preschool, School-age",Active
9,9,Acorn to Oak Academy,Full-time Centre,Oromocto,Preschool,Anglophone West,62  Miramichi   Road Oromocto E2V 1S2 (506) 357-2618,Tanya Kennedy & Meghan MacDonald,26,"Preschool, School-age",Active
10,10,AFTERSCHOOL ADVENTURE CAMP,Part-time Centre,Riverview,School-age,Anglophone East,50  Runnymeade   Road Riverview E1B 4M7 (506) 387-7070,RIVERVIEW BOYS & GIRLS CLUB INC.,60,School-age,Active
11,11,Alicia's Centre for Education,Part-time Centre,Bedell,School-age,Anglophone West,61  Bull   Road Bedell E7M 3Y2 (506) 328-0088,ALICIA'S CENTRE FOR EDUCATION INC.,15,School-age,Active
12,12,Amanda's House,Home,Douglas,Infant,Anglophone West,18  Hillsleigh   Court Douglas E3G 7Y9 (506) 260-9093,AMANDA NICHOLSON,6,"Infant, Preschool, School-age",Active
13,13,Ami Bee #2,Home,Dunlop,Infant,Francophone Nord-Est,866  chemin   Robertville   Dunlop E8K 2K5 (506) 783-4998,Annie Arseneau,6,"Infant, Preschool, School-age",Active
14,14,Amy's Childcare,Home,Nackawic,Infant,Anglophone West,25  Mcnair   Drive Nackawic E6G 1A2 (506) 608-1736,Amy Levesque,6,"Infant, Preschool, School-age",Active
15,15,ANGELS 'R' WEE,Full-time Centre,Saint John,Infant,Anglophone South,327  Prince West   Street Saint John E2M 1P6 (506) 672-5155,LITTLE ANGELS DAYCARE INC.,52,"Infant, Preschool, School-age",Active
16,16,Angie's Little Peeps Early Learning and Childcare,Full-time Centre,Woodstock,Infant,Anglophone West,115  Maxwell   Street Woodstock E7M 0B6 (506) 328-6724,Angie Gould,60,"Infant, Preschool, School-age",Active
17,17,ANNETTE'S EARLY CHILDHOOD CARE AND DEVELOPMENT CENTRE,Home,Moncton,Infant,Anglophone East,28  Christopher   Crescent Moncton E1G 0A5 (506) 204-4299,ANNETTE SMITH,6,"Infant, Preschool, School-age",Active
18,18,APRES-CLASSE MONTESSORI DIEPPE AFTER SCHOOL,Part-time Centre,Dieppe,School-age,Francophone Sud,733  chemin   Chartersville   Dieppe E1A 1K7 (506) 854-8484,MONTESSORI DIEPPE INC.,49,School-age,Active
19,19,Au pays des merveilles,Full-time Centre,Grand-Barachois,Infant,Francophone Sud,162  chemin   Cormier Village   Grand-Barachois (506) 532-9536,707253 NB Inc.,60,"Infant, Preschool, School-age",Active
20,20,Awesome Blossom Early Learning,Home,Burtts Corner,Infant,Anglophone West,553  104   Route Burtts Corner E6L 2B2 (506) 363-5551,Lynn Morehouse,6,"Infant, Preschool, School-age",Active
21,21,Baby Steps Daycare,Full-time Centre,Oromocto,Infant,Anglophone West,71  D'Amours   Street Oromocto E2V 0G5 (506) 357-5437,Baby Steps Daycare Inc.,60,"Infant, Preschool, School-age",Active
22,22,Back Yard Treasures,Home,Oromocto,Preschool,Anglophone West,61  MacDonald   Avenue Oromocto E2V 1A3 (506) 357-3890,Lisa Richard,9,"Preschool, School-age",Active
23,23,Barrel of Monkey's Daycare,Full-time Centre,Richibucto Road,Infant,Anglophone West,148  Mataya   Drive Richibucto Road E3A 0A6 (506) 454-7510,Barrel of Monkey's Daycare Inc.,60,"Infant, Preschool, School-age",Active
24,24,BEACONSFIELD DISCOVERY DAYCARE,Home,Saint John,Infant,Anglophone South,677  Beaconsfield   Avenue Saint John E2M 2K6 (506) 647-0115,SHANNON JOLIE,6,"Infant, Preschool, School-age",Active
25,25,BELL AIR DAY CARE,Home,Moncton,Infant,Anglophone East,248  Bond   Drive Moncton E1E 4S4 (506) 204-8285,KAREN MOLLINS,6,"Infant, Preschool, School-age",Active
26,26,BENOIT CHILDCARE,Home,Saint John,Infant,Anglophone South,20  Leaman   Court Saint John E2J 1B6 (506) 657-7151,BENOIT CHILDCARE INC.,6,"Infant, Preschool, School-age",Active
27,27,Best Beginnings Preschool and Afterschool Centre,Part-time Centre,Harvey Station,Preschool,Anglophone West,58  Hanselpacker   Road Harvey Station E6K 1A3 (506) 261-9918,SARAH FIANDER,12,"Preschool, School-age",Active
28,28,BGCCC AFTER SCHOOL PROGRAM,Part-time Centre,Dufferin Charlotte Co,School-age,Anglophone South,54  Disher   Lane Dufferin Charlotte Co E3L 3H7 (506) 466-4300,Boys and Girls Club of Charlotte County Inc.,45,School-age,Active
29,29,BGCCC EARLY LEARNING CENTRE,Full-time Centre,Dufferin Charlotte Co,Infant,Anglophone South,54  Disher   Lane Dufferin Charlotte Co E3L 3H7 (506) 466-4314,Boys and Girls Club of Charlotte County Inc.,54,"Infant, Preschool",Active
30,30,Birchwood Preschool,Home,Hanwell,Infant,Anglophone West,23  Lloyd   Street Hanwell E3C 1M4 (506) 206-4455,Holly MacDonald,6,"Infant, Preschool, School-age",Active
31,31,Bluebell Montessori,Full-time Centre,Fredericton,Preschool,Anglophone West,177  Argyle   Street Fredericton E3B 1T6 (506) 454-5558,Jill Walker,27,"Preschool, School-age",Active
32,32,Boulevard Early Learning Centre,Full-time Centre,St. Stephen,Infant,Anglophone South,174  Milltown   Boulevard St. Stephen E3L 1G8 (506) 466-3614,Boulevard Early Learning Centre,48,"Infant, Preschool, School-age",Active
33,33,Boulevard Out of School Club,Part-time Centre,St. Stephen,School-age,Anglophone South,  Milltown   Boulevard St. Stephen E3L 1G8 (506) 466-3614,Boulevard Early Learning Centre,30,School-age,Active
34,34,BOYS AND GIRLS CLUB OF CHARLOTTE COUNTY - BLACKS HARBOUR,Part-time Centre,Blacks Harbour,School-age,Anglophone South,600  Main   Street Blacks Harbour E5H 1C1 (506) 466-4300,Boys and Girls Club of Charlotte County Inc.,19,School-age,Active
35,35,Boys and Girls Club of Charlotte County-Club ASP,Part-time Centre,Dufferin Charlotte Co,School-age,Anglophone South,54  Disher   Lane Dufferin Charlotte Co E3L 3H7 (506) 466-4300,Boys and Girls Club of Charlotte County Inc.,30,School-age,Active
36,36,BOYS AND GIRLS CLUB OF CHARLOTTE COUNTY--MILLTOWN,Full-time Centre,St. Stephen,Preschool,Anglophone South,434  Milltown   Boulevard St. Stephen E3L 1J8 (506) 466-4300,Boys and Girls Club of Charlotte County Inc.,40,"Preschool, School-age",Active
37,37,BRIDGE STREET AFTER SCHOOL ACADEMY,Full-time Centre,Sackville,Preschool,Anglophone East,148  Bridge   Street Sackville E4L 3P7 (506) 536-1066,BRIDGE STREET CHILDREN'S ACADEMY INC.,60,"Preschool, School-age",Active
