,Name,Community,Contact Name,Contact,Street Address,Operating Grant,postal_code,phone,mailing_address,hours_operation,days_operation,months_operation
0,A Home Away From Home Childcare Centre,Brigus,Lisa Harris,lisaharris@hotmail.ca(709) 528-9529,268 Conception Bay Highway,Yes,A1A 1Y7,(709) 754-2962,"P.O. Box 21291  St. John's, NL  A1A 5G6",2:00 p.m. - 6:00 p.m.,Monday - Friday,September - June
1,Activ Time Edu-Care Learning Centre,Conception Bay South,Brenda Hutchings,info@activ-time.ca(709) 834-3534,14 Fowler's Road,No,A2A 1V8,(709) 489-0800,"13-B Price's Avenue Grand Falls-Windsor, NL A2B 1C9",7:30 a.m. - 6:00 p.m.,Monday - Friday,January - December
2,Activ-Time Preschool and Daycare,Conception Bay South,Kimberley Batten,info@activ-time.ca(709) 834-3534,12 Fowler's Road,No,A1A 5C9,(709) 722-9271,"496 Maddox Cove Road Petty Harbour - Maddox Cove, NL  A0A 3H0",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
3,Adventure Place Childcare,Pouch Cove,Jessica Baker,Visit Centre Websiteinfo@adventureplacechildcare.ca(709) 232-6131,13 - 19 Satellite Road,No,A0R 1B0,(709) 282-6812,"P.O. Box 143  Labrador City, NL A2V 2K5",7:45 a.m. - 5:15 p.m.,Monday - Friday,January - December
4,After the Bell School Age Child Care Service,Pasadena,Kaylee Rose,afterthebell.ppc@gmail.com(709) 686-5142,3 Fourth Avenue,Yes,A0A 1J0,(709) 726-5222,"P.O. Box 330  44 Linegar Ave. St. John's, NL  A0A 1J0",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
5,Ajagutak Centre,Hopedale,Tracy Dicker,tracy.dicker@nunatsiavut.com(709) 933-3821,9 American Road,Yes,A1A 0P9,(709) 579-7323,"35 Hebron Way St. John's, NL A1A 0P9",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
6,Apples to Zebras,Mount Pearl,Sherry Smith,applestozebras@outlook.com(709) 221-1411,13 Pleasant Avenue,Yes,A0G 3A0,(709) 535-3131,"P.O. Box 70 Glenwood, NL  A0G 2K0",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
7,Astros Infant Care Centre,Bay Roberts,Bernadine Kent,bernadinekent@nlesd.ca(709) 786-3400,32 Conception Bay Highway,Yes,A2B 1C9,(709) 489-7413,"13B Price's Avenue Grand Falls-Windsor, NL  A2B 1C8",7:30 a.m. - 6:00 p.m.,Monday - Friday,January - December
8,Ballicatter After School Program,Portugal Cove-St. Philip's,Michelle Vokey,ballicatterasp@gmail.com(709) 743-7678,20 Coadys Road,Yes,A1B 4J6,(709) 729-6038,"P.O. Box 8700  Prince Philip Drive St. John's, NL A1B 4J6",7:45 a.m. - 5:30 p.m.,Monday - Friday,January - December
9,Bay Bulls Child Care Centre,Bay Bulls,Marie St. Croix,baybullschildcare@kffrc.com(709) 334-3594,48A Cemetery Lane West,Yes,A0P 1J0,(709) 923-2385,"P.O. Box 130 Happy Valley-Goose Bay, NL A0P 1E0",8:00 a.m. - 5:00 p.m.,Monday - Friday,September - June
