,facility_name,address,city,status,contact,phone
0,Ndilo,none,none,none,none,
1,Dancing Lights Family Day Home,none,Yellowknife,Open,none,
2,Chickadee Childcare,none,Yellowknife,Open,none,
3,Dlne Preschool ,none,Dlne,Open,none,(867) 589-3000
4,Dezona Ka Zue Child Care,none,Fort Liard,Open,none,
5,Ecole St. Joseph  Afterschool Program C,none,Yellowknife,Open,none,
6,Hay River Reserve,none,none,none,none,
7,Aurora Learn and Play Dayhome,none,Yellowknife,Open,none,
8,Ecole St. Joseph  Afterschool Program B,Ecole St. Joseph School,Yellowknife,Open,none,
9,CJBS Child Development Centre ,none,Behchoko,Open,none,(867) 371-4511
10,Ndilo,none,none,none,none,
11,Hay River NT,none,none,none,none,
12,Behchoko,none,none,none,none,
13,Aboriginal Head Start,none,Hay River Reserve,Open,none,(867) 874-6548
14,Dees Day Home ,none,Yellowknife,Open,none,867-446-4833
15,Done Necha-lia Gha Enitl'e Ko  (Ndilo Aboriginal Head Start-3 year old Program) ,none,Ndilo,Open,none,
16,Dlne,none,none,none,none,
17,Dene Ts'eh Ts'udaa K'ehondii Koe Daycare ,none,Hay River Reserve,Open,none,(867) 874-2639
18,Ann's Day Home ,none,Yellowknife,Open,none,867-873-9942
19,Deh Gah Youth Centre Afterschool Program,none,Fort Providence,Open,none,
20,Done Necha-lia Gha Enitl'e Ko  (Ndilo Aboriginal Head Start 4 year old Program) ,none,Ndilo,Open,none,(867) 669-0975
21,Fort Liard,none,none,none,none,
22,Aklavik,none,none,none,none,
23,Hay River,none,none,none,none,
24,Centre for Northern Families Daycare ,none,Yellowknife,Open,none,867-873-2566
25,Inuvik,none,none,none,none,
26,Bright Beginnings Day Home,none,Yellowknife,Open,Amanda Morrison,867-446-3660
27,Arlane's Family Day Home ,10 John Mapes Crescent,Hay River,Open,Arlane Sahugun-Roy,867-874-3096
28,Children First Centre ,none,Inuvik,Open,none,(867) 777-3703
29,AFCHR - Ecole Boreale garde apres ecole,"145 Riverview Drive, Ecole Boreale ",Hay River NT,Open,Sonya Ellert,
30,Fort Providence,none,none,none,none,
31,Dezoah Undaa Etleh Koke Aboriginal Head Start ,none,Fort Providence,Open,none,(867) 699-4010
32,Abacus 123 Family Day Home ,none,Yellowknife,Open,none,(867) 920-7172
33,ABC's Day Home ,none,Yellowknife,Open,none,(867) 445-9834
34,Aklavik Child Development Centre ,none,Aklavik,Open,none,(867) 777-7020
35,Amanda's House Family Day Home,none,Yellowknife,Open,none,(867) 920-2651
36,Yellowknife,none,none,none,none,
37,Garderie Plein Soleil ,48 Taylor Road,Yellowknife,Open,Rachelle Francoeur,867-873-9570 C867-446-7308
38,"Grow, Explore and Learn Family Day Care",none,Yellowknife NT,Open,none,
39,Garderie Plein Soleil Parascolaire C #417,none,Yellowknife,Open,none,
40,Jason Jacobson Youth Centre,none,Tuktoyaktuk,Open,none,
41,Erlinda's Family Day Home ,none,Hay River,Open,none,(867) 874-6285
