Region,Community,Facility/Program,Infants,Preschooler,School age,Address,Postal Code,Phone,Fax,Email
Qikiqtani ,Arctic Bay ,Arctic Bay Aboriginal Head Start ,0,24,0,P.O.Box 189 ,X0A 0A0 ,439-8511 ,439-8512 ,arcticbayheadstart@gmail.com 
Qikiqtani ,Clyde River ,Ilisaqsivik Afterschool Program ,0,0,30,P.O.Box 150 ,X0A 0E0 ,924-6565 ,924-6570 ,
Qikiqtani ,Igloolik ,Igloolik Aboriginal Head Start ,0,24,0,P.O.Box 150 ,X0A 0L0 ,934-8465 ,934-8779 (school) ,igloolikheadstart@yahoo.ca 
Qikiqtani ,Igloolik ,Piruqsiaq Daycare ,7,19,0,P.O.Box 305 ,X0A 0L0 ,934-4055 ,,piruqsiaqdaycare@gmail.com 
Qikiqtani ,Iqaluit ,Aakuluk Daycare ,12,32,0,P.O.Box 1240 ,X0A 0H0 ,979-7766 ,979-0945 ,aakuluk@gmail.com 
Qikiqtani ,Iqaluit ,Butterfly Daycare ,2,3,3,P.O.Box 6051 ,X0A 0H0 ,979-2143 ,,
Qikiqtani ,Iqaluit ,Centre De La Petit Enfance Les Petits Nanooks ,0,16,0,P.O.Box 6028 ,X0A 0H0 ,975-2400 ,975-2401 ,petitsnanooks@ymail.com 
Qikiqtani ,Iqaluit ,Centre De La Petit Enfance Les Petits Nanooks - Francization ,0,14,0,P.O.Box 6028 ,X0A 0H0 ,975-2400 ,975-2401 ,petitsnanooks@ymail.com 
Qikiqtani ,Iqaluit ,Ecole des Trois Soleils - Service de Garde ,0,0,30,P.O.Box 6030 ,X0A 1H0 ,979-5849 ,979-5878 ,adminsdg@csfn.ca 
Qikiqtani ,Iqaluit ,Ecole des Trois Soleils - Service de Garde 2 ,0,0,20,P.O.Box 6030 ,X0A 1H0 ,979-5849 ,979-5878 ,adminsdg@csfn.ca 
Qikiqtani ,Iqaluit ,Ecole des Trois Soleils - Francisation ,0,14,0,P.O.Box 6030 ,X0A 1H0 ,979-5849 ,979-5878 ,adminsdg@csfn.ca 
Qikiqtani ,Iqaluit ,First Steps Daycare ,11,28,0,P.O.Box 1749 ,X0A 0H0 ,979-0505 or 979-3478 ,979-3478 ,firststeps@qiniq.com 
Qikiqtani ,Iqaluit ,Inuksuk Infant Development Centre ,8,16,0,P.O.Box 89 ,X0A 0H0 ,979-3007 ,979-4380 (school) ,inuksukdaycare@outlook.com 
Qikiqtani ,Iqaluit ,Iqaluit Inuktitut Daycare - Tumikuluit Saipaaqivik ,4,16,0,P.O.Box 1629 ,X0A 0H0 ,975-2483 ,975-2503 ,tumikuluit@qiniq.com 
Qikiqtani ,Iqaluit ,Joamie Afterschool Program ,0,0,22,P.O.Box 6039 ,X0A 0H0 ,222-3507 ,979-0004 ,joamieafterschool@hotmail.com 
Qikiqtani ,Iqaluit ,Joamie Afterschool Program 2 ,0,0,20,P.O.Box 6039 ,X0A 0H0 ,222-3507 ,979-0004 ,joamieafterschool@hotmail.com 
Qikiqtani ,Iqaluit ,Kids on the Beach Daycare ,0,24,0,P.O.Box 933 ,X0A 0H0 ,979-0303 ,979-2338 ,kotb@qiniq.com 
Qikiqtani ,Iqaluit ,Kids on the Beach Daycare - 519 ,12,8,0,P.O.Box 933 ,X0A 0H0 ,979-0200 ,979-0212 ,kotb@qiniq.com 
Qikiqtani ,Iqaluit ,Lala's Day Home ,2,3,3,P.O.Box 2373 ,X0A 0H0 ,222-6579 ,,
Qikiqtani ,Iqaluit ,Le Rocher Daycare ,2,4,2,P.O.Box 1945 ,X0A 0H0 ,581-999-3346 ,,lerocherdaycare@gmail.com 
Qikiqtani ,Iqaluit ,Litlle Lamb Day Home ,2,4,2,P.O.Box 1196 ,X0A 0H0 ,975-1442 ,,
Qikiqtani ,Iqaluit ,Pairivik Childcare Society - daycare ,0,16,0,P.O.Box 1029 ,X0A 0H0 ,979-6460 ,979-0728 ,pairivikiq@qiniq.com 
Qikiqtani ,Iqaluit ,Pairivik Childcare Society - Afterschool ,0,0,18,P.O.Box 1029 ,X0A 0H0 ,979-6460 ,979-0728 ,pairivikiq@qiniq.com 
Qikiqtani ,Iqaluit ,Tasiuqtigiit Preschool Program ,0,16,0,P.O.Box 1851 ,X0A 0H0 ,979-6089 ,979-6091 ,Tasiuqtigiit@qiniq.com 
Qikiqtani ,Iqaluit ,Tasiuqtigiit Afterschool Program ,0,0,17,P.O.Box 1851 ,X0A 0H0 ,979-6089 ,979-6091 ,Tasiuqtigiit@qiniq.com 
Qikiqtani ,Iqaluit ,Tundra Buddies Day Care ,20,44,0,P.O.Box 299 ,X0A 0H0 ,979-2834 ,,TundraBuddiesDaycare@gmail.com 
Qikiqtani ,Kimmirut ,Kimmirut Pairivik ,10,16,0,P.O.Box 63 ,X0A 0N0 ,939-2122 ,939-2123 ,kimmirutpairivik@outlook.com 
