,Report Snapshot Date,Licensee Name,Program Type Desc,Region Display Name,CMSM DSSAB Name,Child Care Center Name,Licence Number,Program Option,Original Issue Date,Licence Status,Closure or Termination Date,Language of Service Desc,Street Number,Street Name,Street Type,City,Province,Postal Code,
0,2020-02-29,002350227 Ontario Inc. (Creative Minds Children Services Incorporated),Child Care Centre,Southwest Region,City of Brantford,Creative Minds Children Services,6463,Full Day(6 hours or more in a day),2013-04-15,Inactive,,English,61,Sherwood,Drive,Brantford,ON,N3T 1N7,
1,2020-02-29,002350227 Ontario Inc. (Creative Minds Children Services Incorporated),Child Care Centre,Southwest Region,City of Brantford,Creative Minds children services inc,56690,Full Day(6 hours or more in a day),2016-11-24,Active,,English,5,wade,Avenue,"Brantford, On",ON,N3T 1W8,
2,2020-02-29,002599266 Ontario INC.,Child Care Centre,Central East Region,Regional Municipality of Durham,Durham Montessori School and Daycare,57087,Full Day(6 hours or more in a day),2018-01-08,Active,,English,200,Byron,Street,Whitby,ON,L1N 4P6,
3,2020-02-29,002633409 Ontario Corporation,Child Care Centre,West Region,Regional Municipality of Halton,Western Heights Montessori Academy,57245,Full Day(6 hours or more in a day),2018-08-10,Active,,"English, French",186,Morrison Rd,,Oakville,ON,L4J 4J4,
4,2020-02-29,1.2.3. Look At Me Co-operative Nursery School Inc.,Child Care Centre,Southwest Region,City of Stratford,1.2.3. LOOK AT ME CO-OPERATIVE NURSERY SCHOOL,14085,Half day(Less than 6 hours in a day),1991-12-05,Active,,English,465,Maitland,Avenue,Listowel,ON,N4W 2M7,
5,2020-02-29,100 Acre Wood Preschool,Child Care Centre,North Region,County of Grey,100 Acre Wood Forest Preschool,57860,Full Day(6 hours or more in a day),2019-10-22,Active,,English,316362,3rd Line C,,Heathcote,ON,N0H 1N0,
6,2020-02-29,10018511 CANADA CORP,Child Care Centre,Central North Region,Regional Municipality of York,CUTIES & PATOOTIES,57051,Full Day(6 hours or more in a day),2017-11-14,Active,,English,16655,Yonge,Street,Newmarket,ON,L3X 1V6,
7,2020-02-29,10018511 CANADA CORP,Child Care Centre,Central North Region,Regional Municipality of York,Cuties and Patooties Childcare Center,57763,Full Day(6 hours or more in a day),2019-08-21,Active,,English,16655,Yonge,Street,newmarket,ON,L3X 1V6,
8,2020-02-29,1009999 Ontario Inc,Child Care Centre,Central West Region,Regional Municipality of Peel,JINGBAO Bilingual Children’s Centre,14184,Full Day(6 hours or more in a day),1993-02-12,Inactive,2016-06-27,English,3195,Erindale Station,Road,Mississauga,ON,L5C 1Y5,
9,2020-02-29,10151513 Canada Corp.,Child Care Centre,Central North Region,Regional Municipality of York,Eh to Zed Preschool Canada Early Learning Academy,57558,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2019-02-25,Active,,English,108,Hollidge,Boulevard,AURORA,ON,L4G 8A3,
10,2020-02-29,10197823 CANADA INC,Child Care Centre,Southwest Region,Regional Municipality of Waterloo,Tiny Hoppers Sportsworld,57341,Full Day(6 hours or more in a day),2018-09-14,Active,,English,4341,King,Street,Kitchener,ON,N2P 2E9,
11,2020-02-29,10361631 Canada Inc.,Child Care Centre,West Region,City of Hamilton,Delaware Early learning Centre,57050,Full Day(6 hours or more in a day),2017-11-06,Active,,English,162,Delaware,Avenue,Hamilton,ON,L8M 1V6,
12,2020-02-29,1043282 Ontario Inc. - Markham Montessori School,Child Care Centre,Central North Region,Regional Municipality of York,1043282 Ontario Inc. - Markham Montessori School,19077,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",1997-06-02,Active,,English,6007,16th,Avenue,Markham,ON,L3P 2B2,
13,2020-02-29,1049882,Child Care Centre,North Region,County of Simcoe,LOCOMOTION DAYCARE SOUTH CENTRE,57360,Full Day(6 hours or more in a day),2018-10-14,Active,,English,6670,3RD lINE,,Tottenham,ON,L0G 1W0,
14,2020-02-29,1049882,Child Care Centre,North Region,County of Simcoe,Locomotion Day Care Centre - Full Day,18035,"Full Day(6 hours or more in a day), Before school, After school",1994-09-30,Active,,English,235,Queen,Street,Tottenham,ON,L0G 1W0,
15,2020-02-29,10613916 Canada Inc.,Child Care Centre,East Region,City of Ottawa,Tiny Hoppers Downtown Ottawa,57455,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2018-12-19,Active,,English,360,Lisgar,Street,Ottawa,ON,K1P 5M1,
16,2020-02-29,10619558 Canada Inc,Child Care Centre,West Region,Regional Municipality of Niagara,Toks Christian Daycare,57653,Full Day(6 hours or more in a day),2019-05-07,Active,,English,244,Ontario,Street,ST CATHARINES,ON,L2R 5L5,
17,2020-02-29,10699152 CANADA INC.,Child Care Centre,Central East Region,Regional Municipality of Durham,Kids First Child Care Centre,57770,Full Day(6 hours or more in a day),2019-08-23,Active,,English,1403,King Street East,,Courtice,ON,L1E 2J6,
18,2020-02-29,1092591 Ontario Ltd.,Child Care Centre,Central North Region,Regional Municipality of York,Kids Can Doodle Inc.,4621,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2008-07-29,Active,,English,83,Dunlop,Street,Richmond Hill,ON,L4C 2M6,
19,2020-02-29,109354 Association Canada Inc.,Child Care Centre,East Region,City of Ottawa,Children on the Hill/Les enfants de la colline,4890,Full Day(6 hours or more in a day),1982-08-17,Active,,"English, French",House of C,"Box 904, Confederation Bldg.",,Ottawa,ON,K1A 0A6,
20,2020-02-29,1095686 Ontario Limited,Child Care Centre,Central West Region,Regional Municipality of Peel,Mississauga Montessori Preschool,3300,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2005-09-22,Inactive,2016-04-18,English,5685,Whittle,Road,Mississauga,ON,L4Z 3P8,
