,Name,Address,Operation Hours,Centre Accepts,Contact Name,E-mail,Phone
0,Chances Smart Start - O'leary,"22 BEECHWOOD AV, OLEARY",7:30am - 5:30pm,Not Specified,Krista Gallant,kristagallant@chancesfamily.ca,902-859-3797
1,Chances Smart Start - St Jean,"335 QUEEN ST, CHARLOTTETOWN",7:30am - 5:30pm,"Under 2 Years, 2 Years, 3 Years, 4 Years",Mandeep Chandi,mandeepkaurchandi@chancesfamily.ca,902-892-5417
2,Chances Smart Start - St.jean 2,"335 QUEEN STREET, CHARLOTTETOWN",7:30am - 5:30pm,School Age,Olga Alisic,olgaalisic@chancesfamily.ca,902-892-5474
3,"Chances, Inc","202 RICHMOND STREET, CHARLOTTETOWN",7:30am - 5:30pm,"Under 2 Years, 2 Years, 3 Years, 4 Years",Angela Matheson,angelamatheson@chancesfamily.ca,902-367-0250
4,Child's Play Daycare,"2412 RTE 2, FORTUNE BRIDGE",6:30am - 5:30pm,"2 Years, 3 Years, 4 Years",Norma Brown,normab07@hotmail.com,902-687-4145
5,Creative Child Care,"16 THOMPSON DR, CHARLOTTETOWN",7:30am - 5:30pm,Not Specified,Christa Winters,creativechildcare@hotmail.com,902-566-9930
6,Down To Earth Child Care Inc.,"3377 EAST POINT RD - RTE 16, KINGSBORO",7:00am - 5:00pm,Not Specified,Shelly Manning,downtoearthchildcare1@hotmail.com,902-357-2004
7,Dreams Unlimited,"425 MAPLE AV, SUMMERSIDE",6:30am - 6:00pm,Not Specified,Elizabeth Trenholm,elizabeth@dreamsunlimitedchildcare.com,902-432-3878
8,Eastern Kings Early Learning Academy,"192 MAIN ST, SOURIS",6:45am - 5:30pm,"Under 2 Years, 4 Years, 5 Years",Anne Miller,"annemiller500@gmail.com, karen_picot@outlook.com",902-687-2809
9,Feso Child Essentials Inc,"119 KENT ST., SUITE LL1, BDC, CHARLOTTETOWN",7:30am - 5:30pm,"2 Years, 3 Years, 4 Years, 5 Years, School Age",Oscar Tsai,shenghan3@hotmail.com,902-388-4309
10,All Kids Learning Centre Inc.,"28 KIRKWOOD DRIVE, CHARLOTTETOWN",7:30am - 5:30pm,"2 Years, 3 Years, 4 Years, 5 Years, School Age",Sarah Peng,allkidslearningcentre@gmail.com,902-892-4769
11,Angel Keepers Early Learning Centre,"307 POPLAR AV, SUMMERSIDE",7:15am - 6:00pm,"4 Years, 5 Years, School Age",Leah Newberry,angelkeepers1@yahoo.ca,902-436-8953
12,Appleseed Child Care,"551 MAIN ST, MONTAGUE",7:00am - 5:30pm,Not Specified,Wendy Foote,appleseed@eastlink.ca,902-838-5136
13,Bright Futures Child Development Centre,"7 TRAFALGAR ST, CHARLOTTETOWN",7:15am - 5:30pm,Not Specified,Lynn Arsenault,brightfuturescdc@eastlink.ca,902-370-8282
14,Brilliant Me Academy,"479 RTE 17, LOWER MONTAGUE",7:00am - 5:00pm,"Under 2 Years, 2 Years, 3 Years, 4 Years, 5 Years, School Age",Amy Sheppard,brilliantmeacademy@gmail.com,902-394-5396
15,C U Afterschool,"185 HILLTOP AV, NORTH RUSTICO",2:45pm - 5:30pm,School Age,John Gamble,jngamble@hotmail.com,902-940-0160
16,Centre éducatif Pomme Et Rinette (Francophone),"1596 RTE 124, ABRAMS VILLAGE",7:30am - 5:30pm,"Under 2 Years, 2 Years, 3 Years, 4 Years, 5 Years, School Age",Félicienne Otchoun,pomme.rinette@acpefipe.org,902-854-3323
17,Centre De La Petite Enfance Le Château Des étoiles (Francophone),"861 ROUTE 2, ROLLO BAY",7:30am - 5:30pm,"Under 2 Years, 2 Years, 3 Years, 4 Years, 5 Years, School Age",Melanie Beauparlant,chateau@acpefipe.org,902-687-7345
