,Nom de l'installation,Région administrative,Adresse,Municipalité,Code postal,Téléphone,Télécopieur,Adresse courriel,Type de service de garde,Places totales au permis,Places 17 mois ou moins,Place à contribution réduite,Territoire couvert,Places totales à l'agrément,Nombre de RSG reconnues
0,"CENTRE DE LA PETITE ENFANCE ""LES P'TITS FLOTS"" INC.",1 - Bas-Saint-Laurent,"7, rue Saint-Augustin",Amqui,G5J 3H7,(418) 629-5363,(418) 629-3731,lesptitsflots@globetrotter.net,CPE,47.0,5.0,CR,,,
1,L'ENFANT RIT INC.,1 - Bas-Saint-Laurent,"154, rue Saint-Luc",Causapscal,G0J 1J0,(418) 756-6113,(418) 756-6123,enfantrit@globetrotter.net,CPE,21.0,5.0,CR,,,
2,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS"" INSTALLATION DÉGELIS",1 - Bas-Saint-Laurent,"113, 7e Rue Est",Dégelis,G5T 1Y6,"(418) 854-0255, poste 510",(418) 853-6006,cpe@cpebccalinours.ca,CPE,45.0,5.0,CR,,,
3,CENTRE DE LA PETITE ENFANCE DES CANTONS DE RIVIÈRE DU LOUP,1 - Bas-Saint-Laurent,"10, rue Verreault",L'Isle-Verte,G0L 1K0,(418) 898-2227,(418) 898-2226,cpedescantons@gmail.com,CPE,21.0,5.0,CR,,,
4,LES SERVICES DE GARDE LA FARANDOLE,1 - Bas-Saint-Laurent,"405, 10e Avenue",La Pocatière,G0R 1Z0,(418) 856-1154,(418) 856-1155,cpe@farandole.ca,CPE,42.0,0.0,CR,,,
5,LES SERVICES DE GARDE LA FARANDOLE,1 - Bas-Saint-Laurent,"400, 3e Rue Fraser",La Pocatière,G0R 1Z0,(418) 856-1154,(418) 856-1155,cpe@farandole.ca,CPE,44.0,10.0,CR,,,
6,PETITE ÉCOLE MONTESSORI DE LA POCATIÈRE,1 - Bas-Saint-Laurent,"100, 4è avenue Painchaud",La Pocatière,G0R 1Z0,(418) 856-3012,,montessorilapocatiere@gmail.com,GARD,44.0,0.0,,,,
7,GARDERIE LES MINIS EXPLORATEURS,1 - Bas-Saint-Laurent,"580, rue Saint-Rédempteur",Matane,G4W 1K9,(418) 566-3580,,minis.explorateurs@gmail.com,GARD,70.0,10.0,,,,
8,LA MARMAILLE,1 - Bas-Saint-Laurent,"335, rue de la Gare",Matane,G4W 3J4,(418) 562-2471,(418) 562-1842,dg@cpedelamatanie.ca,CPE,60.0,0.0,CR,,,
9,LES P'TITS LOUPS DE MER,1 - Bas-Saint-Laurent,"210, avenue d'Amours",Matane,G4W 2X7,(418) 566-4794,(418) 562-9410,dg@cpedelamatanie.ca,CPE,68.0,10.0,CR,,,
10,CENTRE DE LA PETITE ENFANCE LES P'TITS MONTOIS,1 - Bas-Saint-Laurent,"69, avenue de la Gare",Mont-Joli,G5H 1N9,(418) 775-4711,(418) 775-8299,montois@globetrotter.net,CPE,60.0,10.0,CR,,,
11,LA PAS-R-AILES,1 - Bas-Saint-Laurent,"1564, boulevard Jacques-Cartier",Mont-Joli,G5H 2V8,(418) 775-4712,(418) 775-8299,montois@globetrotter.net,CPE,8.0,0.0,CR,,,
12,INSTALLATION DE MÉTIS-SUR-MER,1 - Bas-Saint-Laurent,"24, rue du Couvent",Métis-sur-Mer,G0J 1S0,(418) 936-3073,(418) 936-3940,directiongenerale@cpelespinsons.com,CPE,21.0,5.0,CR,,,
13,"CENTRE DE LA PETITE ENFANCE ""LES TROIS COINS""",1 - Bas-Saint-Laurent,"11, chemin Saint-Joseph",Rimouski,G5N 5E2,(418) 735-2342,(418) 735-6024,les3coins@gmail.com,CPE,50.0,0.0,CR,,,
14,CENTRE DE LA PETITE ENFANCE DU VILLAGE DU BIC,1 - Bas-Saint-Laurent,"74, rue Sainte-Cécile du Bic",Rimouski,G0L 1B0,(418) 736-5262,(418) 736-5262,cpebic@cgocable.ca,CPE,47.0,5.0,CR,,,
15,CENTRE DE LA PETITE ENFANCE L'AURORE BORÉALE,1 - Bas-Saint-Laurent,"418, rue Rouer",Rimouski,G5L 6J9,(418) 725-7270,(418) 725-4706,cpeborealedg@cgocable.ca,CPE,40.0,5.0,CR,,,
16,CENTRE PRÉSCOLAIRE BILINGUE DE RIMOUSKI INC.,1 - Bas-Saint-Laurent,"570-A, rue Saint-Germain est",Rimouski,G5L 1G4,(418) 732-8253,,genevieve@cpbr.ca,GARD,30.0,0.0,,,,
17,L'ENFANT DU FLEUVE INC.,1 - Bas-Saint-Laurent,"61, rue Sainte-Marie",Rimouski,G5L 4E1,(418) 722-6717,(418) 732-3155,enfantdufleuve@globetrotter.net,CPE,78.0,10.0,CR,,,
18,L'UNIVERS DES COPAINS,1 - Bas-Saint-Laurent,"290, allée des Ursulines",Rimouski,G5L 2Z9,(418) 722-4644,(418) 722-4656,direction@luniversdescopains.ca,CPE,78.0,10.0,CR,,,
19,L'UNIVERS DES COPAINS 2,1 - Bas-Saint-Laurent,"290, allée des Ursulines",Rimouski,G5L 2Z9,(418) 722-4644,(418) 722-4656,direction@luniversdescopains.ca,CPE,78.0,10.0,CR,,,
