Name,Prov_Terr,City,Address,Age_Groups,Telephone,
Acme Daycare Association,Alberta,Acme,323 Walsh Street Acme AB,Toddler Kindergarten Preschool,403 546 0028,
A Little Peace Of Heaven Dayhome,Alberta,Airdrie,meadowbrook Drive Airdrie AB,Infant Toddler Kindergarten Preschool Schoolage,403-807-7270,
A Place Like Home - The Clubhouse,Alberta,Airdrie,Canals Airdrie AB,Toddler Kindergarten Preschool Schoolage,403.333.9982,
Active Kids Zone,Alberta,Airdrie,Summerfield Close Airdrie AB,Toddler Preschool,4038895749,
Airdrie   Nana's House  (Dayhome) Sagewood,Alberta,Airdrie,2053 Sagewood Manor SW Airdrie AB,Kindergarten Preschool,403 948 0965,
Airdrie Daycare Centre Ltd.,Alberta,Airdrie,Range Road 293 Airdrie AB,Infant Toddler Kindergarten Preschool Schoolage,4039485524,
AIRDRIE HIGH QUALITY APPROVED FAMILY DAY HOME,Alberta,Airdrie,Kingston Cres. SE Airdrie AB,Infant Toddler Kindergarten Preschool,403-874-9921,
Airdrie Prairie Springs Dayhome,Alberta,Airdrie,Prairie Springs Airdrie AB,Infant Toddler Kindergarten Preschool Schoolage,403-980-5678,
Amy's Dayhome,Alberta,Airdrie,55 Sunridge Crescent NW Airdrie AB,Preschool,403-945-9862,
B4 And After School Care,Alberta,Airdrie,293 Canals Circle Airdrie AB,Kindergarten Schoolage,403-945-3738,
Bendall Cattle Dayhome,Alberta,Ashmont,Hwy 36 Ashmont AB,Infant Toddler Preschool,780-227-4027,
Whispering Hills Daycare,Alberta,Athabasca,#2 University Drive Athabasca AB,Infant Toddler Kindergarten Preschool Schoolage,780-675-7946,
Banff Child Care Centre,Alberta,Banff,Box 1454 Banff AB,Infant Toddler Kindergarten Preschool Schoolage,403-762-3339,
Julie's Dayhome,Alberta,Bashaw,53 Street Bashaw AB,Infant Toddler Kindergarten Preschool Schoolage,403-993-6164,
Miss Kate`s Dayhome,Alberta,Beaumont,"50 Rue Montalet, Beaumont AB Beaumont AB",Infant Toddler Kindergarten Preschool Schoolage,780-737-3700,
