SCHOOL_DISTRICT_NUMBER,SCHOOL_DISTRICT_NAME,PROGRAM_NUMBER,PROGRAM_TYPE,FACILITY_NAME,FACILITY_ADDRESS,FACILITY_CITY,FACILITY_POSTAL_CODE,PROGRAM_PHONE_NUMBER,PROGRAM_FAX_NUMBER,LATITUDE,LONGITUDE
62,Sooke,6225163,Early Learning Program,John Muir StrongStart Centre,7179 West Coast Rd,Sooke,,250 642-5472,,48.3707152,-123.7493308
61,Greater Victoria,6125160,Early Learning Program,James Bay StrongStart Centre,140 Oswego St,Victoria,,250 984-7184,,48.4169264,-123.3797007
61,Greater Victoria,6125161,Early Learning Program,Macaulay StrongStart Centre,1010 Wychbury Ave,Victoria,,250 385-3441,,48.42569953,-123.4058081
62,Sooke,6225164,Early Learning Program,Colwood StrongStart Centre,3000 Wishart Rd,Victoria,,250 478-2332,,48.4355824,-123.4859781
62,Sooke,6225064,Early Learning Program,Ruth King StrongStart Centre,2764 Jacklin Rd,Victoria,,250 478-8368,,48.45185831,-123.5052315
61,Greater Victoria,6125287,Early Learning Program,Craigflower StrongStart Centre,2766 Admirals Rd,Victoria,,250 384-8157,,48.45365402,-123.4209289
61,Greater Victoria,6125162,Early Learning Program,View Royal StrongStart Centre,218 Helmcken Rd,Victoria,,250 479-1671,250 744-2389,48.45680523,-123.4368323
62,Sooke,6225289,Early Learning Program,Willway StrongStart Centre,2939 Mt. Wells Dr,Victoria,,250 478-1213,,48.4569408,-123.5485369
62,Sooke,6225288,Early Learning Program,Millstream StrongStart Centre,626 Hoylake Ave,Victoria,,250 478-8348,,48.4659937,-123.496331
61,Greater Victoria,6125062,Early Learning Program,McKenzie StrongStart Centre,4005 Raymond St N,Victoria,,250 386-1408,,48.467218,-123.3917757
63,Saanich,6325291,Early Learning Program,Lochside StrongStart Centre,1145 Royal Oak Dr,Victoria,,250 658-5238,,48.5012461,-123.3606569
63,Saanich,6325165,Early Learning Program,Brentwood StrongStart Centre,7085 Wallace Dr,Brentwood Bay,,250 652-3996,,48.5742041,-123.4467528
63,Saanich,6325065,Early Learning Program,Sidney StrongStart Centre,2281 Henry Ave,Sidney,,250 656-3958,,48.65273065,-123.404997
79,Cowichan Valley,7925305,Early Learning Program,George Bonner StrongStart Centre,3060 Cobble Hill Rd,Mill Bay,,250 743-5571,,48.66743946,-123.5648247
64,Gulf Islands,6425166,Early Learning Program,Fulford StrongStart Centre,203 South Ridge Dr,Salt Spring Island,,250 653-9223,,48.77644035,-123.4474007
79,Cowichan Valley,7925182,Early Learning Program,Khowhemun StrongStart Centre,2918 Cliffs Rd,Duncan,,250 746-7845,,48.77912353,-123.7166817
79,Cowichan Valley,7925074,Early Learning Program,Alexander StrongStart Centre,2471 Beverly St,Duncan,,250 748-3936,,48.78532202,-123.6930599
79,Cowichan Valley,7925026,Early Learning Program,Drinkwater StrongStart Centre,6236 Lane Rd,Duncan,,250 748-9232,,48.79625627,-123.726235
64,Gulf Islands,6425066,Early Learning Program,Salt Spring StrongStart Centre,112 Rainbow Rd,Salt Spring Island,,250 537-9928,,48.85543657,-123.5030303
79,Cowichan Valley,7925205,Early Learning Program,Chemainus StrongStart Centre,3172 Garner St RR 2,Chemainus,,250 246-3522,,48.93045718,-123.7331645
70,Alberni,7025013,Early Learning Program,Ucluelet Community StrongStart Centre,500 Matterson Dr,Ucluelet,,250 726-7793,,48.9376731,-125.5430837
68,Nanaimo-Ladysmith,6825169,Early Learning Program,Ladysmith StrongStart Centre,510 6th Ave,Ladysmith,,250 245-3912,,48.9892065,-123.8252253
51,Boundary,5125054,Early Learning Program,John A. Hutton StrongStart Centre,2575 - 75th Avenue,Grand Forks,,250 442-8275,250 442-5388,49.026,-118.47
53,Southern Okanagan,5325057,Early Learning Program,Osoyoos StrongStart Centre,8507 68 Ave,Osoyoos,,250 495-7248,250 495-2855,49.02891217,-119.4669679
51,Boundary,5125277,Early Learning Program,Dr. D. A. Perley StrongStart Centre,1200 Central Ave,Grand Forks,,250 442-2135,,49.02978409,-118.4501613
34,Abbotsford,3425103,Early Learning Program,Jackson StrongStart Centre,33165 King Rd,Abbotsford,,604 859-5826,,49.0315725,-122.3056471
36,Surrey,3625232,Early Learning Program,Jessie Lee StrongStart Centre,2064 154 St,Surrey,,604 531-8833,,49.03966266,-122.7946006
34,Abbotsford,3425100,Early Learning Program,Godson StongStart Centre,33130 Bevan Ave,Abbotsford,,604 853-8374,604 850-7631,49.04146712,-122.3065724
34,Abbotsford,3425019,Early Learning Program,Alexander StrongStart Centre,2250 Lobban Rd,Abbotsford,,604 859-3107,,49.04270135,-122.2874159
34,Abbotsford,3425102,Early Learning Program,Dormick Park StrongStart Centre,32161 Dormick Ave,Abbotsford,,604 859-3712,604 850-7693,49.04428149,-122.332296
34,Abbotsford,3425225,Early Learning Program,Ten Broeck StrongStart Centre,2580 Stanley St,Abbotsford,,604 850-6657,,49.04973496,-122.3452101
34,Abbotsford,3425101,Early Learning Program,John MacLure StrongStart Centre,2990 Oriole Cres,Abbotsford,,604 853-6450,,49.05645355,-122.3200612
34,Abbotsford,3425226,Early Learning Program,Margaret Stenersen StrongStart Centre,3060 Old Clayburn Rd,Abbotsford,,604 859-3151,604 850-1845,49.0576629,-122.2691363
34,Abbotsford,3425099,Early Learning Program,Terry Fox StrongStart Centre,3071 Babich St,Abbotsford,,604 859-8403,,49.05792263,-122.3013473
35,Langley,3525038,Early Learning Program,Parkside Centennial StrongStart Centre,3300 270 St,Aldergrove,,604 856-7775,,49.0623449,-122.4751392
34,Abbotsford,3425227,Early Learning Program,Dr Thomas A Swift StrongStart Centre,34800 Mierau St,Abbotsford,,604 853-7730,,49.06639568,-122.2601365
34,Abbotsford,3425037,Early Learning Program,Clearbrook StrongStart Centre,3614 Clearbrook Rd,Abbotsford,,604 859-5348,,49.0679343,-122.3365184
34,Abbotsford,3425224,Early Learning Program,Harry Sayers StrongStart Centre,31321 Blueridge Dr,Abbotsford,,604 852-9665,,49.06823222,-122.3560369
93,Conseil scolaire francophone,9325452,Early Learning Program,Franc Depart Sept-sommets StrongStart,2160 St Paul St,Rossland,,250 362-3395,250 362-3374,49.0787415,-117.7956266
20,Trail,2025092,Early Learning Program,Rossland StrongStart Centre,2390 Jubilee St,Rossland,,250 362-7388,,49.0807562,-117.7992667
37,Delta,3725116,Early Learning Program,Port Guichon StrongStart Centre,4381 46A St,Delta,,604 946-0321,,49.0833643,-123.098376
35,Langley,3525230,Early Learning Program,James Hill StrongStart Centre,22144 Old Yale Rd,Langley,,604 530-0251,,49.0841809,-122.6100785
35,Langley,3525106,Early Learning Program,Simonds StrongStart Centre,20190 48 Ave,Langley,,604 530-2361,,49.08911183,-122.6643191
68,Nanaimo-Ladysmith,6825170,Early Learning Program,Cedar StrongStart Centre,2215 Gould Road,Nanaimo,,250 722-2722,250 722-2055,49.0951006,-123.8532511
35,Langley,3525020,Early Learning Program,Nicomekl StrongStart Centre,20050 53 Ave,Langley,,604 533-1468,,49.0979805,-122.6670399
35,Langley,3525229,Early Learning Program,North Otter StrongStart Centre,5370 248 St,Aldergrove,,604 856-3355,,49.09985255,-122.5363721
35,Langley,3525107,Early Learning Program,Douglas Park StrongStart Centre,5409 206 St,Langley,,604 533-4491,,49.1010285,-122.6525768
33,Chilliwack,3325222,Early Learning Program,Unsworth StrongStart Centre,5685 Unsworth Rd,Chilliwack,,604 858-4510,,49.10508001,-121.9990639
36,Surrey,3625233,Early Learning Program,Martha Currie StrongStart Centre,5811 184 St,Surrey,,604 576-8551,,49.10808859,-122.7136052
20,Trail,2025032,Early Learning Program,Fruitvale StrongStart Centre,1867 W Columiba Gdns Rd B580,Fruitvale,,250 367-7541,,49.1119,-117.546
33,Chilliwack,3325036,Early Learning Program,Watson StrongStart Centre,45305 Watson Rd,Chilliwack,,604 703-1738,,49.11216282,-121.9705868
36,Surrey,3625234,Early Learning Program,George Greenaway StrongStart Centre,17285 61A Ave,Surrey,,604 576-1136,604 576-7952,49.11425511,-122.7430891
36,Surrey,3625239,Early Learning Program,Panorama Park StrongStart Centre,12878 62 Ave,Surrey,,604 596-0963,,49.11490476,-122.8657351
35,Langley,3525104,Early Learning Program,Langley Meadows StrongStart Centre,2244 Willoughby Way,Langley,,604 530-4101,,49.1211058,-122.672134
