,EI Code,EI Name,EI Type,Address,EI Designation Date
0,BJAB,Burman University,Junior College,"6730 University Drive,  Lacombe,  Alberta,  Canada,  (403) 782-3381",1988-12-21
1,BJAC,Grande Prairie Regional College,Junior College,"10726 - 106th Ave.,  Grande Prairie,  Alberta,  Canada,  (780) 539-2911",1988-12-21
2,BJAD,Grant Macewan University,Junior College,"Financial Services,  P.O. Box 1796,  10700 - 104 Avenue,  Edmonton,  Alberta,  Canada,  (780) 497-4304",1988-12-21
3,BJAF,Lethbridge College,Junior College,"3000 College Dr. South,  Lethbridge,  Alberta,  Canada,  (403) 320-3372",1988-12-21
4,BJAG,Mount Royal University,Junior College,"MRU Fees Office,  4825 Mount Royal, Gate SW,  Calgary,  Alberta,  Canada,  (403) 440-6306",1988-12-21
5,BJAH,Red Deer College,Junior College,"56 Ave. & 32nd St. Box 5005,  2nd St.,  Red Deer,  Alberta,  Canada,  4033423300",1988-12-21
6,BJAI,Medicine Hat College,Junior College,"299 College Dr. S.E.,  Medicine Hat,  Alberta,  Canada,  (403) 529-3819",1988-12-21
7,BJAK,Concordia Lutheran Seminary,Junior College,"7040 Ada Blvd.,  Edmonton,  Alberta,  Canada,  (403) 479-8481",1988-12-21
8,BJAP,Bow Valley College,Junior College,"345 6th Avenue SE ,  Calgary,  Alberta,  Canada,  (403) 410-1400",1988-12-21
9,BJAQ,Norquest College,Junior College,"10215 - 108 Street,  Edmonton,  Alberta,  Canada,  7804222020",1988-12-21
10,BJAR,Northern Lakes College,Junior College,"C/O Main Campus,  Bag 3000,  Grouard,  Alberta,  Canada,  7808498616",1992-01-22
11,BJAS,Portage College,Junior College,"P.0. Box 417,  Lac La Biche,  Alberta,  Canada,  (403) 623-5551",1988-12-21
12,BPAL,Taylor College and Seminary,Private Institution,"11525 - 23rd Avenue,  Edmonton,  Alberta,  Canada,  (403) 437-1960",1988-12-21
13,BPAP,Prairie Bible Institute,Private Institution,"Box 4000,  330 5th Ave NE,  Three Hills,  Alberta,  Canada,  4034435511",1988-12-21
14,BPAS,MC College-Calgary,Private Institution,"1023 - 7th Ave. S.W.,  Calgary,  Alberta,  Canada,",1988-12-21
15,BPAY,MC College-Edmonton,Private Institution,"10345- 107 Street,  Edmonton,  Alberta,  Canada,  (780) 429-4407",1988-12-21
16,BPAZ,Canadian Institute of Traditional Chinese Medicine,Private Institution,"Unit 300 ,  1824 Crowchild Trail NW,  Calgary,  Alberta,  Canada,  (403) 520-5258",2005-07-08
17,BPBH,Canadian Lutheran Bible Institute,Private Institution,"4837-52A,  Camrose,  Alberta,  Canada,  (403) 672-4454",1988-12-21
18,BPBL,Edmonton Flying Club,Private Institution,"#3 - 52111 Range Road 270,  Spruce Grove,  Alberta,  Canada,  (780) 499-6669",1988-12-21
