,EI Code,EI Name,EI Type,Address,EI Designation Date
0,AJAE,Douglas College - All campus's,Junior College,"Financial Aid Office,  Rm 2740 - 700 Royal Ave,  New Westminster,  British Columbia,  Canada,  (604) 527-5487",1988-12-21
1,AJAF,College of the Rockies,Junior College,"P.O. Box 8500,  Station Main,  (2700 College Way),  Cranbrook,  British Columbia,  Canada,  2504892751",1988-12-21
2,AJAJ,College of New Caledonia,Junior College,"3330 - 22 Ave,  Prince George,  British Columbia,  Canada,  6045615825",1979-01-26
3,AJAK,Northern Lights College,Junior College,"Dawson Creek Campus,  11401 - 8th Street,  Dawson Creek,  British Columbia,  Canada,  250-782-5251",1988-12-21
4,AJAL,Coast Mountain College,Junior College,"5331 Mcconnell Avenue,  Terrace,  British Columbia,  Canada,  (250) 635-6511",1988-12-21
5,AJAM,Langara College,Junior College,"100 West 49th Ave.,  Vancouver,  British Columbia,  Canada,  6043235225",1988-12-21
6,AJAP,Selkirk College - All campuses,Junior College,"301 Frank Beinder,  Castlegar,  British Columbia,  Canada,  2503651295",1975-06-11
7,AJAX,North Island College - All Campuses,Junior College,"Comox Valley Campus,  2300 Ryan Road,  Courtenay,  British Columbia,  Canada,  2503345022",1988-12-21
8,AJBF,Okanagan College - All Campuses,Junior College,"1000 KLO Road,  Kelowna,  British Columbia,  Canada,  (250) 762-5445",1993-01-27
9,AJBH,Camosun College - All campuses,Junior College,"Financial Aid Office,  4461 Interurban Road,  Victoria,  British Columbia,  Canada,  2503703841",1992-02-20
10,AJBR,Canadian Aviation College,Junior College,"#500 628 6th Ave,  New Westminster,  British Columbia,  Canada,",2018-11-19
11,AJBT,Yorkville University - Vancouver,Junior College,"#300 88 Sixth St.,  New Westminster,  British Columbia,  Canada,",2019-04-24
12,APAB,Northwest Baptist Theological College,Private Institution,"7600 Glover Road,  Langley,  British Columbia,  Canada,  (604) 888-7592",2015-01-02
13,APAC,Pacific Coast Community College,Private Institution,"1176 8th Ave,  New Westminster,  British Columbia,  Canada,  6047301106",2015-03-18
14,APAF,Institute of Technology Developement Canada,Private Institution,"475 Granville Street,  Vancouver,  British Columbia,  Canada,  (888) 880-4410",
