,EI Code,EI Name,EI Type,Address,EI Designation Date
0,DJAA,University College of the North,Junior College,"436 7th Street East,  The Pas,  Manitoba,  Canada,  204-677-6402",2009-07-13
1,DPAC,Herzing College,Private Institution,"1700 Portage Ave.,  Winnipeg,  Manitoba,  Canada,  (204) 775-8175",1989-08-15
2,DPAG,St. Andrew's College,Private Institution,"29 Dysart Road,  Winnipeg,  Manitoba,  Canada,  (204) 474-8895",1988-12-21
3,DPAI,Providence University College and Theological Seminary,Private Institution,"General Delivery,  Otterburne,  Manitoba,  Canada,  (204) 433-7488",1988-12-21
4,DPAJ,Royal Winnipeg Ballet-Professional Division,Private Institution,"Professional School,  380 Graham Avenue,  Winnipeg,  Manitoba,  Canada,  204-957-3452",1988-12-21
5,DPAK,School of Contemporary Dancers,Private Institution,"104 - 211 Bannatyne Avenue,  Winnipeg,  Manitoba,  Canada,  (204) 452-1239",1988-10-27
6,DPAP,Booth University College,Private Institution,"447 Webb Place,  Winnipeg,  Manitoba,  Canada,  924-4865",1988-12-21
7,DPAR,Winnipeg Aviation Company Limited,Private Institution,"700 South Gate Road,  St. Andrews,  Manitoba,  Canada,  (204) 338-7923",1988-12-21
8,DPAT,Steinbach Bible College,Private Institution,"50 PTH 12 North,  Steinbach,  Manitoba,  Canada,  (204) 326-6451",1988-12-21
9,DPBC,Systems Beauty College Ltd.,Private Institution,"Unit C, 763 13th Street,  Brandon,  Manitoba,  Canada,  (204) 728-8843",1988-02-10
10,DPBI,Brandon Flying Club,Private Institution,"R.R.#5, Site 520 - Box 18,  Brandon,  Manitoba,  Canada,  (204) 728-7691",1988-12-21
11,DPBJ,"Hua Xia Acupuncture, Massage, Herb College",Private Institution,"Unit A - 2810 Pembina Hwy.,  Winnipeg,  Manitoba,  Canada,",2008-05-29
12,DPBQ,Harv's Air Service,Private Institution,"P.O. Box 1056,  Steinbach,  Manitoba,  Canada,  (204) 326-2434",1988-12-21
13,DPBR,Commonwealth College Inc,Private Institution,"1st Floor 294 William Avenue,  Winnipeg,  Manitoba,  Canada,  (204) 944-8202",1988-12-21
14,DPBT,Robertson College,Private Institution,"180 MAIN STREET,  Winnipeg,  Manitoba,  Canada,  204-957-6628",1988-02-20
15,DPCA,H & CO Academy Hair & Nails Inc.,Private Institution,"603 Princess Avenue,  Brandon,  Manitoba,  Canada,  (204) 727-0358",1991-01-11
16,DPCC,Mid-Ocean School of Media Arts,Private Institution,"1588 Erin Street,  Winnipeg,  Manitoba,  Canada,  (204) 775-3308",1991-12-05
