,EI Code,EI Name,EI Type,Address,EI Designation Date
0,EJAE,Stanford International College of Business & Technology,Junior College,"25 Scarsdale Rd.,  Units 8 & 9,  Toronto,  Ontario,  Canada,  4164238188",2013-11-04
1,EJAF,The Audio Recording Academy,Junior College,"1540 Raven Avenue,  Ottawa,  Ontario,  Canada,  6137980070",2017-01-11
2,EPAE,Canadian Business College - Mississauga,Private Institution,"77 City Centre Drive,  Suite 600,  Mississauga,  Ontario,  Canada,  905-279-9929",2006-06-09
3,EPAF,Canadian Mothercraft Society,Private Institution,"646 St Clair Avenue West,  Toronto,  Ontario,  Canada,  (416) 483-0511",1988-12-21
4,EPAL,Marca College of Hair and Esthetics-Mississauga,Private Institution,"4141 Dixie Road,  Mississauga,  Ontario,  Canada,  (416) 698-2558",2008-01-10
5,EPAO,Trillium College-Kingston,Private Institution,"797 Princess St.,  Suite 200,  Kingston,  Ontario,  Canada,  613 531 5138",2008-01-30
6,EPAR,Great Lakes Bible College,Private Institution,"470 Glenelm Crescent,  Waterloo,  Ontario,  Canada,  5198844310",1988-12-21
7,EPAS,Heritage Baptist College,Private Institution,"175 Holiday Inn Drive,  Cambridge,  Ontario,  Canada,  5196512869",1988-12-21
8,EPAT,Herzing Institutes of Canada,Private Institution,"11 Kodiak Crescent,  Toronto,  Ontario,  Canada,  4165996996",1988-12-21
9,EPAU,Institute for Christian Studies,Private Institution,"229 College St.,  Suite 200,  Toronto,  Ontario,  Canada,  4169792331",1988-12-21
10,EPAX,Canadian Automotive and Trucking Institute,Private Institution,"101-1804 Alstep Drive,  Mississauga,  Ontario,  Canada,  (905) 362-1984",2008-08-25
11,EPAY,"KLC College:Healthcare, Business, Education-Smith Falls",Private Institution,"55 Town Centre Court,  Suite 800,  Toronto,  Ontario,  Canada,  (613) 284-1991",2008-08-25
12,EPAZ,"KLC College:Healthcare, Business, Education-Whitby",Private Institution,"1615 Dundas St. E.,  Unit 214,  Whitby,  Ontario,  Canada,  (888) 732-0326",2008-11-06
13,EPBA,CTS Canadian Career College-Sault Ste Marie.,Private Institution,"100 Churchill Ave.,  Sault Ste. Marie,  Ontario,  Canada,  (705) 946-3933",2009-04-29
14,EPBF,Canada's National Ballet School,Private Institution,"400 Jarvis Street,  Toronto,  Ontario,  Canada,  4169643780",1988-12-21
15,EPBG,Trillium College Inc.-St Catharines,Private Institution,"60 James St.,  2nd floor,  St. Catherines,  Ontario,  Canada,  (905) 448-4130",2009-06-26
