,EI Code,EI Name,EI Type,Address,EI Designation Date
0,IJAA,Holland College - Prince of Wales Campus,Junior College,"140 Weymouth Street,  Charlottetown,  Prince Edward Island,  Canada,  9026294217",1988-12-21
1,IJAC,Holland College - Summerside Waterfront Campus,Junior College,"98 Water Street,  Summerside,  Prince Edward Island,  Canada,  902 888 6448",1995-02-13
2,IJAD,Holland College - Atlantic Police Academy,Junior College,"P.O. Box 156,  66 Argus Street,  Slemon Park,  Prince Edward Island,  Canada,  9028886700",1995-02-13
3,IJAE,Collège de l'île,Junior College,"P.O. Box 159,  Wellington,  Prince Edward Island,  Canada,  (877) 854-3010",1995-08-15
4,IJAF,Holland College - Georgetown Centre,Junior College,"117 Kent Street,  Georgetown,  Prince Edward Island,  Canada,  9026522055",2000-06-08
5,INAC,Marguerite Connolly Training & Consulting,Nursing Schools,"55 Grafton Street,  Charlottetown,  Prince Edward Island,  Canada,  (902) 566-9705",
6,IPAA,Maritime Christian College,Private Institution,"503 University Avenue,  Charlottetown,  Prince Edward Island,  Canada,  9026288887",1988-12-21
7,IPAD,Private Institute of Hair Design & Aesthetics,Private Institution,"40 Enman Crescent,  Charlottetown,  Prince Edward Island,  Canada,  (902) 628-1563",1990-09-20
8,IPAJ,JVI Transportation And Safety Academy,Private Institution,"75 Kensington Road,  Charlottetown,  Prince Edward Island,  Canada,  (902) 894-5726",1993-09-08
9,IPAK,Hair Concepts Training Academy,Private Institution,"186 MacEwen Road,  Summerside,  Prince Edward Island,  Canada,  (902) 439-6825",1994-02-14
10,IPAN,Academy of Learning,Private Institution,"55 Grafton St,  Charlottetown,  Prince Edward Island,  Canada,  9028948973",1995-01-26
11,IPBI,Homburg Institute,Private Institution,"98 Fitzroy Street,  Charlottetown,  Prince Edward Island,  Canada,  902-566-3956",2013-05-07
12,IPBK,Atlantic Commercial Diving Centre Inc,Private Institution,"100 Industrial Crescent,  P.O. Box 1642,  Summerside,  Prince Edward Island,  Canada,",2020-07-22
13,IUAA,University of Prince Edward Island,University,"550 University Ave.,  Charlottetown,  Prince Edward Island,  Canada,  9025660439",1988-12-21
14,IVAE,Holland College - Tourism and Culinary Centre,Technical and Vocational,"4 Sydney Street,  Charlottetown,  Prince Edward Island,  Canada,  (902) 894-6805",1997-06-16
