,EI Code,EI Name,EI Type,Address,EI Designation Date
0,FJAA,College Ahuntsic,Junior College,"9155 Rue St-Hubert,  Montreal,  Quebec,  Canada,  (514) 389-5921",2018-02-23
1,FJAB,College de Chicoutimi,Junior College,"534 Est Rue Jaques-Cartier,  Chicoutimi,  Quebec,  Canada,  4185499520",1988-12-21
2,FJAF,College de Saint-Felicien,Junior College,"1105 Boul. Hamel C.P. 7300,  St. Felicien,  Quebec,  Canada,  (418) 679-5412",2012-06-26
3,FJAG,Dawson College (Cegep),Junior College,"3040 Sherbrooke Street W.,  Montreal,  Quebec,  Canada,  5149318731",2014-02-14
4,FJAI,Cegep - College de la Gaspesie et des Iles,Junior College,"96, rue Jacques Cartier,  Gaspe,  Quebec,  Canada,  (418) 368-2201",2012-12-13
5,FJAM,John Abbott College (Cegep),Junior College,"21 275 Lakeshore Rd.,  Ste. Anne De Bellevue,  Quebec,  Canada,  (514) 457-6610",2019-03-29
6,FJAN,College de Jonquiere (Cegep),Junior College,"2505 Rue St.-Hubert,  Jonquiere,  Quebec,  Canada,  (418) 547-2191",2020-09-16
7,FJAP,College de Levis-Lauzon,Junior College,"205 Mgr. Bourget,  Lauzon,  Quebec,  Canada,  (418) 833-5110",2016-10-03
8,FJAQ,College de Saint-Jerome,Junior College,"455 Rue Fournier,  Saint-Jerome,  Quebec,  Canada,  (450) 436-1580",2017-06-26
9,FJAR,"College de Victoriaville,",Junior College,"475 Notre-Dame Est,  Victoriaville,  Quebec,  Canada,  (819) 758-6401",2019-03-21
10,FJAS,College Montmorency (Cegep),Junior College,"475 Blvd. De L'Avenir,  Laval,  Quebec,  Canada,  (514) 975-6100",2012-09-27
11,FJAV,College de Maisonneuve,Junior College,"3800 Est Rue Sherbrooke,  Montreal,  Quebec,  Canada,  (514) 254-7131",2018-06-21
12,FJBA,CEGEP de la Pocatiere,Junior College,"140, 4ieme Ave,  La Pocatiere,  Quebec,  Canada,  (418) 856-1525",2013-12-18
13,FJBB,Champlain Regional College - St Lambert Longueuil Campus,Junior College,"900 Riverside Drive,  St Lambert,  Quebec,  Canada,  (450) 672-7360",2016-10-19
14,FJBC,Champlain College Lennoxville,Junior College,"2580 College Street,  Sherbrooke,  Quebec,  Canada,  (819) 564-3666",1988-12-21
15,FJBE,College de Rimouski,Junior College,"60 Rue De L'Eveche Ouest,  Rimouski,  Quebec,  Canada,  (418) 723-1880",1988-12-21
16,FJBF,Cegep de l'Abitibi-Temiscamingue,Junior College,"425, boulevard du College,  Rouyn-Noranda,  Quebec,  Canada,  819-762-0931",2018-09-18
17,FJBM,College de Trois-Rivieres (Cegep),Junior College,"3500 Rue De Courval,  Trois-Rivieres,  Quebec,  Canada,  (819) 376-1721",2017-03-07
18,FJBN,Vanier College (Cegep),Junior College,"821 St. Croix Street,  Laurent,  Quebec,  Canada,  5147447500",2005-09-06
19,FJBO,CEGEP du Vieux-Montreal,Junior College,"N/A,  255 Rue Ontario Est,  Montreal,  Quebec,  Canada,  (514) 982-3437",2012-11-07
20,FJBT,CEGEP DE THETFORD,Junior College,"671 boul Frontenac Ouest,  Thetford Mines, Quebec,  Quebec,  Canada,  (418) 338-5591",2019-01-07
21,FJBV,College de Bois-De-Boulogne,Junior College,"10555 Avenue De,  Bois-De-Boulogne,  Montreal,  Quebec,  Canada,  (514) 332-3000",2018-09-19
22,FJBW,College de Rosemont (Cegep),Junior College,"6400 16 E. Ave.,  Montreal,  Quebec,  Canada,  (514) 376-1620",2018-09-13
23,FJCB,Cegep de la Gaspesie et des Iles - Carleton,Junior College,"776 Boulevard Perron,  Carleton-Sur-Mer,  Quebec,  Canada,",2016-09-23
24,FJCC,Cegep Saint-Jean-Sur-Richelieu,Junior College,"C.P. 1018,  30 boul du Seminaire,  Saint-Jean-Sur-Richelieu,  Quebec,  Canada,  (514) 347-5301",2019-05-10
25,FJCE,College de Valleyfield,Junior College,"169 Rue Champlain,  Valleyfield,  Quebec,  Canada,  5143739441",2019-10-02
