name,source_facility_type,source_id,full_address,provider
Burman University,Junior College,BJAB,"6730 University Drive, Lacombe, Alberta, Canada, (403) 782-3381",Employment and Social Development Canada
Grande Prairie Regional College,Junior College,BJAC,"10726 - 106th Ave., Grande Prairie, Alberta, Canada, (780) 539-2911",Employment and Social Development Canada
Grant Macewan University,Junior College,BJAD,"Financial Services, P.O. Box 1796, 10700 - 104 Avenue, Edmonton, Alberta, Canada, (780) 497-4304",Employment and Social Development Canada
Lethbridge College,Junior College,BJAF,"3000 College Dr. South, Lethbridge, Alberta, Canada, (403) 320-3372",Employment and Social Development Canada
Mount Royal University,Junior College,BJAG,"MRU Fees Office, 4825 Mount Royal, Gate SW, Calgary, Alberta, Canada, (403) 440-6306",Employment and Social Development Canada
Red Deer College,Junior College,BJAH,"56 Ave. & 32nd St. Box 5005, 2nd St., Red Deer, Alberta, Canada, 4033423300",Employment and Social Development Canada
Medicine Hat College,Junior College,BJAI,"299 College Dr. S.E., Medicine Hat, Alberta, Canada, (403) 529-3819",Employment and Social Development Canada
Concordia Lutheran Seminary,Junior College,BJAK,"7040 Ada Blvd., Edmonton, Alberta, Canada, (403) 479-8481",Employment and Social Development Canada
Bow Valley College,Junior College,BJAP,"345 6th Avenue SE , Calgary, Alberta, Canada, (403) 410-1400",Employment and Social Development Canada
Norquest College,Junior College,BJAQ,"10215 - 108 Street, Edmonton, Alberta, Canada, 7804222020",Employment and Social Development Canada
Northern Lakes College,Junior College,BJAR,"C/O Main Campus, Bag 3000, Grouard, Alberta, Canada, 7808498616",Employment and Social Development Canada
Portage College,Junior College,BJAS,"P.0. Box 417, Lac La Biche, Alberta, Canada, (403) 623-5551",Employment and Social Development Canada
Taylor College and Seminary,Private Institution,BPAL,"11525 - 23rd Avenue, Edmonton, Alberta, Canada, (403) 437-1960",Employment and Social Development Canada
Prairie Bible Institute,Private Institution,BPAP,"Box 4000, 330 5th Ave NE, Three Hills, Alberta, Canada, 4034435511",Employment and Social Development Canada
MC College-Calgary,Private Institution,BPAS,"1023 - 7th Ave. S.W., Calgary, Alberta, Canada,",Employment and Social Development Canada
MC College-Edmonton,Private Institution,BPAY,"10345- 107 Street, Edmonton, Alberta, Canada, (780) 429-4407",Employment and Social Development Canada
Canadian Institute of Traditional Chinese Medicine,Private Institution,BPAZ,"Unit 300 , 1824 Crowchild Trail NW, Calgary, Alberta, Canada, (403) 520-5258",Employment and Social Development Canada
Canadian Lutheran Bible Institute,Private Institution,BPBH,"4837-52A, Camrose, Alberta, Canada, (403) 672-4454",Employment and Social Development Canada
