name,source_facility_type,source_id,full_address,provider
Douglas College - All campus's,Junior College,AJAE,"Financial Aid Office, Rm 2740 - 700 Royal Ave, New Westminster, British Columbia, Canada, (604) 527-5487",Employment and Social Development Canada
College of the Rockies,Junior College,AJAF,"P.O. Box 8500, Station Main, (2700 College Way), Cranbrook, British Columbia, Canada, 2504892751",Employment and Social Development Canada
College of New Caledonia,Junior College,AJAJ,"3330 - 22 Ave, Prince George, British Columbia, Canada, 6045615825",Employment and Social Development Canada
Northern Lights College,Junior College,AJAK,"Dawson Creek Campus, 11401 - 8th Street, Dawson Creek, British Columbia, Canada, 250-782-5251",Employment and Social Development Canada
Coast Mountain College,Junior College,AJAL,"5331 Mcconnell Avenue, Terrace, British Columbia, Canada, (250) 635-6511",Employment and Social Development Canada
Langara College,Junior College,AJAM,"100 West 49th Ave., Vancouver, British Columbia, Canada, 6043235225",Employment and Social Development Canada
Selkirk College - All campuses,Junior College,AJAP,"301 Frank Beinder, Castlegar, British Columbia, Canada, 2503651295",Employment and Social Development Canada
North Island College - All Campuses,Junior College,AJAX,"Comox Valley Campus, 2300 Ryan Road, Courtenay, British Columbia, Canada, 2503345022",Employment and Social Development Canada
Okanagan College - All Campuses,Junior College,AJBF,"1000 KLO Road, Kelowna, British Columbia, Canada, (250) 762-5445",Employment and Social Development Canada
Camosun College - All campuses,Junior College,AJBH,"Financial Aid Office, 4461 Interurban Road, Victoria, British Columbia, Canada, 2503703841",Employment and Social Development Canada
Canadian Aviation College,Junior College,AJBR,"#500 628 6th Ave, New Westminster, British Columbia, Canada,",Employment and Social Development Canada
Yorkville University - Vancouver,Junior College,AJBT,"#300 88 Sixth St., New Westminster, British Columbia, Canada,",Employment and Social Development Canada
Northwest Baptist Theological College,Private Institution,APAB,"7600 Glover Road, Langley, British Columbia, Canada, (604) 888-7592",Employment and Social Development Canada
Pacific Coast Community College,Private Institution,APAC,"1176 8th Ave, New Westminster, British Columbia, Canada, 6047301106",Employment and Social Development Canada
Institute of Technology Developement Canada,Private Institution,APAF,"475 Granville Street, Vancouver, British Columbia, Canada, (888) 880-4410",Employment and Social Development Canada
Pacific Life Bible College,Private Institution,APAG,"15030 - 66A Avenue, Surrey, British Columbia, Canada, (604) 597-9082",Employment and Social Development Canada
Summit Pacific College,Private Institution,APAH,"PO Box 1700, 35235 Straiton Rd, Abbotsford, British Columbia, Canada, (604) 853-7491",Employment and Social Development Canada
Columbia College,Private Institution,APAI,"438 Terminal Ave, Vancouver, British Columbia, Canada, (604) 683-8360",Employment and Social Development Canada
Columbia Bible College,Private Institution,APAJ,"2940 Clearbrook Rd., Abbotsford, British Columbia, Canada, (604) 853-3358",Employment and Social Development Canada
Trinity Western University,Private Institution,APAK,"7600 Glover Rd., Langley, British Columbia, Canada, (604) 888-7511",Employment and Social Development Canada
Sprott-Shaw College - Victoria,Private Institution,APAO,"637 Bay Street, Victoria, British Columbia, Canada, (250) 384-8121",Employment and Social Development Canada
Vancouver School of Theology,Private Institution,APAP,"6015 Walter Gage Rd, Vancouver, British Columbia, Canada, (604) 822-9031",Employment and Social Development Canada
Regent College,Private Institution,APAQ,"5800 University Blvd., Vancouver, British Columbia, Canada, (604) 224-3245",Employment and Social Development Canada
Blanche Macdonald Centre - City Square,Private Institution,APBE,"100 - 555 West 12th Avenue, Vancouver, British Columbia, Canada, (604) 685-0347",Employment and Social Development Canada
Academy of Excellence Hair Design,Private Institution,APBJ,"303 Goldstream Avenue, Victoria, British Columbia, Canada, (250) 386-7843",Employment and Social Development Canada
Pacific Flying Club,Private Institution,APBQ,"Boundary Bay Airport, Unit 4 - 4335 Skeena St, Flight Center Building, Delta, British Columbia, Canada, (604) 945-0011",Employment and Social Development Canada
Eton College,Private Institution,APBR,"706-333 Terminal Avenue, Vancouver, British Columbia, Canada, (604) 677-4431",Employment and Social Development Canada
Canadian Flight Centre,Private Institution,APBS,"603, 604 - 11715 Baynes Road, Pitt Meadows, British Columbia, Canada, (604) 946-7744",Employment and Social Development Canada
M.C. College - Kelowna,Private Institution,APBU,"100 - 1875 Spall Road, Kelowna, British Columbia, Canada, (250) 861-5828",Employment and Social Development Canada
"CDI College of Business, Technology & Healthcare - Vancouver",Private Institution,APBX,"710 - 626 W Pender St, Vancouver, British Columbia, Canada, (604) 850-8585",Employment and Social Development Canada
Coastal Pacific Aviation Limited,Private Institution,APCG,"30575 Approach Drive, Abbotsford Airport, Abbotsford, British Columbia, Canada, (604) 855-1112",Employment and Social Development Canada
Seminary of Christ the King,Private Institution,APCR,"34224 Dewdney Trunk Road, Mission, British Columbia, Canada, (604) 826-8975",Employment and Social Development Canada
JCI Institute,Private Institution,APCZ,"150 - 220 Cambie Street, Vancouver, British Columbia, Canada, (604) 688-0328",Employment and Social Development Canada
Drake Medox College - Vancouver,Private Institution,APDB,"210-535 West 10th Avenue, Vancouver, British Columbia, Canada, (604) 629-0196",Employment and Social Development Canada
Victoria Flying Club,Private Institution,APDG,"101-1852 Canso Road, Sidney, British Columbia, Canada, (250) 656-2833",Employment and Social Development Canada
Winston College,Private Institution,APDI,"M11 - 4277 Kingsway, Burnaby, British Columbia, Canada, (604) 630-2069",Employment and Social Development Canada
West Coast College of Massage Therapy - Vancouver,Private Institution,APDJ,"613 Columbia Street, New Westminster, British Columbia, Canada, (604) 520-1844",Employment and Social Development Canada
London School of Hairdressing & Aesthetics,Private Institution,APDK,"114 WEST HASTINGS STREET, Vancouver, British Columbia, Canada, (604) 685-4121",Employment and Social Development Canada
City University of Seattle,Private Institution,APDL,"#310-789 West Pender Street, Vancouver, British Columbia, Canada, (604) 689-2489",Employment and Social Development Canada
Westcoast Adventure College,Private Institution,APDU,"5449 Sooke Road, RR 1, Sooke, British Columbia, Canada, (250)642-2331",Employment and Social Development Canada
Legends Academy,Private Institution,APEJ,"7 -32700 George Ferguson Way, Abbotsford, British Columbia, Canada, (604) 859-5777",Employment and Social Development Canada
Montessori Training Centre of British Columbia,Private Institution,APEM,"200 - 8555 Cambie St, Vancouver, British Columbia, Canada, (604) 261-0864",Employment and Social Development Canada
Coquitlam College - Coquitlam,Private Institution,APEO,"516 Brookmere Ave., Coquitlam, British Columbia, Canada, (604)939-6633",Employment and Social Development Canada
Canadian Tourism College - Vancouver,Private Institution,APEY,"200-1111 Melville Steet, Vancouver, British Columbia, Canada, (604) 736-8000",Employment and Social Development Canada
BC College of Optics,Private Institution,APEZ,"#402 - 7327 137th Street, Surrey, British Columbia, Canada, (604) 581-0101",Employment and Social Development Canada
Arbutus College,Private Institution,APFA,"473 West Hastings St, Vancouver, British Columbia, Canada, (604) 681-7701",Employment and Social Development Canada
Pacific Design Academy - Victoria,Private Institution,APFY,"1252 Wharf Street, Victoria, British Columbia, Canada, (250) 383-3631",Employment and Social Development Canada
Native Education College,Private Institution,APGG,"285 E. Fifth Ave., Vancouver, British Columbia, Canada, (604) 873-3761",Employment and Social Development Canada
Gateway College,Private Institution,APGY,"702-333 Terminal Ave, Vancouver, British Columbia, Canada, (604) 738-0285",Employment and Social Development Canada
