name,source_facility_type,city,full_address,postal_code,provider
Aboriginal Community Campus #2158,10 to 12 English,Winnipeg,403-181 Higgins Avenue,R3B 3G1,Province of Manitoba
Assiniboine Comm. College Adult Coll. #2156,9 to 12 English,Brandon,725 Rosser Avenue,R7A 0K8,Province of Manitoba
Assiniboine Community College - Parkland #2155,9 to 12 English,Dauphin,Box 4000 520 Whitmore Avenue East,R7N 2V5,Province of Manitoba
Brandon Literacy Council Inc. #2241,9 to 12 English,Brandon,129 - 12th Street,R7A 4L8,Province of Manitoba
Brokenhead Ojibway Adult Learning Centre #2271,9 to 12 English,Scanterbury,Box 179,R0E 1W0,Province of Manitoba
Faith Learning Centre #2204,9 to 12 English,Winnipeg,220 Pritchard Avenue,R2W 2J1,Province of Manitoba
Jobworks Adult Learning Centre #2165,11 to 12 English,Winnipeg,1175 Pembina Hwy,R3T 2A5,Province of Manitoba
Louis Riel Institute Adult Learning Ctr. #2224,9 to 12 English,Winnipeg,103 - 150 Henry Avenue,R3B 0J7,Province of Manitoba
Peguis Adult Education Learning Centre #2225,9 to 12 English,Peguis,Box 190,R0C 3J0,Province of Manitoba
Red River College Adult Learning Centre #2226,9 to 12 English,Winnipeg,F115 - 2055 Notre Dame Avenue,R3H 0J9,Province of Manitoba
Ucn Adult Learning Centre #2166,9 to 12 English,Thompson,55 Ucn Drive,R8N 1L7,Province of Manitoba
Yellowquill College Inc. #2196,11 to 12 English,Winnipeg,480 Madison Street,R3J 1J1,Province of Manitoba
Gonzaga Middle School #2311,"6 to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,174 Maple Street North,R2W 3L4,Province of Manitoba
Holy Ghost School #1653,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,319 Selkirk Avenue,R2W 2L8,Province of Manitoba
Our Lady Of Victory School #1241,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,249 Arnold Avenue,R3L 0W4,Province of Manitoba
St. Charles Interparochial School #1244,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,331 St. Charles Street,R3K 1T6,Province of Manitoba
St. Edward's School #1430,"K to 6 English, French: Communication and Culture - Grades 4-12",Winnipeg,836 Arlington Street,R3E 2E4,Province of Manitoba
St. Ignatius School #1829,"N to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,239 Harrow Street,R3M 2Y3,Province of Manitoba
St. John Brebeuf School #1729,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,605 Renfrew Street,R3N 1J8,Province of Manitoba
