name,source_facility_type,source_id,full_address,provider
"College of the North Atlantic, Bay St. George campus",Junior College,JJAB,"Stephenville Campus, P.O. Box 5400, 432 Massachusetts Drive, Stephenville, Newfoundland and Labrador, Canada, (709) 643-7730",Employment and Social Development Canada
Centre for Nursing Studies,Nursing Schools,JNAE,"100 Forest Road, Southcott Hall, Room 1007, St. John's, Newfoundland and Labrador, Canada, 7097776644",Employment and Social Development Canada
"Keyin College, St. John's",Private Institution,JPAC,"P.O. Box 13609 Stn. A, 44 Austin Street, St. John's, Newfoundland and Labrador, Canada, (709) 579-1061",Employment and Social Development Canada
Eastern Academy,Private Institution,JPAE,"22 Pearl Place, St. John's, Newfoundland and Labrador, Canada, (709) 722-8580",Employment and Social Development Canada
Academy Canada - Corner Brook Campus,Private Institution,JPAL,"2 University Drive, P.O. Box 366, Corner Brook, Newfoundland and Labrador, Canada, 7096372100",Employment and Social Development Canada
BAC Training Centre Inc.,Private Institution,JPAN,"631 Conception Bay Highway, Conception Bay South, Newfoundland and Labrador, Canada, (709) 834-4085",Employment and Social Development Canada
"Keyin College, Carbonear",Private Institution,JPAS,"81 Lemarchant Street, Carbonear, Newfoundland and Labrador, Canada, (709) 596-6472",Employment and Social Development Canada
"Keyin College, Western Campus",Private Institution,JPAX,"128 Carolina Avenue, Stephenville, Newfoundland and Labrador, Canada, 7096436444",Employment and Social Development Canada
Academy Canada - St. John's campus,Private Institution,JPAY,"167 - 169 Kenmount Rd., St. John's, Newfoundland and Labrador, Canada, (709) 739-6767",Employment and Social Development Canada
"Keyin College, Marystown",Private Institution,JPBA,"P.O. Box 1327, Marystown, Newfoundland and Labrador, Canada, (709) 279-5090",Employment and Social Development Canada
Canadian Training Institute,Private Institution,JPBB,"P.O. Box 479, Bay Roberts, Newfoundland and Labrador, Canada, (709) 786-2400",Employment and Social Development Canada
Central Training Academy,Private Institution,JPBE,"P.O Box 400, Badger, Newfoundland and Labrador, Canada, (709) 539-5150",Employment and Social Development Canada
"Keyin College, Burin",Private Institution,JPBI,"Keyin College, P.O. Box 160, Creston, Newfoundland and Labrador, Canada, (709) 891-1995",Employment and Social Development Canada
Gander Flight Training Center,Private Institution,JPBR,"P.O. Box 355, 70 C.L. Dobbin Drive, Gander, Newfoundland and Labrador, Canada, 7092567484",Employment and Social Development Canada
Dietrac Technical Institute,Private Institution,JPBW,"P.O. Box 970 82 Premier Drive, Lewisporte, Newfoundland and Labrador, Canada, 7095350550",Employment and Social Development Canada
Carpenters Millwrights College,Private Institution,JPBX,"P.O. Box 3040, Paradise, NL, Newfoundland and Labrador, Canada,",Employment and Social Development Canada
"Keyin College, Grand Falls-Windsor",Private Institution,JPCE,"60 Hardy Avenue, Grand Falls-Windsor, Newfoundland and Labrador, Canada, 7094898560",Employment and Social Development Canada
United Association Training Center,Private Institution,JPDG,"P. O. Box 216, Mount Pearl, Newfoundland and Labrador, Canada, (709) 747-2249",Employment and Social Development Canada
Operating Engineers College,Private Institution,JPDI,"P.O. Box 389, Salmonier Line, Holyrood, Newfoundland and Labrador, Canada, 7092296464",Employment and Social Development Canada
"Keyin College, Gander",Private Institution,JPDQ,"Gander Campus, 175 airport blvd., Gander, Newfoundland and Labrador, Canada, (709) 489-8560",Employment and Social Development Canada
Ironworkers Education And Training Co. Inc.,Private Institution,JPDR,"38 Sagona Avenue, Mount Pearl, Newfoundland and Labrador, Canada, 7097472158",Employment and Social Development Canada
Memorial University of Newfoundland,University,JUAA,"P.O. Box 4200 Stn. C, St. John's, Newfoundland and Labrador, Canada, (709) 864-8212",Employment and Social Development Canada
Grenfell Campus - Memorial University of Newfoundland,University,JUAB,"University Drive, Corner Brook, Newfoundland and Labrador, Canada, 7096398981",Employment and Social Development Canada
Queen's College,University,JUAE,"210 Prince Philip Drive, St. John's, Newfoundland and Labrador, Canada, 7097530116",Employment and Social Development Canada
