name,source_facility_type,source_id,full_address,provider
CBBC Career College Inc,Private Institution,HPAB,"315 Jamieson Street, Sydney, Nova Scotia, Canada, 902-564-2222",Employment and Social Development Canada
Maritime Business College,Private Institution,HPAE,"800 Sackville Drive, Lower Sackville, Nova Scotia, Canada, 902-463-0604",Employment and Social Development Canada
Nova Scotia College of Early Childhood Education Society,Private Institution,HPAJ,"6208 Quinpool Road, 2nd Fl, Halifax, Nova Scotia, Canada, (902) 423-7114",Employment and Social Development Canada
Academy of Learning College (Halifax),Private Institution,HPAK,"Mumford Professional Centre, 6960 Mumford Rd , Suite 155, Halifax, Nova Scotia, Canada, (902) 455-3395",Employment and Social Development Canada
Academy of Cosmetology,Private Institution,HPAM,"33 Thornhill Drive, Suite 201, Dartmouth, Nova Scotia, Canada, (902) 469-7788",Employment and Social Development Canada
Ravensberg College,Private Institution,HPAQ,"3660 Commission Street, Halifax, Nova Scotia, Canada, 902-482-4704",Employment and Social Development Canada
Hair Design Centre Limited,Private Institution,HPAT,"278 Lacewood Drive, Halifax, Nova Scotia, Canada, 902-455-0535",Employment and Social Development Canada
Canadian College of Acupuncture and Traditional Chinese Medicine,Private Institution,HPBM,"1306 Bedford Hwy, Bedford , Nova Scotia, Canada,",Employment and Social Development Canada
Carpenter Millwright College (CMC),Private Institution,HPBP,"1000 Sackville Drive, Lower Sackville, Nova Scotia, Canada, (902) 454-5100",Employment and Social Development Canada
Eastern Esthetics Career College,Private Institution,HPBS,"19 Crane Lake Drive, Halifax, Nova Scotia, Canada,",Employment and Social Development Canada
Hair Masters,Private Institution,HPBZ,"26 Archibald Avenue, North Sydney, Nova Scotia, Canada, 9027942460",Employment and Social Development Canada
Dexter Institute,Private Institution,HPCI,"927 Rocky Lake Drive, PO Box 48100, Bedford, Nova Scotia, Canada,",Employment and Social Development Canada
PeopleWorx,Private Institution,HPCJ,"11 Opportunity Lane, Suite 2, Coldbrook, Nova Scotia, Canada,",Employment and Social Development Canada
Eastern College,Private Institution,HPCK,"Bay West Centre, 6940 Mumford Road, Suite 111, Halifax, Nova Scotia, Canada, (902) 446-3933",Employment and Social Development Canada
Success College of Applied Arts & Technology - Sackville,Private Institution,HPCO,"800 Sackville Drive, Lower Sackville, Nova Scotia, Canada, (902) 865-8283",Employment and Social Development Canada
Medavie HealthEd -Cape Breton,Private Institution,HPCX,"106 Townsend Street, Sydney, Nova Scotia, Canada,",Employment and Social Development Canada
Transport Training Centres of Canada Ltd.,Private Institution,HPDX,"9 Pettipas Drive, Unit 1, Dartmouth, Nova Scotia, Canada, (902) 468-8999",Employment and Social Development Canada
Island Career Academy,Private Institution,HPEE,"721 Alexandra Street, Sydney, Nova Scotia, Canada, 9025644940",Employment and Social Development Canada
DaVinci College of Art & Design,Private Institution,HPEH,"800 Sackville Drive, Lower Sackville, Nova Scotia, Canada, (902) 429-1847",Employment and Social Development Canada
