name,source_facility_type,source_id,full_address,provider
Stanford International College of Business & Technology,Junior College,EJAE,"25 Scarsdale Rd., Units 8 & 9, Toronto, Ontario, Canada, 4164238188",Employment and Social Development Canada
The Audio Recording Academy,Junior College,EJAF,"1540 Raven Avenue, Ottawa, Ontario, Canada, 6137980070",Employment and Social Development Canada
Canadian Business College - Mississauga,Private Institution,EPAE,"77 City Centre Drive, Suite 600, Mississauga, Ontario, Canada, 905-279-9929",Employment and Social Development Canada
Canadian Mothercraft Society,Private Institution,EPAF,"646 St Clair Avenue West, Toronto, Ontario, Canada, (416) 483-0511",Employment and Social Development Canada
Marca College of Hair and Esthetics-Mississauga,Private Institution,EPAL,"4141 Dixie Road, Mississauga, Ontario, Canada, (416) 698-2558",Employment and Social Development Canada
Trillium College-Kingston,Private Institution,EPAO,"797 Princess St., Suite 200, Kingston, Ontario, Canada, 613 531 5138",Employment and Social Development Canada
Great Lakes Bible College,Private Institution,EPAR,"470 Glenelm Crescent, Waterloo, Ontario, Canada, 5198844310",Employment and Social Development Canada
Heritage Baptist College,Private Institution,EPAS,"175 Holiday Inn Drive, Cambridge, Ontario, Canada, 5196512869",Employment and Social Development Canada
Herzing Institutes of Canada,Private Institution,EPAT,"11 Kodiak Crescent, Toronto, Ontario, Canada, 4165996996",Employment and Social Development Canada
Institute for Christian Studies,Private Institution,EPAU,"229 College St., Suite 200, Toronto, Ontario, Canada, 4169792331",Employment and Social Development Canada
Canadian Automotive and Trucking Institute,Private Institution,EPAX,"101-1804 Alstep Drive, Mississauga, Ontario, Canada, (905) 362-1984",Employment and Social Development Canada
"KLC College:Healthcare, Business, Education-Smith Falls",Private Institution,EPAY,"55 Town Centre Court, Suite 800, Toronto, Ontario, Canada, (613) 284-1991",Employment and Social Development Canada
"KLC College:Healthcare, Business, Education-Whitby",Private Institution,EPAZ,"1615 Dundas St. E., Unit 214, Whitby, Ontario, Canada, (888) 732-0326",Employment and Social Development Canada
CTS Canadian Career College-Sault Ste Marie.,Private Institution,EPBA,"100 Churchill Ave., Sault Ste. Marie, Ontario, Canada, (705) 946-3933",Employment and Social Development Canada
Canada's National Ballet School,Private Institution,EPBF,"400 Jarvis Street, Toronto, Ontario, Canada, 4169643780",Employment and Social Development Canada
Trillium College Inc.-St Catharines,Private Institution,EPBG,"60 James St., 2nd floor, St. Catherines, Ontario, Canada, (905) 448-4130",Employment and Social Development Canada
Career College Group Medix-Brampton,Private Institution,EPBH,"499 Main Street S, Unit 60, Brampton, Ontario, Canada, (905) 487-1163",Employment and Social Development Canada
Trillium College Inc-Toronto,Private Institution,EPBM,"869 Yonge St., Toronto, Ontario, Canada, (905) 448-4130",Employment and Social Development Canada
Tyndale University,Private Institution,EPBP,"3377 Bayview Ave., Toronto, Ontario, Canada, 4162266620",Employment and Social Development Canada
Toronto Film School,Private Institution,EPBT,"2000 Steeles Avenue West, Unit 1, Concord, Ontario, Canada, (416) 669-0544",Employment and Social Development Canada
Computek College of Business Healthcare & Technology-Toronto,Private Institution,EPBX,"2390 Eglinton Ave. E., #248, Toronto, ON, Ontario, Canada, (416) 285-9941",Employment and Social Development Canada
Toronto Montessori Teacher Training Institute,Private Institution,EPCC,"8569 Bayview Avenue, Richmond Hill, Ontario, Canada, 9058896882",Employment and Social Development Canada
Westervelt College - Windsor,Private Institution,EPCG,"630 Tecumseh Road East, Windsor, Ontario, Canada, 5196682000",Employment and Social Development Canada
Willis Business College Limited,Private Institution,EPCH,"1200 St. Laurent Blvd. Unit 20, Ottawa, Ontario, Canada, 6132331128",Employment and Social Development Canada
West End Academy,Private Institution,EPCI,"Merivale Mall, 1642 Merivale Road, Unit 15A, Ottawa, Ontario, Canada, 6138281818",Employment and Social Development Canada
Computek College of Business Healthcare & Technology-Markham,Private Institution,EPCJ,"202-7 Eastvale Drive, Markham, Ontario, Canada, (905) 471-3344",Employment and Social Development Canada
Canadian Memorial Chiropractic College,Private Institution,EPCK,"6100 Leslie Street, Toronto, Ontario, Canada, 4164822340",Employment and Social Development Canada
"KLC College:Healthcare, Business, Education-Richmond Hill",Private Institution,EPCM,"201-9005 Leslie St., Richmond Hill, ON, Ontario, Canada, (888) 732-0326",Employment and Social Development Canada
Master's College & Seminary,Private Institution,EPCN,"780 Argyle Street, Peterborough, Ontario, Canada, (705) 749-0725",Employment and Social Development Canada
Emmanuel Bible College,Private Institution,EPCP,"100 Fergus Ave., Kitchener, Ontario, Canada, 5198948900",Employment and Social Development Canada
The Glenn Gould School of Royal Conservatory of Music,Private Institution,EPCQ,"273 Bloor St. W., Room 204, Toronto, ON, Ontario, Canada, (416) 408-2824",Employment and Social Development Canada
"Anderson College of Health, Business & Technology",Private Institution,EPCT,"31 King St. E., Suite 200, Hamilton, ON, Ontario, Canada, (902) 273-6656",Employment and Social Development Canada
