,name,address,city,postal_code,phone,fax,grades,program
0,Aboriginal Community Campus #2158,403-181 Higgins Avenue,Winnipeg,R3B 3G1,(204) 989-6244,(204) 989-8870,10 to 12,English
1,Assiniboine Comm. College Adult Coll. #2156,725 Rosser Avenue,Brandon,R7A 0K8,(204) 725-8735,(204) 725-8740,9 to 12,English
2,Assiniboine Community College - Parkland #2155,Box 4000 520 Whitmore Avenue East,Dauphin,R7N 2V5,(204) 622-2222,(800) 482-2933,9 to 12,English
3,Brandon Literacy Council Inc. #2241,129 - 12th Street,Brandon,R7A 4L8,(204) 729-9964,(204) 729-9964,9 to 12,English
4,Brokenhead Ojibway Adult Learning Centre #2271,Box 179,Scanterbury,R0E 1W0,(204) 766-2850,(204) 766-2753,9 to 12,English
5,Faith Learning Centre #2204,220 Pritchard Avenue,Winnipeg,R2W 2J1,(204) 586-1416,(888) 449-6820,9 to 12,English
6,Jobworks Adult Learning Centre #2165,1175 Pembina Hwy,Winnipeg,R3T 2A5,(204) 453-8351,(204) 453-0277,11 to 12,English
7,Louis Riel Institute Adult Learning Ctr. #2224,103 - 150 Henry Avenue,Winnipeg,R3B 0J7,(204) 984-9480,(204) 984-9484,9 to 12,English
8,Peguis Adult Education Learning Centre #2225,Box 190,Peguis,R0C 3J0,(204) 645-2452,(204) 645-2810,9 to 12,English
9,Red River College Adult Learning Centre #2226,F115 - 2055 Notre Dame Avenue,Winnipeg,R3H 0J9,(204) 632-3791,(204) 697-4968,9 to 12,English
10,Ucn Adult Learning Centre #2166,55 Ucn Drive,Thompson,R8N 1L7,(204) 677-6474,() -,9 to 12,English
11,Yellowquill College Inc. #2196,480 Madison Street,Winnipeg,R3J 1J1,(204) 953-2800,(204) 953-2810,11 to 12,English
12,Gonzaga Middle School #2311,174 Maple Street North,Winnipeg,R2W 3L4,(204) 949-7101,(204) 000-0000,6 to 8,"English, French: Communication and Culture - Grades 4-12"
13,Holy Ghost School #1653,319 Selkirk Avenue,Winnipeg,R2W 2L8,(204) 582-1053,(204) 582-4870,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
14,Our Lady Of Victory School #1241,249 Arnold Avenue,Winnipeg,R3L 0W4,(204) 452-7632,(204) 453-3081,K to 8,"English, French: Communication and Culture - Grades 4-12"
15,St. Charles Interparochial School #1244,331 St. Charles Street,Winnipeg,R3K 1T6,(204) 837-1520,(204) 837-2326,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
16,St. Edward's School #1430,836 Arlington Street,Winnipeg,R3E 2E4,(204) 774-8773,(204) 775-0011,K to 6,"English, French: Communication and Culture - Grades 4-12"
17,St. Ignatius School #1829,239 Harrow Street,Winnipeg,R3M 2Y3,(204) 475-1386,(204) 475-3961,N to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
