,Community,School,Return of School Leaders,First Staff Day,First Student Day,Last Day Before Christmas,First Day After Christmas,PD Week,Easter Break,Last Student Day,Last Staff Day,Last Day School Leaders,operations
0,Apex,Nanook School,20-Aug-20,27-Aug-20,01-Sep-20,18-Dec-20,06-Jan-21,"February 15-19, 2021","April 2-9, 2021",25-Jun-21,28-Jun-21,30-Jun-21,Community
1,Arctic Bay,Inuujaq School,05-Aug-20,12-Aug-20,17-Aug-20,17-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-9, 2021",07-Jun-21,08-Jun-21,10-Jun-21,Community
2,Clyde River,Quluaq School,12-Aug-20,19-Aug-20,24-Aug-20,16-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-5, 2021",11-Jun-21,14-Jun-21,16-Jun-21,Community
3,Grise Fiord,Umimmaq School,11-Aug-20,18-Aug-20,20-Aug-20,18-Dec-19,04-Jan-21,"February 8-12, 2021","April 2-5, 2021",08-Jun-21,09-Jun-20,11-Jun-21,Community
4,Igloolik,Ataguttaaluk Elementary School,05-Aug-20,12-Aug-20,17-Aug-20,15-Dec-20,04-Jan-21,"February 15-19, 2021","April 2 -9, 2021",10-Jun-21,11-Jun-21,15-Jun-21,Community
5,Igloolik,Sivuniit Middle School,05-Aug-20,12-Aug-20,17-Aug-20,15-Dec-20,04-Jan-21,"February 15-19, 2021","April 2 -9, 2021",10-Jun-21,11-Jun-21,15-Jun-21,Community
6,Igloolik,Igloolik High School,05-Aug-20,12-Aug-20,17-Aug-20,15-Dec-20,04-Jan-21,"February 15-19, 2021","April 2 -9, 2021",10-Jun-21,11-Jun-21,15-Jun-21,Community
7,Iqaluit,Inuksuk High School,22-Aug-20,27-Aug-20,01-Sep-20,18-Dec-20,06-Jan-21,"February 15-19, 2021","April 1-9, 2021",25-Jun-21,28-Jun-21,30-Jun-21,Community
8,Iqaluit,Joamie Elementary School,20-Aug-20,27-Aug-20,01-Sep-20,18-Dec-20,06-Jan-21,"February 15-19, 2021","April 1-9, 2021",25-Jun-21,28-Jun-21,30-Jun-21,Community
9,Iqaluit,Nakasuk Elementary School,20-Aug-20,27-Aug-20,01-Sep-20,16-Dec-20,04-Jan-21,"February 15-19, 2021","April 1-9, 2021",25-Jun-21,28-Jun-21,30-Jun-21,Community
10,Iqaluit,Aqsarniit Middle School,20-Aug-20,27-Aug-20,01-Sep-20,18-Dec-20,06-Jan-21,"February 15-19, 2021","April 1-9, 2021",25-Jun-21,28-Jun-21,30-Jun-21,Community
11,Kinngait,Peter Pitseolak High School,11-Aug-20,18-Aug-20,21-Aug-20,16-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-5, 2021",16-Jun-21,17-Jun-21,22-Jun-21,Community
12,Kinngait,Sam Pudlat Elementary School,11-Aug-20,18-Aug-20,21-Aug-20,16-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-5, 2021",16-Jun-21,17-Jun-21,22-Jun-21,Community
13,Kimmirut,Qaqqalik School,12-Aug-20,17-Aug-20,20-Aug-20,11-Dec-20,06-Jan-21,"February 15-19, 2021","April 1-5, 2021",16-Jun-21,17-Jun-21,19-Jun-21,Community
14,Pangnirtung,Alookie Elementary School,24-Aug-20,31-Aug-20,03-Sep-20,18-Dec-20,04-Jan-21,"February 15-19, 2021","April 1-9, 2021",25-Jun-21,28-Jun-21,30-Jun-21,Community
15,Pangnirtung,Attagoyuk High School,24-Aug-20,31-Aug-20,03-Sep-20,18-Dec-20,04-Jan-21,"February 15-19, 2021","April 1-9, 2021",25-Jun-21,28-Jun-21,30-Jun-21,Community
16,Pond Inlet,Nasivvik High School,05-Aug-20,12-Aug-20,17-Aug-20,18-Dec-20,05-Jan-21,"February 15-19, 2021","April 1-5, 2021",03-Jun-21,04-Jun-21,08-Jun-21,Community
17,Pond Inlet,Ulaajuk Elementary School,05-Aug-20,12-Aug-20,17-Aug-20,18-Dec-20,05-Jan-21,"February 15-19, 2021","April 1-5, 2021",03-Jun-21,04-Jun-21,08-Jun-21,Community
18,Qikiqtaruaq,Inuksuit School,12-Aug-20,17-Aug-20,19-Aug-20,18-Dec-20,07-Jan-21,"February 22-26, 2021","April 2-5, 2021",10-Jun-21,11-Jun-21,13-Jun-21,Community
19,Resolute Bay,Qarmartalik School,15-Aug-20,19-Aug-20,24-Aug-20,11-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-5, 2021",17-Jun-21,18-Jun-21,22-Jun-21,Community
20,Sanikiluaq,Nuiyak Elementary School,25-Aug-20,01-Sep-20,03-Sep-20,16-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-5, 2021",25-Jun-21,28-Jun-21,30-Jun-21,Community
21,Sanikiluaq,Paatsaali High School,25-Aug-20,01-Sep-20,03-Sep-20,16-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-5, 2021",25-Jun-21,28-Jun-21,30-Jun-21,Community
22,Sanirajak,Arnaqjuaq School,25-Aug-20,01-Sep-20,04-Sep-20,17-Dec-20,05-Jan-21,"February 15-10, 2021","April 1-5, 2021",24-Jun-21,25-Jun-21,27-Jun-21,Community
0,Iqaluit (CSFN),École des trois soleil,26-Aug-20,31-Aug-20,04-Sep-20,18-Dec-20,04-Jan-21,"February 15-19, 2021","April 2-9, 2021",25-Jun-21,28-Jun-21,30-Jun-21,Commission scolaire francophone du Nuanvut
0,Cambridge Bay,Kullik Ilihakvik,14-Aug-20,19-Aug-20,21-Aug-20,18-Dec-20,06-Jan-21,"February 15-19, 2021","April 1-12, 2021",18-Jun-21,22-Jun-21,24-Jun-21,Kitikmeot School Operations
1,Cambridge Bay,Kiilinik High School,14-Aug-20,19-Aug-20,21-Aug-20,18-Dec-20,06-Jan-21,"February 15-19, 2021","April 1-12, 2021",18-Jun-21,22-Jun-21,24-Jun-21,Kitikmeot School Operations
2,Gjoa Haven,Quqshuun Ilihakvik,31-Jul-20,05-Aug-20,10-Aug-20,17-Dec-20,04-Jan-21,"February 15-19, 2021","April 2-5, 2021",28-May-21,31-May-21,02-Jun-21,Kitikmeot School Operations
3,Gjoa Haven,Qiqirtaq High School,30-Jul-20,05-Aug-20,10-Aug-20,17-Dec-20,04-Jan-21,"February 15-19, 2021","April 2-9, 2021",02-Jun-21,03-Jun-21,04-Jun-21,Kitikmeot School Operations
4,Kugaaruk,Arviligruaq Ilinniarvik,10-Aug-20,17-Aug-20,19-Aug-20,14-Dec-20,04-Jan-21,"February 15-19, 2021","April 1-5, 2021",10-Jun-21,15-Jun-21,17-Jun-21,Kitikmeot School Operations
5,Kugluktuk,Jimmy Hikok Ilihakvik,05-Aug-20,10-Aug-20,12-Aug-20,17-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-5, 2021",03-Jun-21,04-Jun-21,06-Jun-21,Kitikmeot School Operations
6,Kugluktuk,Kugluktuk High School,05-Aug-20,10-Aug-20,12-Aug-20,17-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-5, 2021",03-Jun-21,04-Jun-21,06-Jun-21,Kitikmeot School Operations
7,Taloyoak,Netsilik School,04-Aug-20,11-Aug-20,13-Aug-20,21-Dec-20,04-Jan-21,"February 15-19, 2021","April 2-5, 2021",28-May-21,02-Jun-21,04-Jun-21,Kitikmeot School Operations
0,Arviat,Levi Angmak School,13-Aug-20,18-Aug-20,20-Aug-20,17-Dec-20,06-Jan-21,"February 15-19, 2021","April 2-9, 2021",18-Jun-21,22-Jun-21,24-Jun-21,Kivalliq School Operations
1,Arviat,Qitiqliq Middle School,13-Aug-20,18-Aug-20,20-Aug-20,17-Dec-20,06-Jan-21,"February 15-19, 2021","April 2-9, 2021",18-Jun-21,22-Jun-21,24-Jun-21,Kivalliq School Operations
2,Arviat,John Arnalujuak High School,13-Aug-20,18-Aug-20,20-Aug-20,17-Dec-20,06-Jan-21,"February 15-19, 2021","April 2-9, 2021",18-Jun-21,22-Jun-21,24-Jun-21,Kivalliq School Operations
3,Baker Lake,Rachel Arngnamaktiq Elemantary  School,27-Jul-20,04-Aug-20,07-Aug-20,15-Dec-20,04-Jan-21,"February 15-19, 2021","March 29- April 5, 2021",03-Jun-21,04-Jun-21,08-Jun-21,Kivalliq School Operations
4,Baker Lake,Jonah Amitnaaq School,27-Jul-20,04-Aug-20,07-Aug-20,15-Dec-20,04-Jan-21,"February 15-19, 2021","March 29- April 5, 2021",03-Jun-21,04-Jun-21,08-Jun-21,Kivalliq School Operations
5,Chesterfield Inlet,Victor Sammurtok School,04-Aug-20,11-Aug-20,14-Aug-20,16-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-5, 2021",07-Jun-21,08-Jun-21,10-Jun-21,Kivalliq School Operations
6,Coral Harbour,Sakku School,07-Aug-20,12-Aug-20,17-Aug-20,18-Dec-20,05-Jan-21,"February 15-19, 2021","April 2-5, 2021",03-Jun-21,04-Jun-21,06-Jun-21,Kivalliq School Operations
7,Rankin Inlet,Leo Ussak School,04-Aug-20,11-Aug-20,14-Aug-20,18-Dec-20,05-Jan-21,"October 19-23, 2021","April 2-9, 2021",10-Jun-21,11-Jun-21,15-Jun-21,Kivalliq School Operations
8,Rankin Inlet,Simon Alaituq School,04-Aug-20,11-Aug-20,14-Aug-20,18-Dec-20,05-Jan-21,"October 19-23, 2021","April 2-9, 2021",10-Jun-21,11-Jun-21,15-Jun-21,Kivalliq School Operations
9,Rankin Inlet,Maani Ulyuk School,04-Aug-20,11-Aug-20,14-Aug-20,18-Dec-20,05-Jan-21,"October 19-23, 2021","April 2-9, 2021",11-Jun-21,11-Jun-21,15-Jun-21,Kivalliq School Operations
10,Naujaat,Tusarvik Elemnetary School,30-Jul-20,05-Aug-20,10-Aug-20,14-Dec-20,06-Jan-21,"February 15-19, 2021","April 2-6, 2021",02-Jun-21,04-Jun-21,07-Jun-21,Kivalliq School Operations
11,Naujaat,Tuugaalik High School,30-Jul-20,05-Aug-20,10-Aug-20,14-Dec-20,06-Jan-21,"February 15-19, 2021","April 2-6, 2021",02-Jun-21,04-Jun-21,07-Jun-21,Kivalliq School Operations
12,Whale Cove,Inuglak School,05-Aug-20,12-Aug-20,14-Aug-20,16-Dec-20,04-Jan-21,"February 15-19, 2021","April 2-5, 2021",02-Jun-21,04-Jun-21,07-Jun-21,Kivalliq School Operations
