Program ID,Type Name,Program Name,Physical Address Line,Physical City Name,Physical Postal Code,Phone Number,Space,Inspection Date,Inspection Reason Name,Non Compliance Sub Name,Non Compliance Name,Non Compliance Action Name,Review Date,,
1EFAC900BC97B6889D5FBC773B29643B,OUT OF SCHOOL CARE PROGRAM,KIDZ CLUB OSC,"UNIT 139, 120 WYE ROAD",SHERWOOD PARK,T8A6P2,7804677000,35,12/23/2020,COMPLAINT INVESTIGATION,,,,,,
92460A661928E07B12D6B064AC7368D5,OUT OF SCHOOL CARE PROGRAM,EVERGREEN CHILD CARE,167 EVERMEADOW AVENUE SW,CALGARY,T2Y4X1,4036903720,10,12/23/2020,INSPECTION,,,,,,
92460A661928E07B12D6B064AC7368D5,OUT OF SCHOOL CARE PROGRAM,EVERGREEN CHILD CARE,167 EVERMEADOW AVENUE SW,CALGARY,T2Y4X1,4036903720,10,12/23/2020,VARIANCE REQUEST,,,,,,
A5F6F461EA44E0FC2DD99FF22759FE89,PRE-SCHOOL PROGRAM,LEARNING R US PRESCHOOL,UNIT 139 120 WYE ROAD,SHERWOOD PARK,T8A6P2,7804677000,15,12/23/2020,COMPLAINT INVESTIGATION,,,,,,
B4D870E12901F8941D4E51377DC17EC1,OUT OF SCHOOL CARE PROGRAM,BRENTWOOD'S LEARN AND PLAY BEFORE AND AFTER,95 BRENTWOOD DRIVE W,STRATHMORE,T1P1E3,4039013591,24,12/23/2020,INCIDENT REPORT,2(1) - Out of School Care Program - program in keeping with needs of children,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,1/13/2021,,
CAF1AAC666F689A20D158A8251A06D90,DAY CARE PROGRAM,EVERGREEN CHILD CARE,167 EVERMEADOW AVENUE SW,CALGARY,T2Y4X1,4036903720,10,12/23/2020,INSPECTION,,,,,,
CAF1AAC666F689A20D158A8251A06D90,DAY CARE PROGRAM,EVERGREEN CHILD CARE,167 EVERMEADOW AVENUE SW,CALGARY,T2Y4X1,4036903720,10,12/23/2020,VARIANCE REQUEST,,,,,,
FB7B09EF1B926075CDB38F62774C2F55,DAY CARE PROGRAM,KIDZ CLUB DAYCARE,UNIT 139 120 WYE ROAD,SHERWOOD PARK,T8A6P2,7804677000,46,12/23/2020,COMPLAINT INVESTIGATION,,,,,,
04AE78300BF790202BE8712CE3FADBAB,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4038738577,34,12/22/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
4C4E9BD826867D2A21874C6DEF4CF35B,DAY CARE PROGRAM,MINDFUL MOMENTS CHILD ENRICHMENT CENTRE,44/46/104/105 48 BRENTWOOD BLVD,SHERWOOD PARK,T8A2H5,7808032298,78,12/22/2020,VARIANCE REQUEST,,,,,,
53AD3FF7E69369701C6C08FF94EB0F50,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,26,12/22/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
6CC75B9723245F9FBB6F1C97AE873ED9,PRE-SCHOOL PROGRAM,MINDFUL MOMENTS CHILD ENRICHMENT CENTRE FOR PRESCHOOL,44/46/104/105 48 BRENTWOOD BLVD,SHERWOOD PARK,T8A2H5,7808032298,40,12/22/2020,VARIANCE REQUEST,,,,,,
802B6CADB4936D44B230C1803DB339D0,OUT OF SCHOOL CARE PROGRAM,MINDFUL MOMENTS CHILD ENRICHMENT CENTRE FOR SCHOOL AGE CHILDREN,44/46/104/105 48 BRENTWOOD BLVD,SHERWOOD PARK,T8A2H5,7808032298,80,12/22/2020,VARIANCE REQUEST,,,,,,
8A315C4C502ABE7BBB3A3A03973F0C47,PRE-SCHOOL PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,24,12/22/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
D2B6520C4E9813EABC3ACB9FE22B003E,OUT OF SCHOOL CARE PROGRAM,YMCA ST. MARY OUT  OF SCHOOL CARE,490 RHATIGAN ROAD EAST,EDMONTON,T6R2E2,7809077425,80,12/22/2020,INCIDENT REPORT,,,,,,
1D66A866F799E70D2306022E96E69467,OUT OF SCHOOL CARE PROGRAM,LOTSA TOTS WEST OSC,140-6960 TAYLOR DRIVE,RED DEER,T4P0Z7,4039866364,21,12/21/2020,VARIANCE REQUEST,,,,,,
44CF3887869A3B62B5CEBB2848588662,OUT OF SCHOOL CARE PROGRAM,DALHOUSIE OUT OF SCHOOL CARE-DALLYN STREET,4448 DALLYN STREET NW,CALGARY,T3A1K3,4032860090,34,12/21/2020,INSPECTION,,,,,,
4B3721988957A7594549EA01B83D1445,PRE-SCHOOL PROGRAM,DALHOUSIE OUT OF SCHOOL AND PLAYSCHOOL,5432 DALHART ROAD NW,CALGARY,T3A1V6,4032862339,20,12/21/2020,INSPECTION,,,,,,
7DED3F7B9FA80959925F6051A284C813,OUT OF SCHOOL CARE PROGRAM,DALHOUSIE OUT OF SCHOOL AND PLAYSCHOOL,5432 DALHART ROAD NW,CALGARY,T3A1V6,4032862555,42,12/21/2020,INSPECTION,,,,,,
EBD43F27B12D8F966629562EC276A2CD,DAY CARE PROGRAM,LOTSA TOTS WEST,140-6960 TAYLOR DRIVE,RED DEER,T4P0Z7,4039866364,72,12/21/2020,VARIANCE REQUEST,,,,,,
04AE78300BF790202BE8712CE3FADBAB,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4038738577,34,12/18/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
1483CC1797FA52BAD89AA5BABB161470,PRE-SCHOOL PROGRAM,PUDDLEDUCKS PRESCHOOL,4612 VARSITY DRIVE NW,CALGARY,T3A1V7,4039099588,22,12/18/2020,INSPECTION,,,,,,
1F0895A773BF565C60C0AE4A3AD1109E,PRE-SCHOOL PROGRAM,EARLY DISCOVERIES NURSERY SCHOOL - THORNCLIFFE,6311 NORFOLK DRIVE NW,CALGARY,T2K5J8,4037310022,36,12/18/2020,INSPECTION,,,,,,
3C6F4328BF97AD64FA9AAC2F8AD01CF6,OUT OF SCHOOL CARE PROGRAM,WEE WILD ONES BRIDGELAND,10 - 11A STREET NE,CALGARY,T2E4Z3,4039265469,57,12/18/2020,INSPECTION,,,,,,
3C79FB9F086EBE77C4C7E96624509A9A,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS OUT OF SCHOOL CARE,6615 19 ST SE,CALGARY,T2C0P1,4035239779,10,12/18/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
3E6569F8242A29C50DA27DF2DDC0D453,DAY CARE PROGRAM,WEE WILD ONES BRIDGELAND,10 - 11A STREET NE,CALGARY,T2E4Z3,4039265469,166,12/18/2020,INSPECTION,,,,,,
53AD3FF7E69369701C6C08FF94EB0F50,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,26,12/18/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
