FAC_PARTY_ID,SERVICE_TYPE_CD,NAME,ADDRESS_1,ADDRESS_2,CITY,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE,WEBSITE,EMAIL,OP_WEEKDAY_YN,OP_WEEKEND_YN,OP_STAT_HOLIDAY_YN,OP_OVERNIGHT_YN,OP_EXT_WEEKDAY_BEFORE6AM_YN,OP_EXT_WEEKDAY_AFTER7PM_YN,SRVC_UNDER36_YN,SRVC_30MOS_5YRS_YN,SRVC_LICPRE_YN,SRVC_OOS_KINDER_YN,SRVC_OOS_GR1_AGE12_YN,LANG_CANTONESE_YN,LANG_PUNJABI_YN,LANG_MANDARIN_YN,LANG_FRENCH_YN,LANG_SPANISH_YN,LANG_OTHER_YN,PROVIDE_CD_MEALS,PROVIDE_CD_PICKUP,PRESCHOOL_MORNING_YN,PRESCHOOL_MIDDAY_YN,PRESCHOOL_AFTERNOON_YN,ABORIGINAL_PROGRAMMING_YN,ACCOMMODATE_SPECIAL_NEEDS,ECE_CERTIFICATION_YN,ELF_PROGRAMMING_YN,VACANCY_SRVC_UNDER36,VACANCY_SRVC_30MOS_5YRS,VACANCY_SRVC_LICPRE,VACANCY_SRVC_OOS_GR1_AGE12,VACANCY_LAST_UPDATE,HA_FAC_INSPEC_RPTS,IS_INCOMPLETE_IND,IS_CCFRI_AUTH,IS_DUPLICATE
3580,Licensed Family,Rainbow Daycare,201 6Th Ave E,,Prince Rupert,V8J 1W2,54.314291,-130.316674,250-600-4365,,lizzie71@live.ca,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Included in fee,Include in fee,N,N,N,N,N,N,N,N,N,N,N,2021/09/15,http://www.healthspace.ca/Clients/NHA/NHA_Website.nsf,N,Y,N
3581,Licensed Group,Bethel Children's Hour,1-8920 Broadway,,Chilliwack,V2P 5W1,49.164171,-121.932959,604-794-7114,,robnadine@shaw.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/05/31,http://www.healthspace.ca/fha/childcare,N,N,N
3582,Licensed Family,Tracy's Tots,11662 94 Ave,,Delta,V4C 3R6,49.173147,-122.899526,604-588-0699,,tracymolson@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,Y,N,N,2021/09/01,http://www.healthspace.ca/fha/childcare,N,Y,N
3583,Licensed Group,Aberdeen Hall Preparatory School,950 Academy Way,,Kelowna,V1V 3A4,49.92725,-119.408161,250-491-1270,,susanne.raye@aberdeenhall.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/07/06,https://www.interiorhealth.ca/HedgehogPortal/facility/Table,N,Y,N
3584,Licensed Family,Tiny Tots Playhouse Family Child Care,3217 Richmond Street,,Richmond,V7E 2V7,49.128634,-123.188851,604-285-6013,,michelle@tinytotsplayhouese.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/10,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3585,Licensed Family,Discovery Family Child Care,1958 Napier St,,Vancouver,V5L 2N7,49.274604,-123.064243,604-369-0488,,sarahandraycc@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/26,http://www.vch.ca/your_environment/facility_licensing/residential_care/inspection_reports/,N,Y,N
3586,Licensed Group,Sandbox Station Daycare,9574 160Th St,,Surrey,V4N 2R6,49.176369,-122.778564,604-771-6825,,minbilg@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2021/09/13,http://www.healthspace.ca/fha/childcare,N,Y,N
3587,Licensed Group,Sandpiper Group Day Care,2805 Revelstoke Crt,,Vancouver,V6T 1S1,49.26086,-123.23505,604-822-9386,,joel.kobylka@ubc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/23,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3588,Licensed Group,Smuyuq'wa' Lelum Ece Centre,4602 Blue Heron Dr,,Tsawwassen,V4M 4G2,49.037366,-123.096016,604-943-2112,,cgurniak@tsawwassenfirstnation.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/08/25,http://www.healthspace.ca/fha/childcare,N,Y,N
3589,Licensed Group,Creative Explorer's Daycare,4  13570  78Th Ave,,Surrey,V3W 8V3,49.144339,-122.846633,604-725-7071,,creativeexplorersdaycare@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,Y,Y,N,2021/09/15,http://www.healthspace.ca/fha/childcare,N,Y,N
