Name,Community,"Contact Name",Website,Email,Telephone,"Street Address","Operating Grant"
"A Home Away From Home Childcare Centre",Brigus,"Lisa Harris",,lisaharris@hotmail.com,"(709) 528-9529","268 Conception Bay Highway",Yes
"Activ Time Edu-Care Learning Centre","Conception Bay South","Brenda Hutchings",,infor@activ-time.ca,"(709) 834-3534","14 Fowler's Road",Yes
"Activ-Time Preschool and Daycare","Conception Bay South","Kimberley Batten",,info@activ-time.ca,"(709) 834-3534","12 Fowler's Road",Yes
"Adventure Place Childcare","Pouch Cove","Melanie Ostberg",www.adventureplacechildcare.com,joanne@adventureplacechildcare.ca,"(709) 232-6131","13 - 19 Satellite Road",Yes
"After the Bell School Age Child Care Service",Pasadena,"Kaylee Rose",,afterthebell.ppc@gmail.com,"(709) 686-5142","3 Fourth Avenue",Yes
"Ajagutak Centre",Hopedale,"Tracy Dicker",,tracy.dicker@nunatsiavut.com,"(709) 933-3821","36 Centre Avenue",Yes
"Apples to Zebras","Mount Pearl","Sherry Smith",,applestozebras@outlook.com,"(709) 221-1411","13 Pleasant Avenue",Yes
"Astros Infant Care Centre","Bay Roberts","Bernadine Kent",,bernadinekent@nlesd.ca,"(709) 786-3400","32 Conception Bay Highway ",Yes
"Ballicatter After School Program","Portugal Cove-St. Philip's","Michelle Vokey",,ballicatterasp@gmail.com,"(709) 743-7678","20 Coadys Road",Yes
"Bay Bulls Child Care Centre","Bay Bulls","Marie St. Croix",,baybullschildcare2020@outlook.com,"(709) 334-3594","48A Cemetery Lane West",Yes
"Bayshore Daycare ","Bay Roberts","Krista Sparkes Mercer",,krista_sparkes@live.ca,"(709) 786-7918","14 Bayshore Estates",Yes
"Bloomsbury Child Care Centre","St. John's","WynnAnn Fahey",,bloomsbury389@gmail.com,"(709) 753-2273","389 Stavanger Drive",No
"Bright Beginnings","Bishop's Falls","Pamela Hoffe",,phoffe80@hotmail.com,"(709) 395-2020","399 Main Street",Yes
"Bright Ridge Child Care Centre",Paradise,"Pamela Pike",www.brightridgechildcare.com,allison@brightridgechildcare.com,"(709) 700-1961","3 Fairlane Street",Yes
"Bright Stars School Age Care",Carbonear,"Jessica Galway",,kidzatheartlearning@hotmail.com,"(709) 596-3957","58 High Road South",Yes
"Building Blocks Child Care Centre",Wabush,"Crystal Lavallee-Buckle",,buildingblockschildcare2@hotmail.com,"(709) 282-6812","70-78 Bowater Drive",Yes
"Building Blocks Quality Child Care Centre #1 - Elliott Premises","Harbour Breton","Melissa Taylor",,buildingblocksqualitychildcarecenter@hotmail.com,"(709) 885-2226","33-37 Elliott Drive",Yes
"Building Blocks Quality Child Care Centre #2 - St. Joseph's","Harbour Breton","Chelsea Snook",,hbcyn@nf.aibn.com,"(709) 885-3341","112-120 Bay d'Leau Drive",Yes
"Burgeo Academy Preschool",Burgeo,"Angela Simms",,bsgcacnf@nfld.net,"(709) 886-2590","1 School Road",Yes
"Busy Bees Preschool",Stephenville,"Amanda Cook",,busybeesnl@hotmail.com,"(709) 643-4206","21 Colonial Avenue",Yes
"Campus Childcare - Activity Centre","St. John's","Deanna Whey",www.mun.ca/childcare,childcare@mun.ca,"(709) 864-4729","Burtons Pond Road, MUN Campus",Yes
"Campus Childcare - Preschool I","St. John's","Heather Stratton",www.mun.ca/childcare,childcare@mun.ca,"(709) 864-4728","Burtons Pond Road, MUN Campus",Yes
"Campus Childcare - Preschool II","St. John's","Michelle Barnes",www.mun.ca/childcare,childcare@mun.ca,"(709) 864-4728","Burtons Pond Road, MUN Campus",Yes
"Campus Childcare - Toddler Centre","St. John's","Marie Lamkin",www.mun.ca/childcare,childcare@mun.ca,"(709) 864-4728","Burtons Pond Road, MUN Campus",Yes
"Central Labrador YMCA","Happy Valley-Goose Bay","Jaclyn Penney",,jaclyn.penney@nl.ymca.ca,"(709) 896-9622","2 Corporal O'Quinn Boulevard",Yes
"Child Matters Incorporated",Paradise,"Jennifer Anderson",,childmattersinc@gmail.com,"(709) 330-2273","55 Karwood Drive",Yes
"Children's Choice Learning Centre","Conception Bay South","Diane Wiseman",,childrenschoicelearning@nf.aibn.com,"(709) 744-3003","1043 Conception Bay South Highway",Yes
"College of the North Atlantic Child Care Centre","Happy Valley-Goose Bay","Karen Singh",,carla.oldford@cna.nl.ca,"(709) 896-6350","219 Hamilton River Road",Yes
"College of the North Atlantic Children's Centre","St. John's","Charlene Boone",,,"(709) 758-7444","50 Gooseberry Lane",Yes
"Confederation Building Day Care Centre","St. John's","Ruby Thorne",www.exec.gov.nl.ca/exec/hrs/diversity/government_daycare.html,daycare@gov.nl.ca,"(709) 729-6038","100 Prince Phillip Drive",Yes
"Creative Beginnings Day Care Centre","Corner Brook","Jennifer Ryles",,creativebeginnings@academycanada.com,"(709) 637-2121","17 Montgomerie Street ",No
"Creative Discovery Children's Centre","St. John's","Andrea Blair",,suzanneblair@nf.sympatico.ca,"(709) 368-4088","31 Doyles Road",Yes
"Creative Kids Afterschool Club","St. John's","Everard Paula",,,"(709) 364-3890","434 Main Road",Yes
"Creative Kids Daycare","St. John's","Susan Chafe",,cat123@nl.rogers.com,"(709) 364-3890","23 Bishop's Line",Yes
"Creative Learning Child Care Centre 2012","Grand Falls-Windsor","Keshia Stuckless",,klnn@live.ca,"(709) 489-1919","17 Hardy Avenue",Yes
"Daybreak Parent Child Centre ","St. John's","Megan Porter",www.daybreakcentre.com,mporter@daybreakcentre.com,"(709) 726-8373","74 The Boulevard",No
"Discovery Daycare",Clarenville,"Shannon Ramos",,clarenvilledaycare@gmail.com,"(709) 433-3150","276 Balbo Drive",Yes
"Discovery Days Children's Centre","St. John's","Tricia Pinnock-Grandison",,suzanneblair@nf.sympatico.ca,"(709) 364-1872","2 Stead Place",Yes
"Donna's Childcare Centre","Mount Pearl","Denise Bowles",,donnadaycare@hotmail.com,"(709) 368-0496","1010 Topsail Road",Yes
"Dr. A.T. Brace Children's Centre","St. John's","Dana Pynn",www.littlepeoplesworkshop.ca,amanda@littlepeoplesworkshop.ca,"(709) 739-5866","170 Campbell Avenue ",Yes
