,name,source_facility_type,source_id,capacity,facility_type,city,full_address,postal_code,provider
0,ISHINE CHILDCARE,OUT OF SCHOOL CARE PROGRAM,01CBDCE576D43FEC1C7034AD38112D83,12,Day Care,CALGARY,211 - 47 STREET SE,T2A1N9,Province of Alberta
1,CALGARY KIDS MONTESSORI ACADEMY LTD.,OUT OF SCHOOL CARE PROGRAM,0F9AD84BF1F6DCE62AF64053EED3227E,15,Day Care,CALGARY,"#110, 9937 FAIRMOUNT DRIVE SE",T2J0S2,Province of Alberta
2,METIS CALGARY FAMILY SERVICES SOCIETY LITTLE SUNDANCE CHILDCARE CENTRE,DAY CARE PROGRAM,12F37FB3356C8AF570CCF3F80F393E66,80,Day Care,CALGARY,352 SUNVALE DRIVE SE,T2X2P1,Province of Alberta
3,CAMPUS CORNER CHILDREN'S CENTRE,DAY CARE PROGRAM,1A62C1811F48EE2436207D4DD489D84D,50,Day Care,LLOYDMINSTER,2602 59TH AVE,T9V3N7,Province of Alberta
4,TINY TOTS DAY CARE,DAY CARE PROGRAM,1B9959474911059B4575984F8C210C87,22,Day Care,EDMONTON,7246B 101 AVENUE,T6A0J1,Province of Alberta
5,BRIGHT ADVENTURES DAYCARE LTD.,DAY CARE PROGRAM,1E147953612479EE3FA8D4ACB88D9B0A,63,Day Care,CALGARY,"#14, 30 COUNTRY HILLS LANDING NW",T3K5P4,Province of Alberta
6,SONSHINE DAYCARE,DAY CARE PROGRAM,2504C108CBA3E966618BF4475C4AB007,44,Day Care,TOFIELD,5830 51 STREET,T0B4J0,Province of Alberta
7,BRIGHT ADVENTURES DAYCARE LTD.,OUT OF SCHOOL CARE PROGRAM,3023E9903372FE431C497DC7989C412F,16,Day Care,CALGARY,"#14, 30 COUNTRY HILLS LANDING NW",T3K5P4,Province of Alberta
8,SANDSTONE CHILD LEARNING CENTRE,OUT OF SCHOOL CARE PROGRAM,337910A5A81B4C514AF59DFC354A2BE3,22,Day Care,CALGARY,3 SANDSTONE DR. NW,T3K2X2,Province of Alberta
9,CANMORE COMMUNITY DAY CARE,DAY CARE PROGRAM,3BBA54FA4FF5E27C66C6745850643C6A,90,Day Care,CANMORE,606B - 7 AVE,T1W2H5,Province of Alberta
11,ELLWOOD DAYCARE,DAY CARE PROGRAM,4637EF981D8281D25C8EA0E8C58D58AA,98,Day Care,EDMONTON,204 91 ST SW,T6X1W8,Province of Alberta
12,TINY TOTS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,497520652B7B6E3F2100E702388FD306,30,Day Care,EDMONTON,7246B 101 AVENUE,T6A0J1,Province of Alberta
13,SONSHINE PRESCHOOL,PRE-SCHOOL PROGRAM,4AF0DACD5684302E1EE5AB9AB1C61B9F,19,Day Care,TOFIELD,5830 51 STREET,T0B4J0,Province of Alberta
14,CHOICE DAYCARE,DAY CARE PROGRAM,4B21B28328818E19428A49CAC888B7FA,68,Day Care,EDMONTON,5247 55 AVENUE,T6B3V1,Province of Alberta
15,KALYNA KIDS PLAYSCHOOL,PRE-SCHOOL PROGRAM,4DCA67D33014EECD26254084E8F65982,54,Day Care,EDMONTON,11310 51 AVENUE,T6H0L7,Province of Alberta
16,EDMONTON GARRISON MILITARY FAMILY RESOURCE CENTRE DAYCARE,DAY CARE PROGRAM,585EAAD77D78ECFB0DA1B79D94971A74,80,Day Care,LANCASTER PARK,BLDG 161 MONS AVE/HWY 28A,T0A2H0,Province of Alberta
19,LITTLE FEET BIG STEPS DAYCARE,DAY CARE PROGRAM,5B728044DF3D5368EC59A6B5A6ED4530,62,Day Care,FORT SASKATCHEWAN,"117/119, 121 TOWN CREST ROAD",T8L0G7,Province of Alberta
20,LANCASTER PARK PLAYSCHOOL,PRE-SCHOOL PROGRAM,6EBEE624D463DA91C879415D5F9ADCE8,24,Day Care,LANCASTER PARK,BLDG 161 MONS AVE/HWY 28,T0A2H0,Province of Alberta
21,ISHINE CHILDCARE,DAY CARE PROGRAM,74404876E3E538F5A13CEE88434FA18F,28,Day Care,CALGARY,211 - 47 STREET SE,T2A1N9,Province of Alberta
22,MUNCHKIN ACADEMY INC.,PRE-SCHOOL PROGRAM,76C5AEFD544A8931AE56DE34DCF036ED,30,Day Care,AIRDRIE,"#316, 401 COOPERS BLVD. SW",T4B4J3,Province of Alberta
23,SANDSTONE CHILD LEARNING CENTRE,DAY CARE PROGRAM,78E7D3098729BA0FF1E33B6F2377D8F9,58,Day Care,CALGARY,3 SANDSTONE DR. NW,T3K2X2,Province of Alberta
24,LITTLE FEET BIG STEPS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,791FF20ABE9E080760E69D5033198D86,14,Day Care,FORT SASKATCHEWAN,"117/119, 121 TOWN CREST ROAD",T8L0G7,Province of Alberta
25,CANMORE PRESCHOOL,PRE-SCHOOL PROGRAM,7944561F921BB4DD2F5D408012D2B694,40,Day Care,CANMORE,606A - 7 AVENUE,T1W2H5,Province of Alberta
26,KREATIVE KIDZ OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,7993D782B9AF8002DA135A757F9C4CFA,15,Day Care,SHERWOOD PARK,37/67 SIOUX ROAD,T8A4C7,Province of Alberta
27,INNISFAIL SCHOOL AGE PROGRAM,OUT OF SCHOOL CARE PROGRAM,8A5072308F2ADA8FB0A7A41020013A4E,77,Day Care,INNISFAIL,"5152, 5160 AND 5156 - 42 STREET",T4G1E9,Province of Alberta
28,CAMPUS CORNER CHILDREN'S CENTRE,OUT OF SCHOOL CARE PROGRAM,9230321CAFA73B4C9854CBD4F33B0D48,10,Day Care,LLOYDMINSTER,2602 59 AVE,T9V3N7,Province of Alberta
29,SONSHINE CHILDREN'S CENTRE,DAY CARE PROGRAM,94873BC8883E935F90840161BD802225,28,Day Care,CALGARY,NO ADDRESS,,Province of Alberta
30,SONSHINE OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,98DD277CCF0A309F5ED2BAF738803290,19,Day Care,TOFIELD,5830 51 STREET,T0B4J0,Province of Alberta
31,YMCA ELLWOOD CHILD CARE,DAY CARE PROGRAM,99ADD86C45236E71A0278A1BE6C1C04C,47,Day Care,EDMONTON,2503 ELLWOOD DRIVE,T6X0P7,Province of Alberta
32,CREATIVE CRAYONS PRESCHOOL,PRE-SCHOOL PROGRAM,9DE7CDF3FA9FF5F013D65FD72E0EBABF,22,Day Care,CAMROSE,6406 44B AVE,T4V2M7,Province of Alberta
33,THE WILLOWTREE CHILDREN'S CENTER,DAY CARE PROGRAM,A0B1D282FB07C858DBB182FF659C650B,33,Day Care,HUGHENDEN,#9 MCKENZIE AVENUE,T0B2E0,Province of Alberta
36,DISCOVERIES PLAYSCHOOL,PRE-SCHOOL PROGRAM,A4DD02FC3F4D260391B7437C2EAF19E8,24,Day Care,INNISFAIL,4904 - 48 STREET,T4G1N1,Province of Alberta
37,BRIGHTPATH HIGHLAND PARK,DAY CARE PROGRAM,BB7FBEBB3645EBA59A6BFD36490F9FEB,75,Day Care,CALGARY,4311 - 1A STREET NW,T2K0X8,Province of Alberta
38,BRIGHTPATH BERMUDA,DAY CARE PROGRAM,BDD73EBCB147B727F2ADA126E11B1095,88,Day Care,CALGARY,3 BERMUDA ROAD NW,T3K1G5,Province of Alberta
39,GREENFIELD (BELGRAVIA) SCHOOL AGE PROGRAM,OUT OF SCHOOL CARE PROGRAM,BF143BC7D111C5292649C48356F2ED8C,47,Day Care,EDMONTON,7302 118 STREET,T6G1S4,Province of Alberta
40,KALYNA KIDS OSC,OUT OF SCHOOL CARE PROGRAM,C24A710AE4D8D2595D2FC700A528935B,50,Day Care,EDMONTON,11310 51 AVE NW,T6H0L7,Province of Alberta
41,CENTRE D'EXPERIENCE PRESCOLAIRE ET PARASCOLAIRE (CEPP),OUT OF SCHOOL CARE PROGRAM,CC0FDB64BE789778F859C4F32DF0C210,38,Day Care,EDMONTON,8505 68A STREET,T6B0J9,Province of Alberta
42,FLAGSTAFF FAMILY DAY HOME PROGRAM SOCIETY,FAMILY DAY HOME,D0912B4CF6B398AD878F98F0D4E37399,50,Home,KILLAM,4809-49TH AVENUE,T0B2L0,Province of Alberta
46,BEISEKER PLAYSCHOOL ASSOCIATION,PRE-SCHOOL PROGRAM,DA115151F6A6F8432E6D642F7B2952D8,18,Day Care,BEISEKER,401 - 5 STREET,T0M0G0,Province of Alberta
47,CALGARY KIDS MONTESSORI ACADEMY LTD.,DAY CARE PROGRAM,E36E126DF19E77C50A550189DF2BB0C1,74,Day Care,CALGARY,"#110, 9937 FAIRMOUNT DRIVE SE",T2J0S2,Province of Alberta
48,THE WILLOWTREE CHILDREN'S CENTER,OUT OF SCHOOL CARE PROGRAM,E79A53216213E699786F6F6CF14520F1,24,Day Care,HUGHENDEN,#9 MCKENZIE AVENUE,T0B2E0,Province of Alberta
50,KREATIVE KIDZ CHILDCARE,DAY CARE PROGRAM,E899887CD0FEDC47A0218C471C9833F4,75,Day Care,SHERWOOD PARK,37/67 SIOUX ROAD,T8A4C7,Province of Alberta
51,CLARESHOLM CHILD CARE SOCIETY,DAY CARE PROGRAM,0EA2051854AE6966CB28036EF61F2E2C,47,Day Care,CLARESHOLM,221 - 45 AVENUE WEST,T0L0T0,Province of Alberta
52,CALGARY INTERNATIONAL ACADEMY PRESCHOOL,PRE-SCHOOL PROGRAM,0FE4C8AF58A9275B78786422F4BEF524,24,Day Care,CALGARY,450 ROYAL OAK DRIVE NW,T3G5J7,Province of Alberta
57,TOTS 2 KIDS BEFORE & AFTER SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,1073D01BF440F15362D68990AEC3EC71,15,Day Care,EDMONTON,14804 78 STREET,T5C1H9,Province of Alberta
58,NOTRE DAME PRESCHOOL,PRE-SCHOOL PROGRAM,159F630BBF994FFFDB8227A4EE464AB3,18,Day Care,LEDUC,66 SOUTH PARK DRIVE,T9E7J1,Province of Alberta
59,EDMONTON AFTER SCHOOL CARE - MEADOWLARK,OUT OF SCHOOL CARE PROGRAM,2002B7F4DB2019CF30A8717F72FFADCA,48,Day Care,EDMONTON,9150 160 STREET,T5R2J2,Province of Alberta
60,LANSDOWNE CHILD CARE OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,25C8E687BA20FA4387A71D27B3193B47,50,Day Care,EDMONTON,12323 51 AVENUE,T6H0M6,Province of Alberta
