,name,source_facility_type,source_id,capacity,ages,infant,toddler,school_age,facility_type,full_address,provider
0,Family or Group Child Care Home *,Home,9804,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
2,Assiniboine Early Learning Centre Inc.,Centre,2088,56,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Room 249 1430 Victoria Avenue (Ave) E Brandon, MB",Province of Manitoba
3,Family or Group Child Care Home *,Home,9453,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
5,Family or Group Child Care Home *,Home,102392,5,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
7,BU Early Learning Centre Inc. Site #3,Centre,102654,15,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"451 18th Street Brandon, MB",Province of Manitoba
8,Children's Den Inc.,Centre,1241,34,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"King George School, Gymnasium 535 B Park Street Brandon, MB",Province of Manitoba
9,Family or Group Child Care Home *,Home,50801,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"38 Sifton Avenue (Ave) Brandon, MB",Province of Manitoba
11,Family or Group Child Care Home *,Home,9209,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
13,Community Partnership Committee for Pregnant and Parenting Youth,Centre,9779,8,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"104 - 1930 1 st Street Brandon, MB",Province of Manitoba
14,Debbie Beaudry,Home,9578,8,"Infant, Preschool, School Age",Y,Y,Y,Home,"1340 College Avenue (Ave) Brandon, MB",Province of Manitoba
15,Family or Group Child Care Home *,Home,100054,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
17,Erin Hodgson,Home,100069,7,"Infant, Preschool, School Age",Y,Y,Y,Home,"517 21ST Street BRANDON, MB",Province of Manitoba
18,Fuzzy Bears Inc.,Centre,9392,15,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"30 Knowlton Drive Brandon, MB",Province of Manitoba
19,Fuzzy Bears Inc.,Centre,1109,40,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Gymnasium, Community Room, Daycare 10 Knowlton Drive Brandon, MB",Province of Manitoba
20,Family or Group Child Care Home *,Home,9814,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
22,Family or Group Child Care Home *,Home,50578,12,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
24,Family or Group Child Care Home *,Home,50353,12,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
26,Family or Group Child Care Home *,Home,9648,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
28,Brandon Friendship Centre Inc.,Centre,101858,74,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"Unit B - 1129 3rd Street Brandon, MB",Province of Manitoba
29,Brandon Friendship Centre,Centre,9766,36,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"836 Lorne Avenue (Ave) Brandon, MB",Province of Manitoba
30,Linden's Kid's Klub Inc.,Centre,3045,50,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"32 Willowdale Crescent Brandon, MB",Province of Manitoba
31,Family or Group Child Care Home *,Home,101955,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
33,Magical Memories Learning Centre Inc.,Centre,9321,80,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"911 26th Street Brandon, MB",Province of Manitoba
34,Family or Group Child Care Home *,Home,102001,7,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
36,Megan and Dustin Van Damme,Home,102641,12,"Infant, Preschool, School Age",Y,Y,Y,Home,"11 Dominion Way Brandon, MB",Province of Manitoba
37,Family or Group Child Care Home *,Home,101782,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
39,Child and Family Services of Western Manitoba,Centre/Nursery,2110,24,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"2227 Brandon Avenue (Ave) Brandon, MB",Province of Manitoba
40,Family or Group Child Care Home *,Home,100291,6,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
42,Family or Group Child Care Home *,Home,9745,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
44,Tammy Chambers,Home,100391,8,"Infant, Preschool, School Age",Y,Y,Y,Home,None,Province of Manitoba
45,Child and Family Services of Western Manitoba,Centre,1119,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"2227 Brandon Avenue (Ave) Brandon, MB",Province of Manitoba
46,The Young Men's Christian Association of Brandon,Centre,9783,48,"Infant, Preschool, School Age",Y,Y,Y,Day Care,"YMCA Brandon 231 8th Street Brandon, MB",Province of Manitoba
