,name,source_facility_type,licence_status,street_number,street_name,city,province,postal_code,provider
0,Creative Minds Children Services,Child Care Centre,Inactive,61,Sherwood Drive,Brantford,ON,N3T 1N7,Province of Ontario
1,Creative Minds children services inc,Child Care Centre,Active,5,wade Avenue,"Brantford, On",ON,N3T 1W8,Province of Ontario
2,Durham Montessori School and Daycare,Child Care Centre,Active,200,Byron Street,Whitby,ON,L1N 4P6,Province of Ontario
3,Western Heights Montessori Academy,Child Care Centre,Active,186,Morrison Rd,Oakville,ON,L4J 4J4,Province of Ontario
4,1.2.3. LOOK AT ME CO-OPERATIVE NURSERY SCHOOL,Child Care Centre,Active,465,Maitland Avenue,Listowel,ON,N4W 2M7,Province of Ontario
5,100 Acre Wood Forest Preschool,Child Care Centre,Active,316362,3rd Line C,Heathcote,ON,N0H 1N0,Province of Ontario
6,CUTIES & PATOOTIES,Child Care Centre,Active,16655,Yonge Street,Newmarket,ON,L3X 1V6,Province of Ontario
7,Cuties and Patooties Childcare Center,Child Care Centre,Active,16655,Yonge Street,newmarket,ON,L3X 1V6,Province of Ontario
8,JINGBAO Bilingual Children’s Centre,Child Care Centre,Inactive,3195,Erindale Station Road,Mississauga,ON,L5C 1Y5,Province of Ontario
9,Eh to Zed Preschool Canada Early Learning Academy,Child Care Centre,Active,108,Hollidge Boulevard,AURORA,ON,L4G 8A3,Province of Ontario
10,Tiny Hoppers Sportsworld,Child Care Centre,Active,4341,King Street,Kitchener,ON,N2P 2E9,Province of Ontario
11,Delaware Early learning Centre,Child Care Centre,Active,162,Delaware Avenue,Hamilton,ON,L8M 1V6,Province of Ontario
12,1043282 Ontario Inc. - Markham Montessori School,Child Care Centre,Active,6007,16th Avenue,Markham,ON,L3P 2B2,Province of Ontario
13,LOCOMOTION DAYCARE SOUTH CENTRE,Child Care Centre,Active,6670,3RD lINE,Tottenham,ON,L0G 1W0,Province of Ontario
14,Locomotion Day Care Centre - Full Day,Child Care Centre,Active,235,Queen Street,Tottenham,ON,L0G 1W0,Province of Ontario
15,Tiny Hoppers Downtown Ottawa,Child Care Centre,Active,360,Lisgar Street,Ottawa,ON,K1P 5M1,Province of Ontario
16,Toks Christian Daycare,Child Care Centre,Active,244,Ontario Street,ST CATHARINES,ON,L2R 5L5,Province of Ontario
17,Kids First Child Care Centre,Child Care Centre,Active,1403,King Street East,Courtice,ON,L1E 2J6,Province of Ontario
18,Kids Can Doodle Inc.,Child Care Centre,Active,83,Dunlop Street,Richmond Hill,ON,L4C 2M6,Province of Ontario
19,Children on the Hill/Les enfants de la colline,Child Care Centre,Active,House of C,"Box 904, Confederation Bldg.",Ottawa,ON,K1A 0A6,Province of Ontario
20,Mississauga Montessori Preschool,Child Care Centre,Inactive,5685,Whittle Road,Mississauga,ON,L4Z 3P8,Province of Ontario
21,1099591 Ontario Ltd. - The Little School House,Child Care Centre,Inactive,333,Crosby Avenue,Richmond Hill,ON,L4C 4A6,Province of Ontario
22,Enquiring Minds Montessori,Child Care Centre,Active,24,Progress Avenue,Toronto,ON,M1P 2Y4,Province of Ontario
23,Mind Valley Montessori School,Child Care Centre,Inactive,18,King Street,Bolton,ON,L7E 1E8,Province of Ontario
24,ABC Day Nursery - 1121045 Ontario Inc.,Child Care Centre,Inactive,145,Marlee Avenue,Toronto,ON,M6B 3H3,Province of Ontario
