,name,source_full_address,full_address,street_number,street_name,unit,city,province,provider
22061,INSTALLATION L'AZUR,"7070, boulevard Perras","7070, Boulevard Perras",7070,boulevard perras,,Montréal,,Province of Quèbec
21068,LE PETIT CAMPUS,"2300, rue de la Terrasse","2300, Rue De La Terrasse",2300,rue de la terrasse,,Québec,,Province of Quèbec
23449,ATELIERS CAROLINE ET SES AMIS (PIEDMONT),"895, boulevard des Laurentides","895, Boulevard Des Laurentides",895,boulevard des laurentides,,Piedmont,,Province of Quèbec
9326,CORE CHILD CARE SOCIETY BEFORE AND AFTER SCHOOL,4632-3RD AVE,4632 3Rd Ave,4632,3rd ave,,EDSON,,Province of Alberta
41069,Crosstown School Age Program,55 Expo Blvd,55 Expo Blvd,55,expo blvd,,Vancouver,,Province of British Columbia
13435,AMBLESIDE DAYCARE,UNIT 114 6060 ANDREWS WAY SW,Unit 114 6060 Andrews Way Sw,6060,andrews way sw,unit 114,EDMONTON,,Province of Alberta
32055,Pauline Vanier Child Care Centre,,Nan,56,Oaklea Boulevard,,Brampton,ON,Province of Ontario
4946,BOYS & GIRLS CLUB OF COCHRANE AND AREA - GLENBOW CLUB,65 GLENPATRICK RD.,65 Glenpatrick Rd,65,glenpatrick rd,,COCHRANE,,Province of Alberta
4954,CHILDREN'S PLACE CHILD CARE CENTRE - OKOTOKS,102 ELIZABETH STREET,102 Elizabeth Street,102,elizabeth street,,OKOTOKS,,Province of Alberta
33640,Ferris Glen Learning Centre,,Nan,30,Voyer Road,,Corbeil,ON,Province of Ontario
19537,The Governing Council of The Salvation Army in Canada,"1390 Roy Avenue (Ave) Winnipeg, MB",1390 roy avenue  ,1390,roy avenue,,,,Province of Manitoba
18348,KIDS & COMPANY GULF CANADA SQUARE,"SUITE 157, 401 - 9 AVE SW",Suite 157 401 9 Ave Sw,401,9 ave sw,suite 157,CALGARY,,Province of Alberta
34136,GRAND VALLEY YMCA,,Nan,120,Main Street,,Grand Valley,ON,Province of Ontario
15723,FATHER HENRI VOISIN SCHOOL AGE PROGRAM,60 CLEARVIEW DRIVE,60 Clearview Drive,60,clearview drive,,RED DEER,,Province of Alberta
27883,Galaxy Montessori,,Nan,130,Tower Hill Road,,Richmond Hill,ON,Province of Ontario
24664,CENTRE DE LA PETITE ENFANCE SAKIHITOKIWAM,"32C, rue Tcikatnaw, c. p. 214","32C, Rue Tcikatnaw, C P 214",rue tcikatnaw,c p 214,32c,Obedjiwan,,Province of Quèbec
43269,Pearson Road Elementary School,700 Pearson Road,700 Pearson Road,700,pearson road,,Kelowna,,Province of British Columbia
29181,Childventures Early Learning Academy,,Nan,10775,Leslie Street,,Richmond Hill,ON,Province of Ontario
41927,Garderie Les Etoiles De Mer,1951 Estevan Rd,1951 Estevan Rd,1951,estevan rd,,Nanaimo,,Province of British Columbia
7873,FATHER J.A. TURCOTTE SCHOOL - OUT OF SCHOOL CARE,"8553 FRANKLIN AVENUE, ROOM 135",8553 Franklin Avenue Room 135,franklin avenue,room 135,8553,FORT MCMURRAY,,Province of Alberta
25500,GARDERIE ÉDUCATIVE AU ROYAUME DES PETITS AMIS,"1985, boulevard Henri-Bourassa Est","1985, Boulevard Henri Bourassa Est",1985,boulevard henri bourassa est,,Montréal,,Province of Quèbec
9750,SOUTHFORK CHILDCARE,"102 SOUTHFORK DR, UNIT 102",102 Southfork Dr Unit 102,southfork dr,unit 102,102,LEDUC,,Province of Alberta
20912,CENTRE DE LA PETITE ENFANCE MARIE GODARD,"3800, rue de Marly, bureau 131","3800, Rue De Marly, Bureau 131",rue de marly,bureau 131,3800,Québec,,Province of Quèbec
30081,HAKUNA MATATA CHILD CARE INC,,Nan,6549,Mississauga Road,,Mississauga,ON,Province of Ontario
13773,LITTLE PEOPLE'S DAYCARE,2461 104 STREET,2461 104 Street,2461,104 street,,EDMONTON,,Province of Alberta
44029,Nipawin Day Care Co-op,"Box 2847, Nipawin, SK, S0E 1E0",,,,,,,Province of Saskatchewan
25875,GARDERIE KAT-KOUT INC.,"2205, rue de l'Église","2205, Rue De L'Église",2205,rue de l'église,,Saint-Laurent,,Province of Quèbec
41732,0 - 3 Little Feet Childcare Baby Centre,7960 12Th Ave,7960 12Th Ave,7960,12th ave,,Burnaby,,Province of British Columbia
41515,Springtree Montessori School,6693 Brantford Ave,6693 Brantford Ave,6693,brantford ave,,Burnaby,,Province of British Columbia
30631,Playbox Nursery Schools,,Nan,304,Spruce Street,,Oakville,ON,Province of Ontario
35443,Centre Parascolaire Entre Amis Junior - Between Friends Afterschool Junior',505 rue Champlain Dieppe NB,505 rue champlain ,505,rue champlain,,Dieppe,New Brunswick,GoDayCare.com
40792,Dougall Road Daycare,320 Dougall Rd S,320 Dougall Rd S,320,dougall rd s,,Kelowna,,Province of British Columbia
