,name,source_full_address,full_address,street_number,street_name,unit,city,province,provider
3130,TIPASKAN EDUCATIONAL OUT OF SCHOOL CARE,3216 82 STREET,3216 82 STREET,3216,82 street,,EDMONTON,,Province of Alberta
17192,Kelly's Home Daycare,3641 keith ave. Chelmsford ON,3641 keith ave ,3641,keith ave,,Chelmsford,Ontario,GoDayCare.com
15741,Kids And Company Red Deer,210 - 8 Conway Street Red Deer AB,210 8 conway street ,210 8,conway street,,Red Deer,Alberta,GoDayCare.com
19797,Huckleberry House Children's Centre,2853 Mine Road,2853 Mine Road,2853,mine road,,Port McNeill,,Province of British Columbia
24046,Camelot For Kids,2892 Mountain Hwy,2892 Mountain Hwy,2892,mountain hwy,,North Vancouver,,Province of British Columbia
9778,Le Relais Sts-Martyrs,,nan,425,Teefy Street,,Iroquois Falls,ON,Province of Ontario
14733,Fleming Junior Y (YMCA),,nan,22,Littles Road,,Toronto,ON,Province of Ontario
12421,OAKVILLE FAMILY YMCA SACC - SHERIDAN,,nan,1555,Lancaster Drive,,Oakville,ON,Province of Ontario
5579,CPE ARC-EN-CIEL,"1650, rue Dominion",1650 rue Dominion,1650,rue dominion,,Sherbrooke,,Province of Quèbec
8454,CENTRE DE LA PETITE ENFANCE LA RELÈVE V.-S.,"2511, rue Paul-Gérin-Lajoie",2511 rue Paul-Gérin-Lajoie,2511,rue paul-gérin-lajoie,,Vaudreuil-Dorion,,Province of Quèbec
20543,East Hill Appletree,3605 12 St,3605 12 St,3605,12 st,,Vernon,,Province of British Columbia
12870,PALMERSTON CO-OPERATIVE NURSERY SCHOOL INC.,,nan,315,Main Street,,Palmerston,ON,Province of Ontario
3672,"CEMAB PRESCHOOL, KG, DAYCARE",1105 FALCONRIDGE DRIVE NE,1105 FALCONRIDGE DRIVE NE,1105,falconridge drive ne,,CALGARY,,Province of Alberta
21815,James Park Childcare Inc.,1715 Westminster Ave,1715 Westminster Ave,1715,westminster ave,,Port Coquitlam,,Province of British Columbia
12654,PLASP - Brookmede Public School,,nan,2250,Council Ring Road,,Mississauga,ON,Province of Ontario
16035,Kinder Joy Daycare,406 Glencoe Dr Port Moody BC,406 glencoe dr ,406,glencoe dr,,Port Moody,British Columbia,GoDayCare.com
3676,CHILD'S PLAY OUT OF SCHOOL CARE @ ST BENEDICT,10340 19 ST SW,10340 19 ST SW,10340,19 st sw,,CALGARY,,Province of Alberta
16180,Garderie Tourelou,806 rue de l'√âcole Beresford NB,806 rue de l'√âcole ,806,rue de l'√âcole,,Beresford,New Brunswick,GoDayCare.com
16007,EDGEMONT VILLAGE DAY CARE,RUBY AVE NORTH VANCOUVER BC,ruby ave north ,,ruby ave north,,North Vancouver,British Columbia,GoDayCare.com
8535,CENTRE DE LA PETITE ENFANCE LA PETITE ECOLE - INSTALLATION 2,"210, rue de l'Église",210 rue de l'Église,210,rue de l'église,,Saint-Sylvère,,Province of Quèbec
1058,SHAREBEAR PLAYSCHOOL,4720 52 STREET,4720 52 STREET,4720,52 street,,STETTLER,,Province of Alberta
2949,CASTLEDOWNS CHILDCARE,11852/11854 145 AVENUE,11852/11854 145 AVENUE,11852/11854,145 avenue,,EDMONTON,,Province of Alberta
20791,Carr Group Childcare (School Age Care),4070 Oak St,4070 Oak St,4070,oak st,,Vancouver,,Province of British Columbia
3855,DOMINELLI FINE ARTS PRESCHOOL,"206, 16733 - 84 STREET",206 16733 84 STREET,206,16733 84 street,,EDMONTON,,Province of Alberta
3288,YMCA TWIN BROOKS OUT OF SCHOOL CARE,1120 113 STREET,1120 113 STREET,1120,113 street,,EDMONTON,,Province of Alberta
11105,Norman Village Montessori School,,nan,13,Deacon Lane,,Kenora,ON,Province of Ontario
16301,Garderie Des P'tites √âtoiles,180 Alexandrina Road Notre Dame NB,180 alexandrina road ,180,alexandrina road,,Notre Dame,New Brunswick,GoDayCare.com
3639,BLUE BIRD CHILD CARE CENTRE (WEST END),18204 84 AVENUE,18204 84 AVENUE,18204,84 avenue,,EDMONTON,,Province of Alberta
24751,Gloria Klemenz,"1150 Bogue Avenue, Moose Jaw, SK, S6H 4M5",1150 bogue avenue ,1150,bogue avenue,,,,Province of Saskatchewan
19990,Leap Forward,2758 Peatt Rd,2758 Peatt Rd,2758,peatt rd,,Victoria,,Province of British Columbia
4415,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
6621,GARDERIE LES TWEETOONS,"10431A, boulevard Gouin Ouest",10431A boulevard Gouin Ouest,10431a,boulevard gouin ouest,,Roxboro,,Province of Quèbec
12909,Waubeek Early Learning and Child Care Centre,,nan,66,Waubeek Street,,Parry Sound,ON,Province of Ontario
8157,LES FRIMOUSSES DE LA VALLÉE,"300, rue des Camélias",300 rue des Camélias,300,rue des camélias,,McMasterville,,Province of Quèbec
23527,Surrey Christian School Early Learning Centre - Cloverdale,5950 179 St,5950 179 St,5950,179 st,,Surrey,,Province of British Columbia
2011,YMCA CLAIRMONT OUT OF SCHOOL CARE,10407 - 97 STREET,10407 97 STREET,10407,97 street,,CLAIRMONT,,Province of Alberta
18994,Victoria Children's Centre (Prince Albert),91 PRINCE ALBERT RD.,91 PRINCE ALBERT RD,91,prince albert rd,,DARTMOUTH,,Province of Nova Scotia
7252,CENTRE DE LA PETITE ENFANCE LE CHAMPIGNON,"1164, boulevard Lemay",1164 boulevard Lemay,1164,boulevard lemay,,Thetford Mines,,Province of Quèbec
12923,Tiny Trojans Child Care Centre,,nan,7935,Kennedy Road,,BRAMPTON,ON,Province of Ontario
20570,Brookswood Kids Place Inc.,20390 40Th Ave,20390 40Th Ave,20390,40th ave,,Langley,,Province of British Columbia
20495,Growing Patch (The),6221 Tasa Pl,6221 Tasa Pl,6221,tasa pl,,Prince George,,Province of British Columbia
6867,CENTRE DE LA PETITE ENFANCE LE BONJOUR,"65, rue Smith",65 rue Smith,65,rue smith,,Gatineau,,Province of Quèbec
15986,Helping Hands Multi-Age Family Daycare,Metral Drive Nanaimo BC,metral drive ,,metral drive,,Nanaimo,British Columbia,GoDayCare.com
1036,MINI FRIENDS DAYCARE 2,12950/52 82 STREET,12950/52 82 STREET,12950/52,82 street,,EDMONTON,,Province of Alberta
15272,Lucan YMCA Child Care Centre,,nan,265,Main Street,,Lucan,ON,Province of Ontario
11990,Maple Tree Preschool - St. Benedict's Site,,nan,2993,Algonquin Road,,Sudbury,ON,Province of Ontario
10866,Gwillimbury Hills Day Care,,nan,18907,Leslie Street,,Sharon,ON,Province of Ontario
852,THE SCHOOL OF ATLANTIC BALLET ARTS AFTER SCHOOL PROGRAM 1,200 68 Highfield Street Moncton E1C 5N3 (506) 383-5951,200 68 highfield street ,200 68,highfield street,,,,Province of New Brunswick
10397,East Plains Co-op Preschool,,nan,375,Plains Road,,Burlington,ON,Province of Ontario
13875,The Magic Kingdom Learning Centre,,nan,179,Church Street,,Newmarket,ON,Province of Ontario
16829,Family Home Daycare,161 raymond rd Ancaster ON,161 raymond rd ,161,raymond rd,,Ancaster,Ontario,GoDayCare.com
10560,First Baptist Church - Teddy Bear Day Care - St. Paul Site,,nan,1,Edward Street,,Coniston,ON,Province of Ontario
24643,Lesleigh Leroux,"212 Crenshaw Way, Warman, SK, S0K 4S1",212 crenshaw way ,212,crenshaw way,,,,Province of Saskatchewan
2713,BRIGHTPATH MARLBOROUGH,4603 MARBANK DRIVE NE,4603 MARBANK DRIVE NE,4603,marbank drive ne,,CALGARY,,Province of Alberta
7186,LE MONDE DE KIWI (PAVILLON MARIE-VICTORIN),"265, route Marie-Victorin",265 route Marie-Victorin,265,route marie-victorin,,Lévis,,Province of Quèbec
10722,GENERATIONS DAY CARE - SOUTH PLYMPTON SITE,,nan,4741,Confederation Line,,Wyoming,ON,Province of Ontario
12202,Brockton Child Care Centre,,nan,81,Cemetary Road,,Walkerton,ON,Province of Ontario
4033,Dalhousie Day Care Inc.,"262 Dalhousie Drive Winnipeg, MB",262 dalhousie drive ,262,dalhousie drive,,,,Province of Manitoba
