CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
GDAIM,1075 Portage Avenue,Undetermined,,Indian Reserve,Administrative Area,IR,e3f910dc84224e31b68e047ba38248bc,49.8853605,-97.1773123,,Manitoba,50000,2019-08-02,Indigenous and Northern Affairs Canada
GBSQA,A Kwis Ki Mahka,Undetermined,,Indian Reserve,Administrative Area,IR,ca0642ac639242368a4612b10b70c715,56.345993,-94.710983,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBLPN,A. Enns Wildlife Refuge,Undetermined,,Wildlife Refuge,Administrative Area,PARK,624da7eebef911d892e2080020a0f4c9,49.191667,-97.663611,4-3-2W,Manitoba,1000000,2000-12-05,Manitoba-Sustainable Development
GAAKJ,Agassiz Provincial Forest,Undetermined,,Provincial Forest,Administrative Area,PARK,1453c87ebedb11d892e2080020a0f4c9,49.999722,-96.15,12-10-E,Manitoba,1000000,1976-03-30,Manitoba-Sustainable Development
GAAEE,Aghaming,Undetermined,,Northern Community,Populated Place,UNP,0fbb7c86bedb11d892e2080020a0f4c9,51.188889,-96.288889,4-26-9-E,Manitoba,50000,1994-03-31,Manitoba-Sustainable Development
GAAMO,Albert,Undetermined,,Rural Municipality,Administrative Area,MUN2,1d2e7a0fbedb11d892e2080020a0f4c9,49.443611,-101.12083,,Manitoba,50000,1933-12-31,Manitoba-Sustainable Development
GAAMP,Albert Beach,Undetermined,,Locality,Populated Place,UNP,3df1c4c0ba3411d892e2080020a0f4c9,50.680556,-96.513611,"19,20-7-E",Manitoba,250000,2002-03-21,Manitoba-Sustainable Development
GAANG,Alexander,Undetermined,,Rural Municipality,Administrative Area,MUN2,1f89a82abedb11d892e2080020a0f4c9,50.483333,-96.05,,Manitoba,50000,1997-12-24,Manitoba-Sustainable Development
GAANF,Alexander,Undetermined,,Local Urban District,Populated Place,UNP,1f838da9bedb11d892e2080020a0f4c9,49.83,-100.29528,17-10-21-W,Manitoba,1000000,1998-11-30,Manitoba-Sustainable Development
GAANW,Alfred Hole Goose Sanctuary,Undetermined,,Refuge,Administrative Area,PARK,210376f0bedb11d892e2080020a0f4c9,49.839167,-95.519167,"10-14,15-E",Manitoba,1000000,1994-03-31,Manitoba-Sustainable Development
GAANZ,Algar,Undetermined,,Locality,Populated Place,UNP,21099171bedb11d892e2080020a0f4c9,49.735833,-100.62139,11-9-24-W,Manitoba,250000,1955-01-20,Manitoba-Sustainable Development
GBGKV,Algonquin Park,Undetermined,,Neighbourhood,Populated Place,UNP,6f879b6bbef611d892e2080020a0f4c9,49.947222,-97.054167,,Manitoba,50000,1989-11-20,Manitoba-Sustainable Development
GBGKU,All Seasons Estates,Undetermined,,Neighbourhood,Populated Place,UNP,6f8159dabef611d892e2080020a0f4c9,49.936667,-97.049444,,Manitoba,50000,1989-11-20,Manitoba-Sustainable Development
GAAOL,Allegra,Undetermined,,Locality,Populated Place,UNP,21377f48bedb11d892e2080020a0f4c9,50.208889,-96.36,14-9-E,Manitoba,250000,1950-04-06,Manitoba-Sustainable Development
GBTEY,Allen Rapids,Undetermined,,Indian Reserve,Administrative Area,IR,6b44b245eb224665a3e5c6761e97a15a,55.032476,-93.87074,,Manitoba,50000,2017-03-30,Indigenous and Northern Affairs Canada
GAAPG,Almdals Cove,Undetermined,,Locality,Populated Place,UNP,228709c1bedb11d892e2080020a0f4c9,50.470278,-96.575556,21-17-7-E,Manitoba,50000,1978-07-24,Manitoba-Sustainable Development
GAAPK,Alonsa,Undetermined,,Rural Municipality,Administrative Area,MUN2,23b96f45bedb11d892e2080020a0f4c9,50.983333,-99.05,,Manitoba,50000,1997-12-24,Manitoba-Sustainable Development
GAAPJ,Alonsa,Undetermined,,Local Urban District,Populated Place,UNP,23b24354bedb11d892e2080020a0f4c9,50.798889,-98.974444,7-21-11-W,Manitoba,1000000,1998-11-30,Manitoba-Sustainable Development
GBFPL,Alonsa Wildlife Management Area,Undetermined,,Wildlife Management Area,Administrative Area,PARK,43fb3bddbef611d892e2080020a0f4c9,50.95,-99.240278,"22,23-13-W",Manitoba,1000000,1986-07-09,Manitoba-Sustainable Development
GAAPP,Alpine,Undetermined,,Locality,Populated Place,UNP,24bbeb27bedb11d892e2080020a0f4c9,51.750278,-101.49889,22-32-29-W,Manitoba,50000,1968-03-18,Manitoba-Sustainable Development
GAAPS,Altamont,Undetermined,,Local Urban District,Populated Place,UNP,24ceafd9bedb11d892e2080020a0f4c9,49.398611,-98.497222,21-5-8-W,Manitoba,250000,1998-11-30,Manitoba-Sustainable Development
GAAPT,Altbergthal,Undetermined,,Community,Populated Place,UNP,24d95e3abedb11d892e2080020a0f4c9,49.091667,-97.609722,1-2-2-W,Manitoba,250000,1994-03-31,Manitoba-Sustainable Development
GAAPV,Altona,Undetermined,,Town,Populated Place,TOWN,24e8ee9cbedb11d892e2080020a0f4c9,49.104722,-97.558889,"5,8-2-1-W",Manitoba,7500000,1956-12-31,Manitoba-Sustainable Development
GAAQC,Amaranth,Undetermined,,Local Urban District,Populated Place,UNP,24f91b3ebedb11d892e2080020a0f4c9,50.595556,-98.738333,1-19-10-W,Manitoba,1000000,1998-11-30,Manitoba-Sustainable Development
GAAQH,Ameer,Undetermined,,Locality,Populated Place,UNP,25f0c1b1bedb11d892e2080020a0f4c9,50.248333,-99.770833,5-15-17-W,Manitoba,250000,1993-06-30,Manitoba-Sustainable Development
GAAQK,Amery,Undetermined,,Community,Populated Place,UNP,25fd6be3bedb11d892e2080020a0f4c9,56.565,-94.0625,87-22-E,Manitoba,250000,1994-03-31,Manitoba-Sustainable Development
GBSRH,Amik Wachink Sakahikan,Undetermined,,Indian Reserve,Administrative Area,IR,534a9613fe7f4b30b8603823e73ac922,54.251129,-94.96957,,Manitoba,50000,1999-11-02,Indigenous and Northern Affairs Canada
GBLDT,Amisk Park Reserve,Undetermined,,Provincial Park,Administrative Area,PARK,44e4a96fbef911d892e2080020a0f4c9,56.790556,-97.921389,90-3W,Manitoba,1000000,1997-06-11,Manitoba-Sustainable Development
GBSPK,Anderson,Undetermined,,Indian Reserve,Administrative Area,IR,0943b7b720f94ebe8c32801126164cd8,54.382141,-96.6567,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
