details,home_day_care,day_care,infant,toddler,school_age
"Accepts 18 months to Kindergarten, Centre",N,Y,N,Y,N
"Accepts infants 6 weeks - 18 months, Accepts infants 6 weeks - Kindergarten, Centre",N,Y,Y,Y,N
"Accepts infants 6 weeks - 18 months, Centre",N,Y,Y,N,N
"Accepts infants 6 weeks - 18 months, Centre, Teen parent infant centre",N,Y,Y,N,N
"Accepts infants 6 weeks - 18 months, Home",Y,N,Y,N,N
"Accepts infants 6 weeks - 18 months, Teen parent infant centre, Centre",N,Y,Y,N,N
"Accepts infants 6 weeks - Kindergarten, Centre",N,Y,Y,Y,N
"Accepts infants 6 weeks - Kindergarten, Centre, Francophone",N,Y,Y,Y,N
"Accepts infants 6 weeks - Kindergarten, Teen parent infant centre, Centre",N,Y,Y,Y,N
"Centre, Accepts 18 months to Kindergarten",N,Y,N,Y,N
"Centre, Accepts infants 6 weeks - 18 months",N,Y,Y,N,N
"Centre, Accepts infants 6 weeks - 18 months, Extended hours",N,Y,Y,N,N
"Centre, Accepts infants 6 weeks - 18 months, Francophone",N,Y,Y,N,N
"Centre, Accepts infants 6 weeks - 18 months, Teen parent infant centre",N,Y,Y,N,N
"Centre, Accepts infants 6 weeks - Kindergarten",N,Y,Y,Y,N
"Centre, Extended hours, Accepts infants 6 weeks - 18 months",N,Y,Y,N,N
"Centre, Francophone, Accepts infants 6 weeks - 18 months",N,Y,Y,N,N
"Centre, Teen parent infant centre, Accepts infants 6 weeks - 18 months",N,Y,Y,N,N
"Extended hours, Accepts infants 6 weeks - 18 months, Centre",N,Y,Y,N,N
"Home, Accepts infants 6 weeks - 18 months, 24 hours",Y,N,Y,N,N
