age,infant,toddler,school_age
 infant and older,Y,Y,Y
" infant and older, 24 hours",Y,Y,Y
" infant and older, extended hours",Y,Y,Y
 infant and school-age,Y,N,Y
 infant to pre-school,Y,Y,N
" infant, toddler, pre-school",Y,Y,N
 infants and older,Y,Y,Y
" infants and older, extended-hour care",Y,Y,Y
 kindergarten and school-age,N,Y,Y
 pre-school,N,Y,N
 pre-school and older,N,Y,Y
 pre-school to school-age,N,Y,Y
 toddler and older,N,Y,Y
 toddler and pre-school,N,Y,N
 toddler to kindergarten,N,Y,N
 toddler to pre-school,N,Y,N
infants and older,Y,Y,Y
"kindergarten and school-age, French language only",N,Y,Y
pre-school,N,Y,N
