,name,source_facility_type,ages,capacity,infant,toddler,school_age,facility_type,full_address,provider
0,A 2 Z Learning & Care Centre,Full-time Centre,"Infant, Preschool, School-age",34.0,Y,Y,Y,Day Care,7 Theatre Street Minto E4B 3M9 (506) 327-3456,Province of New Brunswick
1,petit pas dans mon cole,Full-time Centre,"Infant, Preschool",53.0,Y,Y,N,Day Care,1341 chemin Robertville Robertville E8K 2V9 (506) 542-2453,Province of New Brunswick
2,A PLACE TO GROW CHILDREN'S CENTRE,Full-time Centre,"Infant, Preschool, School-age",30.0,Y,Y,Y,Day Care,205 York Street Bathurst E2A 1G9 (506) 543-1199,Province of New Brunswick
3,ABC PLUS,Full-time Centre,School-age,58.0,N,N,Y,Day Care,210 Road Mill Moncton E1A 4B1 (506) 857-8999,Province of New Brunswick
4,Academie Power Play Academy Moncton Campus 1,Part-time Centre,School-age,60.0,N,N,Y,Day Care,1240 Street Ryan Moncton E1G 2V6 (506) 854-7529,Province of New Brunswick
5,Academie Power Play Academy Moncton Campus 2,Full-time Centre,"Infant, Preschool, School-age",55.0,Y,Y,Y,Day Care,1240 Ryan Street Moncton E1G 2V6 (506) 854-7529,Province of New Brunswick
6,Academie Power Play Academy Moncton Campus 3,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,1240 Street Ryan Moncton E1G 2V6 (506) 878-1515,Province of New Brunswick
7,ACADMIE POWERPLAY ACADEMY,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,257 rue des Erables Dieppe E1A 9B1 (506) 853-7529,Province of New Brunswick
8,ACADMIE POWERPLAY ACADEMY 2,Full-time Centre,"Infant, Preschool, School-age",50.0,Y,Y,Y,Day Care,257 rue des Erables Dieppe E1A 9B1 (506) 853-7529,Province of New Brunswick
9,Acorn to Oak Academy,Full-time Centre,"Preschool, School-age",26.0,N,Y,Y,Day Care,62 Miramichi Road Oromocto E2V 1S2 (506) 357-2618,Province of New Brunswick
10,AFTERSCHOOL ADVENTURE CAMP,Part-time Centre,School-age,60.0,N,N,Y,Day Care,50 Runnymeade Road Riverview E1B 4M7 (506) 387-7070,Province of New Brunswick
11,Alicia's Centre for Education,Part-time Centre,School-age,15.0,N,N,Y,Day Care,61 Bull Road Bedell E7M 3Y2 (506) 328-0088,Province of New Brunswick
12,Amanda's House,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,18 Hillsleigh Court Douglas E3G 7Y9 (506) 260-9093,Province of New Brunswick
13,Ami Bee #2,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,866 chemin Robertville Dunlop E8K 2K5 (506) 783-4998,Province of New Brunswick
14,Amy's Childcare,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,25 Mcnair Drive Nackawic E6G 1A2 (506) 608-1736,Province of New Brunswick
15,ANGELS 'R' WEE,Full-time Centre,"Infant, Preschool, School-age",52.0,Y,Y,Y,Day Care,327 Prince West Street Saint John E2M 1P6 (506) 672-5155,Province of New Brunswick
16,Angie's Little Peeps Early Learning and Childcare,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,115 Maxwell Street Woodstock E7M 0B6 (506) 328-6724,Province of New Brunswick
17,ANNETTE'S EARLY CHILDHOOD CARE AND DEVELOPMENT CENTRE,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,28 Christopher Crescent Moncton E1G 0A5 (506) 204-4299,Province of New Brunswick
18,APRES-CLASSE MONTESSORI DIEPPE AFTER SCHOOL,Part-time Centre,School-age,49.0,N,N,Y,Day Care,733 chemin Chartersville Dieppe E1A 1K7 (506) 854-8484,Province of New Brunswick
19,Au pays des merveilles,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,162 chemin Cormier Village Grand-Barachois (506) 532-9536,Province of New Brunswick
20,Awesome Blossom Early Learning,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,553 104 Route Burtts Corner E6L 2B2 (506) 363-5551,Province of New Brunswick
21,Baby Steps Daycare,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,71 D'Amours Street Oromocto E2V 0G5 (506) 357-5437,Province of New Brunswick
22,Back Yard Treasures,Home,"Preschool, School-age",9.0,N,Y,Y,Home,61 MacDonald Avenue Oromocto E2V 1A3 (506) 357-3890,Province of New Brunswick
23,Barrel of Monkey's Daycare,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,148 Mataya Drive Richibucto Road E3A 0A6 (506) 454-7510,Province of New Brunswick
