,name,city,full_address,provider
0,Ndilo,none,none,Northwest Territories
1,Dancing Lights Family Day Home,Yellowknife,none,Northwest Territories
2,Chickadee Childcare,Yellowknife,none,Northwest Territories
3,Dlne Preschool,Dlne,none,Northwest Territories
4,Dezona Ka Zue Child Care,Fort Liard,none,Northwest Territories
5,Ecole St. Joseph Afterschool Program C,Yellowknife,none,Northwest Territories
6,Hay River Reserve,none,none,Northwest Territories
7,Aurora Learn and Play Dayhome,Yellowknife,none,Northwest Territories
8,Ecole St. Joseph Afterschool Program B,Yellowknife,Ecole St. Joseph School,Northwest Territories
9,CJBS Child Development Centre,Behchoko,none,Northwest Territories
11,Hay River NT,none,none,Northwest Territories
12,Behchoko,none,none,Northwest Territories
13,Aboriginal Head Start,Hay River Reserve,none,Northwest Territories
14,Dees Day Home,Yellowknife,none,Northwest Territories
15,Done Necha-lia Gha Enitl'e Ko (Ndilo Aboriginal Head Start-3 year old Program),Ndilo,none,Northwest Territories
16,Dlne,none,none,Northwest Territories
17,Dene Ts'eh Ts'udaa K'ehondii Koe Daycare,Hay River Reserve,none,Northwest Territories
18,Ann's Day Home,Yellowknife,none,Northwest Territories
19,Deh Gah Youth Centre Afterschool Program,Fort Providence,none,Northwest Territories
20,Done Necha-lia Gha Enitl'e Ko (Ndilo Aboriginal Head Start 4 year old Program),Ndilo,none,Northwest Territories
21,Fort Liard,none,none,Northwest Territories
22,Aklavik,none,none,Northwest Territories
23,Hay River,none,none,Northwest Territories
24,Centre for Northern Families Daycare,Yellowknife,none,Northwest Territories
25,Inuvik,none,none,Northwest Territories
26,Bright Beginnings Day Home,Yellowknife,none,Northwest Territories
27,Arlane's Family Day Home,Hay River,10 John Mapes Crescent,Northwest Territories
28,Children First Centre,Inuvik,none,Northwest Territories
29,AFCHR - Ecole Boreale garde apres ecole,Hay River NT,"145 Riverview Drive, Ecole Boreale",Northwest Territories
30,Fort Providence,none,none,Northwest Territories
31,Dezoah Undaa Etleh Koke Aboriginal Head Start,Fort Providence,none,Northwest Territories
32,Abacus 123 Family Day Home,Yellowknife,none,Northwest Territories
33,ABC's Day Home,Yellowknife,none,Northwest Territories
34,Aklavik Child Development Centre,Aklavik,none,Northwest Territories
35,Amanda's House Family Day Home,Yellowknife,none,Northwest Territories
36,Yellowknife,none,none,Northwest Territories
37,Garderie Plein Soleil,Yellowknife,48 Taylor Road,Northwest Territories
38,"Grow, Explore and Learn Family Day Care",Yellowknife NT,none,Northwest Territories
39,Garderie Plein Soleil Parascolaire C #417,Yellowknife,none,Northwest Territories
40,Jason Jacobson Youth Centre,Tuktoyaktuk,none,Northwest Territories
41,Erlinda's Family Day Home,Hay River,none,Northwest Territories
42,Jayne Cunningham's Day Home,Yellowknife,none,Northwest Territories
43,Garderie Plein Soleil Parascolaire A #76,Yellowknife,none,Northwest Territories
44,Jack and Jill Family Day Home,Hay River,none,Northwest Territories
45,Garderie Plein Soleil Parascolaire B #404,Yellowknife,Ecole Alain St. Cyr,Northwest Territories
46,Fantastic Dayhome,Yellowknife,none,Northwest Territories
47,GabyRon Corner Day Home,Yellowknife,none,Northwest Territories
48,Ecole St. Joseph Afterschool Program A,Yellowknife,Ecole St. Joseph School,Northwest Territories
49,Kristie's KiddieGarden,Fort Smith,none,Northwest Territories
50,Jaigene's Family Day Home,Hay River,none,Northwest Territories
51,Julia Murphy Day Home,Yellowknife,none,Northwest Territories
52,Kingullivut,Sachs Harbour,none,Northwest Territories
53,Haley's Dayhome,Yellowknife,none,Northwest Territories
54,Happy Tots Day Home,Yellowknife,none,Northwest Territories
55,Enterprise After School Program,Enterprise,none,Northwest Territories
