,name,ages,infant,toddler,school_age,full_address,province,city,provider
0,Acme Daycare Association,Toddler Kindergarten Preschool,N,Y,N,323 Walsh Street Acme AB,Alberta,Acme,GoDayCare.com
1,A Little Peace Of Heaven Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,meadowbrook Drive Airdrie AB,Alberta,Airdrie,GoDayCare.com
2,A Place Like Home - The Clubhouse,Toddler Kindergarten Preschool Schoolage,N,Y,Y,Canals Airdrie AB,Alberta,Airdrie,GoDayCare.com
3,Active Kids Zone,Toddler Preschool,N,Y,N,Summerfield Close Airdrie AB,Alberta,Airdrie,GoDayCare.com
4,Airdrie Nana's House (Dayhome) Sagewood,Kindergarten Preschool,N,Y,N,2053 Sagewood Manor SW Airdrie AB,Alberta,Airdrie,GoDayCare.com
5,Airdrie Daycare Centre Ltd.,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Range Road 293 Airdrie AB,Alberta,Airdrie,GoDayCare.com
6,AIRDRIE HIGH QUALITY APPROVED FAMILY DAY HOME,Infant Toddler Kindergarten Preschool,Y,Y,N,Kingston Cres. SE Airdrie AB,Alberta,Airdrie,GoDayCare.com
7,Airdrie Prairie Springs Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Prairie Springs Airdrie AB,Alberta,Airdrie,GoDayCare.com
8,Amy's Dayhome,Preschool,N,Y,N,55 Sunridge Crescent NW Airdrie AB,Alberta,Airdrie,GoDayCare.com
9,B4 And After School Care,Kindergarten Schoolage,N,Y,Y,293 Canals Circle Airdrie AB,Alberta,Airdrie,GoDayCare.com
10,Bendall Cattle Dayhome,Infant Toddler Preschool,Y,Y,N,Hwy 36 Ashmont AB,Alberta,Ashmont,GoDayCare.com
11,Whispering Hills Daycare,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,#2 University Drive Athabasca AB,Alberta,Athabasca,GoDayCare.com
12,Banff Child Care Centre,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Box 1454 Banff AB,Alberta,Banff,GoDayCare.com
13,Julie's Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,53 Street Bashaw AB,Alberta,Bashaw,GoDayCare.com
14,Miss Kate`s Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,"50 Rue Montalet, Beaumont AB Beaumont AB",Alberta,Beaumont,GoDayCare.com
15,Eden Valley Child Development Centre,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Box 809 Black Diamond AB,Alberta,Black Diamond,GoDayCare.com
16,Horizon Childcare Ltd.,Infant Toddler Kindergarten Preschool,Y,Y,N,4914 Broadway Ave. Blackfalds AB,Alberta,Blackfalds,GoDayCare.com
17,Little Star Play School,Preschool Schoolage,N,Y,Y,5009 Broadway Ave Blackfalds AB,Alberta,Blackfalds,GoDayCare.com
18,Ashton's Daycare,Toddler Kindergarten Preschool Schoolage,N,Y,Y,2110 23 Ave Bowden Bowden AB,Alberta,Bowden,GoDayCare.com
19,Piikani Child Care Centre,Infant Toddler Kindergarten Preschool,Y,Y,N,PO Box 3059 Brocket AB,Alberta,Brocket,GoDayCare.com
20,Alberta Aproved Family Day Home,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,47 greenbrook mobile village Brooks AB,Alberta,Brooks,GoDayCare.com
21,Little Children Day Homes. Agency,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,12 Lakeview Cres. E. Brooks AB,Alberta,Brooks,GoDayCare.com
22,Wizkid's Afterschool Program,Schoolage,N,N,Y,323 1st Street East Brooks AB,Alberta,Brooks,GoDayCare.com
23,Bruderheim Daycare And OSC,Toddler Kindergarten Preschool Schoolage,N,Y,Y,4924 51st Ave Bruderheim Bruderheim AB,Alberta,Bruderheim,GoDayCare.com
24,Room2Grow Day Home,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,42 Street SE Calgary AB,Alberta,Calgary,GoDayCare.com
25,Kids Avenue Calgary,Infant Toddler Kindergarten Preschool,Y,Y,N,835 8 ave SW Calgary AB,Alberta,Calgary,GoDayCare.com
26,Claudia's Day Home,Infant Toddler Kindergarten Preschool,Y,Y,N,"Cougarstone Square SW, Calgary, AB Calgary AB",Alberta,Calgary,GoDayCare.com
27,KIDS CAN BE KIDS,Toddler Kindergarten Preschool,N,Y,N,strathcona Calgary AB,Alberta,Calgary,GoDayCare.com
28,Ara's Corner Day Home,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,311 Prestwick Circle SE Calgary AB,Alberta,Calgary,GoDayCare.com
29,Maple Tree Dayhome,Infant Toddler Preschool,Y,Y,N,"Masters heights, SE Calgary AB",Alberta,Calgary,GoDayCare.com
30,The Bs Knees Day Home,Infant Toddler Preschool,Y,Y,N,Cranston Way SE Calgary AB,Alberta,Calgary,GoDayCare.com
31,Lil Ren's Tot Watch,Toddler Kindergarten Preschool Schoolage,N,Y,Y,Cougar Plateau Mews SW Calgary AB,Alberta,Calgary,GoDayCare.com
32,Charleswood Day Nursery(2003) Ltd.,Toddler Kindergarten Preschool,N,Y,N,Capri Ave. N.W. Calgary AB,Alberta,Calgary,GoDayCare.com
33,Twinkle Star Dayhome,Infant Toddler Preschool,Y,Y,N,"Evansborough Way, NW Calgary AB",Alberta,Calgary,GoDayCare.com
34,(NEW) Huntington Hills Dayhome,Toddler Kindergarten Preschool,N,Y,N,131 Huntington Green NE Calgary AB,Alberta,Calgary,GoDayCare.com
35,1st Steps Day Home,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,9 ST N.E Calgary AB,Alberta,Calgary,GoDayCare.com
36,2000 Days Pre-Kindergarten,Infant Toddler Kindergarten Preschool,Y,Y,N,5728 1 St SW Calgary AB,Alberta,Calgary,GoDayCare.com
37,24 Hour Day Home In Coventry Hills,Infant Toddler Kindergarten Preschool,Y,Y,N,112 Covepark way ne Calgary AB,Alberta,Calgary,GoDayCare.com
