CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
GDAIM,1075 Portage Avenue,Undetermined,,Indian Reserve,Administrative Area,IR,e3f910dc84224e31b68e047ba38248bc,49.8853605,-97.1773123,,Manitoba,50000,2019-08-02,Indigenous and Northern Affairs Canada
GAHPC,11-A Drain,Undetermined,,Drain,Constructed Feature,HYDR,e6f0287abee011d892e2080020a0f4c9,49.6205560,-97.5947220,36-7-2-W,Manitoba,250000,1977-08-16,Manitoba-Sustainable Development
GBSMU,17 Wing Winnipeg,Undetermined,,Canadian Forces Base,Constructed Feature,MIL,283392e9ba2e11d892e2080020a0f4c9,49.8888890,-97.2347220,,Manitoba,50000,1993-04-01,National Defence
GBSMV,17e Escadre Winnipeg,Undetermined,,Canadian Forces Base,Constructed Feature,MIL,283392e9ba2e11d892e2080020a0f4c9,49.8888890,-97.2347220,,Manitoba,50000,1993-04-01,National Defence
GBSQA,A Kwis Ki Mahka,Undetermined,,Indian Reserve,Administrative Area,IR,ca0642ac639242368a4612b10b70c715,56.3459930,-94.7109830,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBLPN,A. Enns Wildlife Refuge,Undetermined,,Wildlife Refuge,Administrative Area,PARK,624da7eebef911d892e2080020a0f4c9,49.1916670,-97.6636110,4-3-2W,Manitoba,1000000,2000-12-05,Manitoba-Sustainable Development
GAAIC,Aandal Lake,Undetermined,,Lake,Water Feature,LAKE,10f0c83cbedb11d892e2080020a0f4c9,58.4897220,-101.6486100,,Manitoba,250000,1972-04-14,Manitoba-Sustainable Development
GAAIG,Abbott Lake,Undetermined,,Lake,Water Feature,LAKE,10f709cdbedb11d892e2080020a0f4c9,59.6644440,-97.3316670,,Manitoba,250000,1974-12-27,Manitoba-Sustainable Development
GAAIH,Abbotts Lake,Undetermined,,Lake,Water Feature,LAKE,10fdc08ebedb11d892e2080020a0f4c9,51.0308330,-98.0611110,35-23-5-W,Manitoba,50000,1978-10-04,Manitoba-Sustainable Development
GAAIJ,Abel Lake,Undetermined,,Lake,Water Feature,LAKE,11049e5fbedb11d892e2080020a0f4c9,58.9916670,-100.6458300,,Manitoba,250000,1972-04-26,Manitoba-Sustainable Development
GAAIL,Abes Lake,Undetermined,,Lake,Water Feature,LAKE,110b5420bedb11d892e2080020a0f4c9,50.9644440,-98.0697220,23-5-W,Manitoba,50000,1979-09-10,Manitoba-Sustainable Development
