CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
HAWAI,106-Narrow Lake-120 Road Corridor Game Preserve,Undetermined,,Game Preserve,Administrative Area,PARK,0c329ac2849c20c3036479d6684c7340,54.2833894,-104.633767,,Saskatchewan,1000000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABJF,Abbey,Undetermined,,Village,Populated Place,VILG,0cfe44ba849c20c3fc724fabc8309129,50.7366361,-108.7575833,31-20-20-W3,Saskatchewan,1000000,1947-03-13,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABJE,Abbott,Undetermined,,Railway Point,Populated Place,UNP,0c282f2b849c20c3de37bb1c29ae2456,49.5833668,-104.4005434,21-7-18-W2,Saskatchewan,250000,1950-03-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABKQ,Aberdeen,Undetermined,,Town,Populated Place,TOWN,47d2eb50c6cd11d892e2080020a0f4c9,52.325536,-106.291511,6-39-2-W3,Saskatchewan,1000000,1988-11-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATAV,Aberdeen No. 373,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c318f43849c20c378882f5b36d6cd94,52.4293846,-106.2930613,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABIF,Aberfeldy,Undetermined,,Railway Point,Populated Place,UNP,0cfe42f8849c20c3eddb4af0fcb0a884,53.2500805,-109.884114,28-49-27-W3,Saskatchewan,50000,1939-12-12,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABKP,Abernethy,Undetermined,,Village,Populated Place,VILG,0cfe466f849c20c3dfa6a406acf2e316,50.7445278,-103.4181631,25-20-11-W2,Saskatchewan,1000000,1950-05-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATFC,Abernethy No. 186,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c31a9a6849c20c383281e5faae4eb65,50.6390735,-103.4851593,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABIH,Abound,Undetermined,,Railway Point,Populated Place,UNP,0cfe4410849c20c32b6eb07f1ca5b53d,50.3166946,-105.7672478,34-15-28-W2,Saskatchewan,250000,1951-10-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABIR,Ada,Undetermined,,Locality,Populated Place,UNP,0c282c94849c20c3c7e5aa17a84c251e,50.0666964,-106.1339257,6-13-1-W3,Saskatchewan,250000,1956-11-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HBAXE,Adam Wood Memorial Landing,Undetermined,,Landing,Populated Place,UNP,0b1341cc514f4fd5a42157745329d560,56.485,-109.3861111,,Saskatchewan,50000,2017-07-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAQML,Adams,Undetermined,,Railway Point,Populated Place,UNP,0c305571849c20c3069c1e134aa3f6c5,50.4667067,-104.8672228,30-17-21-W2,Saskatchewan,250000,1951-05-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAQMK,Adanac,Undetermined,,Hamlet,Populated Place,UNP,f0bf47fdd05311d892e2080020a0f4c9,52.4528462,-109.0562791,23-40-22-W3,Saskatchewan,250000,2001-02-06,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAABJ,Adelaide Park,Undetermined,,Urban Community,Populated Place,UNP,0c27c1bc849c20c39e33d742c19d5c92,52.0928207,-106.6417227,,Saskatchewan,50000,1984-08-20,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABJQ,Admiral,Undetermined,,Hamlet,Populated Place,HAM,0cfe44fc849c20c3df2f5ac467559151,49.7166946,-108.0173469,5-9-15-W3,Saskatchewan,1000000,1954-09-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAXWE,Ahtahkakoop 104,Undetermined,,Indian Reserve,Administrative Area,IR,f13d02e7bbe211d892e2080020a0f4c9,53.3855688,-106.9011993,"50,51-6,7-W3",Saskatchewan,50000,1986-11-07,Indigenous and Northern Affairs Canada
HABJV,Aikins,Undetermined,,Railway Point,Populated Place,UNP,0c2832df849c20c3de4186e6d2e0090b,50.3333655,-107.7006678,10-16-13-W3,Saskatchewan,50000,1956-04-05,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAPYB,Air Ronge,Undetermined,,Northern Village,Populated Place,VILG,55860028c6cd11d892e2080020a0f4c9,55.089736,-105.341467,,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
