,source_full_address,full_address,street_number,street_name,unit,rearranged,rearranged_parsed
0,none,none,,,,none,"[('none', 'city')]"
1,none,none,,,,none,"[('none', 'city')]"
2,none,none,,,,none,"[('none', 'city')]"
3,none,none,,,,none,"[('none', 'city')]"
4,none,none,,,,none,"[('none', 'city')]"
5,none,none,,,,none,"[('none', 'city')]"
6,none,none,,,,none,"[('none', 'city')]"
7,none,none,,,,none,"[('none', 'city')]"
8,Ecole St. Joseph School,Ecole St Joseph School,,,,Ecole St Joseph School,"[('ecole st joseph school', 'house')]"
9,none,none,,,,none,"[('none', 'city')]"
10,none,none,,,,none,"[('none', 'city')]"
11,none,none,,,,none,"[('none', 'city')]"
12,none,none,,,,none,"[('none', 'city')]"
13,none,none,,,,none,"[('none', 'city')]"
14,none,none,,,,none,"[('none', 'city')]"
15,none,none,,,,none,"[('none', 'city')]"
16,none,none,,,,none,"[('none', 'city')]"
17,none,none,,,,none,"[('none', 'city')]"
18,none,none,,,,none,"[('none', 'city')]"
19,none,none,,,,none,"[('none', 'city')]"
20,none,none,,,,none,"[('none', 'city')]"
21,none,none,,,,none,"[('none', 'city')]"
22,none,none,,,,none,"[('none', 'city')]"
23,none,none,,,,none,"[('none', 'city')]"
24,none,none,,,,none,"[('none', 'city')]"
25,none,none,,,,none,"[('none', 'city')]"
26,10 John Mapes Crescent,10 John Mapes Crescent,10,john mapes crescent,,10 John Mapes Crescent,"[('10', 'house_number'), ('john mapes crescent', 'road')]"
27,none,none,,,,none,"[('none', 'city')]"
28,"145 Riverview Drive, Ecole Boreale",145 Riverview Drive Ecole Boreale,145,riverview drive ecole boreale,,145 Riverview Drive Ecole Boreale,"[('145', 'house_number'), ('riverview drive ecole boreale', 'road')]"
29,none,none,,,,none,"[('none', 'city')]"
30,none,none,,,,none,"[('none', 'city')]"
31,none,none,,,,none,"[('none', 'city')]"
32,none,none,,,,none,"[('none', 'city')]"
33,none,none,,,,none,"[('none', 'city')]"
34,none,none,,,,none,"[('none', 'city')]"
35,none,none,,,,none,"[('none', 'city')]"
36,48 Taylor Road,48 Taylor Road,48,taylor road,,48 Taylor Road,"[('48', 'house_number'), ('taylor road', 'road')]"
37,none,none,,,,none,"[('none', 'city')]"
38,none,none,,,,none,"[('none', 'city')]"
39,none,none,,,,none,"[('none', 'city')]"
40,none,none,,,,none,"[('none', 'city')]"
41,none,none,,,,none,"[('none', 'city')]"
42,none,none,,,,none,"[('none', 'city')]"
43,none,none,,,,none,"[('none', 'city')]"
44,Ecole Alain St. Cyr,Ecole Alain St Cyr,,,,Ecole Alain St Cyr,"[('ecole alain st cyr', 'house')]"
45,none,none,,,,none,"[('none', 'city')]"
46,none,none,,,,none,"[('none', 'city')]"
47,Ecole St. Joseph School,Ecole St Joseph School,,,,Ecole St Joseph School,"[('ecole st joseph school', 'house')]"
48,none,none,,,,none,"[('none', 'city')]"
49,none,none,,,,none,"[('none', 'city')]"
50,none,none,,,,none,"[('none', 'city')]"
51,none,none,,,,none,"[('none', 'city')]"
52,none,none,,,,none,"[('none', 'city')]"
53,none,none,,,,none,"[('none', 'city')]"
54,none,none,,,,none,"[('none', 'city')]"
55,4911 46th Street,4911 46th Street,4911,46th street,,4911 46th Street,"[('4911', 'house_number'), ('46th street', 'road')]"
56,none,none,,,,none,"[('none', 'city')]"
57,none,none,,,,none,"[('none', 'city')]"
58,none,none,,,,none,"[('none', 'city')]"
59,108 King St. (Rec Centre Building),108 King St,108,king st,,108 King St,"[('108', 'house_number'), ('king st', 'road')]"
60,none,none,,,,none,"[('none', 'city')]"
61,129 Stinson Road,129 Stinson Road,129,stinson road,,129 Stinson Road,"[('129', 'house_number'), ('stinson road', 'road')]"
62,NJ MacPherson School,NJ MacPherson School,,,,NJ MacPherson School,"[('nj macpherson school', 'house')]"
63,none,none,,,,none,"[('none', 'city')]"
64,40 England Crescent,40 England Crescent,40,england crescent,,40 England Crescent,"[('40', 'house_number'), ('england crescent', 'road')]"
65,none,none,,,,none,"[('none', 'city')]"
66,none,none,,,,none,"[('none', 'city')]"
67,none,none,,,,none,"[('none', 'city')]"
68,none,none,,,,none,"[('none', 'city')]"
69,none,none,,,,none,"[('none', 'city')]"
70,NJ MacPherson School,NJ MacPherson School,,,,NJ MacPherson School,"[('nj macpherson school', 'house')]"
71,none,none,,,,none,"[('none', 'city')]"
