,cityprov
0,"Lurgan SK, Canada"
1,"Clarkleigh MB, Canada"
2,"Fort Pelly National Historic Site of Canada SK, Canada"
3,"Cut Knife No 439 SK, Canada"
4,"Roxton Pond QC, Canada"
5,"Notre dame du bon conseil QC, Canada"
6,"Elbow Wildlife Management Unit SK, Canada"
7,"Dingley SK, Canada"
8,"Maple Creek No 111 SK, Canada"
9,"Memramcook NB, Canada"
10,"Ochapowace 71 9 SK, Canada"
11,"Chorney Beach SK, Canada"
12,"Vineland ON, Canada"
13,"Granton ON, Canada"
14,"Freshford MB, Canada"
15,"Flying Dust 105 L SK, Canada"
16,"Elmsdale NS, Canada"
17,"Lewis MB, Canada"
18,"Cote saint luc QC, Canada"
19,"Carry The Kettle 76 40 SK, Canada"
20,"Barnsley MB, Canada"
21,"Port Credit ON, Canada"
22,"Lundar Wildlife Management Area MB, Canada"
23,"Meeting Lake SK, Canada"
24,"Stellerton NS, Canada"
25,"Lake Alma SK, Canada"
26,"Bushell SK, Canada"
27,"Nies Beach SK, Canada"
28,"Stoughton SK, Canada"
29,"Allegra MB, Canada"
30,"Barrier Ford SK, Canada"
31,"Sturgeon Creek MB, Canada"
32,"Davyroyd SK, Canada"
33,"Big Beaver Regional Park SK, Canada"
34,"Fairlight SK, Canada"
35,"Elliot Lake ON, Canada"
36,"Elmhurst SK, Canada"
37,"Duncairn SK, Canada"
38,"North Vancouver BC, Canada"
39,"Luécho Tuwé 1  MB, Canada"
40,"Killaly SK, Canada"
41,"Ochapowace 71 116 SK, Canada"
42,"Ochapowace 71 61 SK, Canada"
43,"Broders Annex SK, Canada"
44,"Jackhead 43A MB, Canada"
45,"Prince George BC, Canada"
46,"Réserve nationale de faune de Pope MB, Canada"
47,"Nokomis SK, Canada"
48,"Rosengard MB, Canada"
49,"Ilderton ON, Canada"
50,"Cayer Wildlife Management Area MB, Canada"
51,"Baddeck NS, Canada"
52,"Wuskwatim MB, Canada"
53,"La Pérouse MB, Canada"
54,"Smiths Falls ON, Canada"
55,"Springfield MB, Canada"
56,"Greenwood NS, Canada"
57,"Beardy's & Okemasis 96 & 97 B SK, Canada"
58,"Anerley SK, Canada"
59,"St Albert AB, Canada"
60,"Chitek Lake 191 SK, Canada"
61,"Oak Lake Beach MB, Canada"
62,"Crystal Lake SK, Canada"
63,"Kemptville ON, Canada"
64,"East Selkirk Station MB, Canada"
65,"Moose Mountain No 63 SK, Canada"
66,"Muskowekwan 85 73 SK, Canada"
67,"Manibridge MB, Canada"
68,"Shilo  MB, Canada"
69,"Mosquito 109 SK, Canada"
70,"Rockwood MB, Canada"
71,"Whiteshell Provincial Forest MB, Canada"
72,"Rossman Lake South MB, Canada"
73,"Swan River Provincial Park MB, Canada"
74,"Blaine Lake No 434 SK, Canada"
75,"Kelso SK, Canada"
76,"Saint laurent QC, Canada"
77,"Norway House 17C 31 MB, Canada"
78,"Banff AB, Canada"
79,"New Waterford NS, Canada"
80,"Tthekalé Nu MB, Canada"
81,"Rothesay NB, Canada"
82,"O'Hanly MB, Canada"
83,"Whiteshell MB, Canada"
84,"Russell MB, Canada"
85,"Shediac Bridge NB, Canada"
86,"Oxbow SK, Canada"
87,"Brainerd MB, Canada"
88,"Hazel Dell No 335 SK, Canada"
89,"Ochapowace 71 80 SK, Canada"
90,"Kipling SK, Canada"
91,"Canora SK, Canada"
92,"York ON, Canada"
93,"Crandall MB, Canada"
94,"Butte St Pierre SK, Canada"
95,"Last Mountain Valley No 250 SK, Canada"
96,"Kern Park MB, Canada"
97,"Bellevue SK, Canada"
98,"Avonlea SK, Canada"
99,"Shellmouth MB, Canada"
100,"Netherhill SK, Canada"
101,"Duff SK, Canada"
102,"Kalyna SK, Canada"
103,"Ponteix SK, Canada"
104,"Arran SK, Canada"
105,"The Rock MB, Canada"
106,"Westview MB, Canada"
107,"Kinhop SK, Canada"
108,"Turtle Mountain Wildlife Management Area MB, Canada"
109,"Kennell SK, Canada"
110,"Catherwood SK, Canada"
111,"Mountain Road MB, Canada"
112,"Chemawawin 1 MB, Canada"
113,"Culdesac Lake Recreation Site SK, Canada"
