,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
0,0,BJAB,Burman University,Junior College,"6730 University Drive,  Lacombe,  Alberta,  Canada,  ",1988-12-21,(403) 782-3381,ESDC,ab
1,1,BJAC,Grande Prairie Regional College,Junior College,"10726 - 106th Ave.,  Grande Prairie,  Alberta,  Canada,  ",1988-12-21,(780) 539-2911,ESDC,ab
2,2,BJAD,Grant Macewan University,Junior College,"Financial Services,  P.O. Box 1796,  10700 - 104 Avenue,  Edmonton,  Alberta,  Canada,  ",1988-12-21,(780) 497-4304,ESDC,ab
3,3,BJAF,Lethbridge College,Junior College,"3000 College Dr. South,  Lethbridge,  Alberta,  Canada,  ",1988-12-21,(403) 320-3372,ESDC,ab
4,4,BJAG,Mount Royal University,Junior College,"MRU Fees Office,  4825 Mount Royal, Gate SW,  Calgary,  Alberta,  Canada,  ",1988-12-21,(403) 440-6306,ESDC,ab
5,5,BJAH,Red Deer College,Junior College,"56 Ave. & 32nd St. Box 5005,  2nd St.,  Red Deer,  Alberta,  Canada,  ",1988-12-21,4033423300,ESDC,ab
6,6,BJAI,Medicine Hat College,Junior College,"299 College Dr. S.E.,  Medicine Hat,  Alberta,  Canada,  ",1988-12-21,(403) 529-3819,ESDC,ab
7,7,BJAK,Concordia Lutheran Seminary,Junior College,"7040 Ada Blvd.,  Edmonton,  Alberta,  Canada,  ",1988-12-21,(403) 479-8481,ESDC,ab
8,8,BJAP,Bow Valley College,Junior College,"345 6th Avenue SE ,  Calgary,  Alberta,  Canada,  ",1988-12-21,(403) 410-1400,ESDC,ab
9,9,BJAQ,Norquest College,Junior College,"10215 - 108 Street,  Edmonton,  Alberta,  Canada,  ",1988-12-21,7804222020,ESDC,ab
10,10,BJAR,Northern Lakes College,Junior College,"C/O Main Campus,  Bag 3000,  Grouard,  Alberta,  Canada,  ",1992-01-22,7808498616,ESDC,ab
11,11,BJAS,Portage College,Junior College,"P.0. Box 417,  Lac La Biche,  Alberta,  Canada,  ",1988-12-21,(403) 623-5551,ESDC,ab
12,12,BPAL,Taylor College and Seminary,Private Institution,"11525 - 23rd Avenue,  Edmonton,  Alberta,  Canada,  ",1988-12-21,(403) 437-1960,ESDC,ab
13,13,BPAP,Prairie Bible Institute,Private Institution,"Box 4000,  330 5th Ave NE,  Three Hills,  Alberta,  Canada,  ",1988-12-21,4034435511,ESDC,ab
14,14,BPAS,MC College-Calgary,Private Institution,"1023 - 7th Ave. S.W.,  Calgary,  Alberta,  Canada,",1988-12-21,,ESDC,ab
15,15,BPAY,MC College-Edmonton,Private Institution,"10345- 107 Street,  Edmonton,  Alberta,  Canada,  ",1988-12-21,(780) 429-4407,ESDC,ab
16,16,BPAZ,Canadian Institute of Traditional Chinese Medicine,Private Institution,"Unit 300 ,  1824 Crowchild Trail NW,  Calgary,  Alberta,  Canada,  ",2005-07-08,(403) 520-5258,ESDC,ab
17,17,BPBH,Canadian Lutheran Bible Institute,Private Institution,"4837-52A,  Camrose,  Alberta,  Canada,  ",1988-12-21,(403) 672-4454,ESDC,ab
18,18,BPBL,Edmonton Flying Club,Private Institution,"#3 - 52111 Range Road 270,  Spruce Grove,  Alberta,  Canada,  ",1988-12-21,(780) 499-6669,ESDC,ab
19,19,BPBQ,Calgary College of Traditional Chinese Med and Acupunture,Private Institution,"4014 MacLeod Trail South,  Suite 107,  Calgary,  Alberta,  Canada,  ",2005-07-31,4032878688,ESDC,ab
20,20,BPBT,Alberta Bible College,Private Institution,"635 Northmount Dr. N.W.,  Calgary,  Alberta,  Canada,  ",2014-09-05,(403) 282-2994,ESDC,ab
21,21,BPBV,Vanguard College,Private Institution,"12140 - 103rd Street,  Edmonton,  Alberta,  Canada,  ",1988-12-21,7804520808,ESDC,ab
22,22,BPCC,Est-Elle Academy of Hair Design Limited,Private Institution,"8004 Gateway Blvd,  Edmonton,  Alberta,  Canada,  ",1988-12-21,(780) 432-7577,ESDC,ab
23,23,BPCH,Peace River Bible Institute,Private Institution,"9601 - 100th Street,  P.O. Box 99,  Sexsmith,  Alberta,  Canada,  ",1988-12-21,(403) 568-3962,ESDC,ab
24,24,BPCI,Southern Alberta Institute of Massage - Lethbridge,Private Institution,"534 18 Street,  South,  Lethbridge,  Alberta,  Canada,  ",2005-11-07,(403) 331-5657,ESDC,ab
25,25,BPCN,Reeves College - Calgary City Centre,Private Institution,"Suite 1500,  910 7th Avenue SW,  Calgary,  Alberta,  Canada,  ",2006-02-06,(403) 290-1511,ESDC,ab
26,26,BPCO,Alberta Academy of Aesthetics,Private Institution,"1424,  8 Street,  Edmonton,  Alberta,  Canada,  ",1988-01-18,882 170,ESDC,ab
27,27,BPCT,MC College-Red Deer,Private Institution,"5008 Ross St.,  Red Deer,  Alberta,  Canada,  ",1988-01-12,(403) 342-1110,ESDC,ab
28,28,BPDL,Prairie Aviation Training Centre,Private Institution,"Box 4000,  330 5 Ave North,  Three Hills,  Alberta,  Canada,  ",2007-01-24,(403) 443-2349,ESDC,ab
29,29,BPDS,MCG Career College - Red Deer,Private Institution,"200,  4806-51 Ave,  Red Deer,  Alberta,  Canada,  ",2007-09-13,(888) 261-8999,ESDC,ab
30,30,BPEC,Sky Wings Aviation Academy,Private Institution,"Box 190,  Hanger 13,  Red Deer Indust. Arpt.,  Penhold,  Alberta,  Canada,  ",1988-12-21,4038865191,ESDC,ab
31,31,BPEV,Canadian Southern Baptist Seminary,Private Institution,"Main Campus,  200 Seminary View,  Cochrane,  Alberta,  Canada,  ",1988-09-09,4039326622,ESDC,ab
32,32,BPEZ,Sultana's Beauty Clinic And School,Private Institution,"76 Boyce Street,  Red Deer,  Alberta,  Canada,  ",1988-03-23,(403) 342-5525,ESDC,ab
33,33,BPFC,Rosebud School of the Arts,Private Institution,"Box 654,  Rosebud,  Alberta,  Canada,  ",1988-10-14,4036772350,ESDC,ab
34,34,BPFF,Kdm Dental College International Incorporated,Private Institution,"940 - 6th Ave Sw,  Suite 520,  Calgary,  Alberta,  Canada,  ",1989-03-06,4032642744,ESDC,ab
35,35,BPGD,Columbia College,Private Institution,"802 Manning Rd Ne,  Calgary,  Alberta,  Canada,  ",1991-08-26,4032359300,ESDC,ab
36,36,BPGF,Namao Flying Club,Private Institution,"25 27018 S.H. 633,  Sturgeon County,  Alberta,  Canada,  ",2014-05-09,(780) 419-6777,ESDC,ab
37,37,BPGL,MH Vicars School of Massage Therapy-Calgary,Private Institution,"101 & 103,  200 Country Hills Landing NW,  Calgary,  Alberta,  Canada,  ",2007-10-10,(403) 567-1451,ESDC,ab
38,38,BPGS,Rocky Mountain College,Private Institution,"4039 Brentwood Rd. N.W.,  Calgary,  Alberta,  Canada,  ",1992-08-14,4032845100,ESDC,ab
39,39,BPGV,International Academy of Esthetics,Private Institution," Chippewa Road,  Sherwood Park,  Alberta,  Canada,  ",1992-12-11,122 150,ESDC,ab
40,40,BPGY,Alberta College of Massage Therapy-Calgary,Private Institution,"#100, 1167 Kensington Crescent,  NW,  Calgary,  Alberta,  Canada,  ",2007-10-30,(780) 916-6888,ESDC,ab
41,41,BPGZ,Alberta College of Massage Therapy-Lloydminster,Private Institution,"Bay 1A, 5712 - 44 Street,  Lloydminster,  Alberta,  Canada,  ",2007-10-30,(780) 916-6888,ESDC,ab
42,42,BPHO,Victory Bible College,Private Institution,"10623 West Valley Road SW,  Calgary,  Alberta,  Canada,  ",1994-03-25,403-286-8337,ESDC,ab
