,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
0,0,AJAE,Douglas College - All campus's,Junior College,"Financial Aid Office,  Rm 2740 - 700 Royal Ave,  New Westminster,  British Columbia,  Canada,  ",1988-12-21,(604) 527-5487,ESDC,bc
1,1,AJAF,College of the Rockies,Junior College,"P.O. Box 8500,  Station Main,  (2700 College Way),  Cranbrook,  British Columbia,  Canada,  ",1988-12-21,2504892751,ESDC,bc
2,2,AJAJ,College of New Caledonia,Junior College,"3330 - 22 Ave,  Prince George,  British Columbia,  Canada,  ",1979-01-26,6045615825,ESDC,bc
3,3,AJAK,Northern Lights College,Junior College,"Dawson Creek Campus,  11401 - 8th Street,  Dawson Creek,  British Columbia,  Canada,  ",1988-12-21,250-782-5251,ESDC,bc
4,4,AJAL,Coast Mountain College,Junior College,"5331 Mcconnell Avenue,  Terrace,  British Columbia,  Canada,  ",1988-12-21,(250) 635-6511,ESDC,bc
5,5,AJAM,Langara College,Junior College,"100 West 49th Ave.,  Vancouver,  British Columbia,  Canada,  ",1988-12-21,6043235225,ESDC,bc
6,6,AJAP,Selkirk College - All campuses,Junior College,"301 Frank Beinder,  Castlegar,  British Columbia,  Canada,  ",1975-06-11,2503651295,ESDC,bc
7,7,AJAX,North Island College - All Campuses,Junior College,"Comox Valley Campus,  2300 Ryan Road,  Courtenay,  British Columbia,  Canada,  ",1988-12-21,2503345022,ESDC,bc
8,8,AJBF,Okanagan College - All Campuses,Junior College,"1000 KLO Road,  Kelowna,  British Columbia,  Canada,  ",1993-01-27,(250) 762-5445,ESDC,bc
9,9,AJBH,Camosun College - All campuses,Junior College,"Financial Aid Office,  4461 Interurban Road,  Victoria,  British Columbia,  Canada,  ",1992-02-20,2503703841,ESDC,bc
10,10,AJBR,Canadian Aviation College,Junior College,"# 6th Ave,  New Westminster,  British Columbia,  Canada,",2018-11-19,500 628,ESDC,bc
11,11,AJBT,Yorkville University - Vancouver,Junior College,"#300 88 Sixth St.,  New Westminster,  British Columbia,  Canada,",2019-04-24,,ESDC,bc
12,12,APAB,Northwest Baptist Theological College,Private Institution,"7600 Glover Road,  Langley,  British Columbia,  Canada,  ",2015-01-02,(604) 888-7592,ESDC,bc
13,13,APAC,Pacific Coast Community College,Private Institution,"1176 8th Ave,  New Westminster,  British Columbia,  Canada,  ",2015-03-18,6047301106,ESDC,bc
14,14,APAF,Institute of Technology Developement Canada,Private Institution,"475 Granville Street,  Vancouver,  British Columbia,  Canada,  ",,(888) 880-4410,ESDC,bc
15,15,APAG,Pacific Life Bible College,Private Institution,"15030 - 66A Avenue,  Surrey,  British Columbia,  Canada,  ",1997-06-16,(604) 597-9082,ESDC,bc
16,16,APAH,Summit Pacific College,Private Institution,"PO Box 1700,  35235 Straiton Rd,  Abbotsford,  British Columbia,  Canada,  ",1988-12-21,(604) 853-7491,ESDC,bc
17,17,APAI,Columbia College,Private Institution,"438 Terminal Ave,  Vancouver,  British Columbia,  Canada,  ",1988-12-21,(604) 683-8360,ESDC,bc
18,18,APAJ,Columbia Bible College,Private Institution,"2940 Clearbrook Rd.,  Abbotsford,  British Columbia,  Canada,  ",1988-12-21,(604) 853-3358,ESDC,bc
