,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
0,0,DJAA,University College of the North,Junior College,"436 7th Street East,  The Pas,  Manitoba,  Canada,  ",2009-07-13,204-677-6402,ESDC,mb
1,1,DPAC,Herzing College,Private Institution,"1700 Portage Ave.,  Winnipeg,  Manitoba,  Canada,  ",1989-08-15,(204) 775-8175,ESDC,mb
2,2,DPAG,St. Andrew's College,Private Institution,"29 Dysart Road,  Winnipeg,  Manitoba,  Canada,  ",1988-12-21,(204) 474-8895,ESDC,mb
3,3,DPAI,Providence University College and Theological Seminary,Private Institution,"General Delivery,  Otterburne,  Manitoba,  Canada,  ",1988-12-21,(204) 433-7488,ESDC,mb
4,4,DPAJ,Royal Winnipeg Ballet-Professional Division,Private Institution,"Professional School,  380 Graham Avenue,  Winnipeg,  Manitoba,  Canada,  ",1988-12-21,204-957-3452,ESDC,mb
5,5,DPAK,School of Contemporary Dancers,Private Institution,"104 - 211 Bannatyne Avenue,  Winnipeg,  Manitoba,  Canada,  ",1988-10-27,(204) 452-1239,ESDC,mb
6,6,DPAP,Booth University College,Private Institution,"447 Webb Place,  Winnipeg,  Manitoba,  Canada,  ",1988-12-21,924-4865,ESDC,mb
7,7,DPAR,Winnipeg Aviation Company Limited,Private Institution,"700 South Gate Road,  St. Andrews,  Manitoba,  Canada,  ",1988-12-21,(204) 338-7923,ESDC,mb
8,8,DPAT,Steinbach Bible College,Private Institution,"50 PTH 12 North,  Steinbach,  Manitoba,  Canada,  ",1988-12-21,(204) 326-6451,ESDC,mb
9,9,DPBC,Systems Beauty College Ltd.,Private Institution,"Unit C, 763 13th Street,  Brandon,  Manitoba,  Canada,  ",1988-02-10,(204) 728-8843,ESDC,mb
10,10,DPBI,Brandon Flying Club,Private Institution,"R.R.#5, Site 520 - Box 18,  Brandon,  Manitoba,  Canada,  ",1988-12-21,(204) 728-7691,ESDC,mb
