,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
0,0,GPAB,Kingswood University,Private Institution,"Financial Aid Office,  26 Western Street,  Box 5125,  Sussex,  New Brunswick,  Canada,  ",1988-12-21,(506) 432-4423,ESDC,nb
1,1,GPAC,L'Institut Jon rayMond,Private Institution,"21 Stone Avenue,  Moncton,  New Brunswick,  Canada,  ",1988-12-21,(506) 857-9840,ESDC,nb
2,2,GPAI,Oulton College,Private Institution,"4 Flanders Court,  Moncton,  New Brunswick,  Canada,  ",1988-12-21,(506) 858-9696,ESDC,nb
3,3,GPAJ,Atlantic Business College,Private Institution,"1115 Regent Street,  Fredericton,  New Brunswick,  Canada,  ",1988-10-27,(506) 450-1408,ESDC,nb
4,4,GPAM,Northeast Christian College,Private Institution,"128 River St.,  P.O. Box 22017,  Fredericton,  New Brunswick,  Canada,  ",1988-12-21,(506) 453-1590,ESDC,nb
5,5,GPAO,Atlantic Hairstyling and Aesthetics Academy Ltd,Private Institution,"23 Sunbury St.,  Fredericton,  New Brunswick,  Canada,  ",1988-12-21,(506) 453-9196,ESDC,nb
6,6,GPAR,New Brunswick Bible Institute,Private Institution,"2335 Route 103,  C/O Dan Robins,  Victoria Corner,  New Brunswick,  Canada,  ",1988-08-30,5063759000,ESDC,nb
7,7,GPAT,Chez Bernard Beauty Academy,Private Institution,"106 Dieppe Boulevard,  Dieppe,  New Brunswick,  Canada,  ",2012-07-27,(506) 857-0192,ESDC,nb
8,8,GPBD,Majestany Institute - Fredericton,Private Institution,"120 Westmorland Street,  Fredericton,  New Brunswick,  Canada,  ",1988-12-21,(506) 458-8070,ESDC,nb
9,9,GPCB,Elite Dog Grooming & Academy,Private Institution,"45 ,  Colonial Dr.,  Moncton,  New Brunswick,  Canada,",2007-09-04,,ESDC,nb
10,10,GPCH,Medavie HealthEd,Private Institution,"567 St. George Blvd,  Moncton,  New Brunswick,  Canada,  ",2008-12-05,(902) 463-0462,ESDC,nb
11,11,GPCJ,University of Fredericton,Private Institution,"371 Queen st.,  Fredericton,  New Brunswick,  Canada,",2009-10-22,,ESDC,nb
12,12,GPCK,Atlantic Transport Training Academy,Private Institution,"154 Edinburgh Drive East,  Moncton,  New Brunswick,  Canada,",2012-03-21,,ESDC,nb
13,13,GPCM,College Trans-Canada College Inc.,Private Institution,"715 Coverdale Road,  Riverview,  New Brunswick,  Canada,  1 ",2010-04-20,800-363-1194,ESDC,nb
14,14,GPCO,Operating Engineers Training Institute,Private Institution,"341 King William Road,  Saint John,  New Brunswick,  Canada,",2010-08-24,,ESDC,nb
15,15,GPCP,Moncton Flight College,Private Institution,"1719 Champlain St.,  Dieppe,  New Brunswick,  Canada,",2011-05-26,,ESDC,nb
16,16,GPCQ,Glamour Paws Grooming Academy,Private Institution,"1633 Mountain Road,  Moncton,  New Brunswick,  Canada,",2012-05-15,,ESDC,nb
17,17,GPCR,East Coast Trades College Inc.,Private Institution,"1080 Brookside Drive,  Fredericton,  New Brunswick,  Canada,  ",2012-07-25,506-454-0867,ESDC,nb
18,18,GPCT,Fundy Learning Center (The),Private Institution,"186 Adelaide Road,  Saint John,  New Brunswick,  Canada,",2012-12-06,,ESDC,nb
19,19,GPCV,Ready Arc Training and Testing,Private Institution,"70 McIlveen Drive,  Saint John,  New Brunswick,  Canada,",2013-10-28,,ESDC,nb
20,20,GPCX,Eastern College Fredericton,Private Institution,"850 Prospect St.,  Fredericton,  New Brunswick,  Canada,",2014-05-15,,ESDC,nb
21,21,GPCY,Eastern College Moncton,Private Institution,"1070 St. George Blvd,  Moncton,  New Brunswick,  Canada,",2014-05-15,,ESDC,nb
22,22,GPCZ,Eastern College Saint John,Private Institution," McAllister Dr.,  Saint John,  New Brunswick,  Canada,",2014-05-15,123-212,ESDC,nb
23,23,GPDA,Eastern Trades College,Private Institution," McAllister Dr.,  Saint John,  New Brunswick,  Canada,",2014-05-15,123-212,ESDC,nb
24,24,GPDC,ECR Heavy Equipment & Const.,Private Institution,"65 Taylor Road,  Newton,  New Brunswick,  Canada,",2014-07-29,,ESDC,nb
25,25,GPDD,Academy of Learning College Bathurst,Private Institution,"219 Main Street, Suite 12,  Bathurst,  New Brunswick,  Canada,",2015-06-22,,ESDC,nb
26,26,GPDE,Brenda's Academy of Dog Grooming,Private Institution,"209 Collishaw St. Unit B,  Moncton,  New Brunswick,  Canada,",2015-08-25,,ESDC,nb
27,27,GPDF,Medes College,Private Institution,"1040 Champlain Street, ,  Suite 300,  Dieppe, NB,  New Brunswick,  Canada,  ",2016-03-04,506-859-1133,ESDC,nb
28,28,GPDG,Ally Beauty Academy,Private Institution,"51 Highfield Street, Suite 300,  Moncton ,  New Brunswick,  Canada,",2016-08-15,,ESDC,nb
29,29,GPDH,Wizard of Pawz Grooming Academy,Private Institution,"607 Saint George Boulevard,  Moncton,  New Brunswick,  Canada,",2016-12-19,,ESDC,nb
30,30,GPDI,Mount St. Joseph Nursing Home,Private Institution,"51 Lobban Avenue,  Miramichi,  New Brunswick,  Canada,",2018-11-21,,ESDC,nb
31,31,GPDJ,East Coast Regional Heavy Equipment and Construction,Private Institution,"65 Taylor Road,  Newtown,  New Brunswick,  Canada,",2020-09-16,,ESDC,nb
32,32,GPFX,Salon Carrousel,Private Institution,"CP 3375,  10, rue Charles,  Tracadie-Sheila,  New Brunswick,  Canada,  ",2011-10-25,(506) 395-2197,ESDC,nb
33,33,GPGE,Ecole de Coiffure Lafrance School of Hair Design,Private Institution,"651 E.H Daigle Blvd, Suite 500,  PO Box 7428,  Grand Falls (Grand Sault),  New Brunswick,  Canada,  ",1993-09-07,(506) 473-7212,ESDC,nb
34,34,GPGR,St. Stephen's University,Private Institution,"8 Main Street,  St. Stephen,  New Brunswick,  Canada,  ",1994-08-12,(506) 466-1781,ESDC,nb
35,35,GPGX,School of Spirit (Pentecostal Tabernacles Inc),Private Institution,"350 Barnham Road,  Oakland,  New Brunswick,  Canada,  ",1994-10-24,(506) 392-8099,ESDC,nb
