,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
0,0,JJAB,"College of the North Atlantic, Bay St. George campus",Junior College,"Stephenville Campus,  P.O. Box 5400,  432 Massachusetts Drive,  Stephenville,  Newfoundland and Labrador,  Canada,  ",1988-08-30,(709) 643-7730,ESDC,nl
1,1,JNAE,Centre for Nursing Studies,Nursing Schools,"100 Forest Road,  Southcott Hall,  Room 1007,  St. John's,  Newfoundland and Labrador,  Canada,  ",1996-07-19,7097776644,ESDC,nl
2,2,JPAC,"Keyin College, St. John's",Private Institution,"P.O. Box 13609 Stn. A,  44 Austin Street,  St. John's,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 579-1061,ESDC,nl
3,3,JPAE,Eastern Academy,Private Institution,"22 Pearl Place,  St. John's,  Newfoundland and Labrador,  Canada,  ",1988-03-14,(709) 722-8580,ESDC,nl
4,4,JPAL,Academy Canada - Corner Brook Campus,Private Institution,"2 University Drive,  P.O. Box 366,  Corner Brook,  Newfoundland and Labrador,  Canada,  ",1990-03-20,7096372100,ESDC,nl
5,5,JPAN,BAC Training Centre Inc.,Private Institution,"631 Conception Bay Highway,  Conception Bay South,  Newfoundland and Labrador,  Canada,  ",2007-09-28,(709) 834-4085,ESDC,nl
6,6,JPAS,"Keyin College, Carbonear",Private Institution,"81 Lemarchant Street,  Carbonear,  Newfoundland and Labrador,  Canada,  ",1993-04-06,(709) 596-6472,ESDC,nl
7,7,JPAX,"Keyin College, Western Campus",Private Institution,"128 Carolina Avenue,  Stephenville,  Newfoundland and Labrador,  Canada,  ",1993-09-28,7096436444,ESDC,nl
8,8,JPAY,Academy Canada - St. John's campus,Private Institution,"167 - 169 Kenmount Rd.,  St. John's,  Newfoundland and Labrador,  Canada,  ",1994-08-29,(709) 739-6767,ESDC,nl
9,9,JPBA,"Keyin College, Marystown",Private Institution,"P.O. Box 1327,  Marystown,  Newfoundland and Labrador,  Canada,  ",1994-09-20,(709) 279-5090,ESDC,nl
10,10,JPBB,Canadian Training Institute,Private Institution,"P.O. Box 479,  Bay Roberts,  Newfoundland and Labrador,  Canada,  ",1995-03-17,(709) 786-2400,ESDC,nl
11,11,JPBE,Central Training Academy,Private Institution,"P.O Box 400,  Badger,  Newfoundland and Labrador,  Canada,  ",1995-07-07,(709) 539-5150,ESDC,nl
12,12,JPBI,"Keyin College, Burin",Private Institution,"Keyin College,  P.O. Box 160,  Creston,  Newfoundland and Labrador,  Canada,  ",1995-11-22,(709) 891-1995,ESDC,nl
13,13,JPBR,Gander Flight Training Center,Private Institution,"P.O. Box 355,  70 C.L. Dobbin Drive,  Gander,  Newfoundland and Labrador,  Canada,  ",1996-05-06,7092567484,ESDC,nl
14,14,JPBW,Dietrac Technical Institute,Private Institution,"P.O. Box 970 82 Premier Drive,  Lewisporte,  Newfoundland and Labrador,  Canada,  ",1996-10-02,7095350550,ESDC,nl
15,15,JPBX,Carpenters Millwrights College,Private Institution,"P.O. Box 3040,  Paradise, NL,  Newfoundland and Labrador,  Canada,",1996-10-02,,ESDC,nl
16,16,JPCE,"Keyin College, Grand Falls-Windsor",Private Institution,"60 Hardy Avenue,  Grand Falls-Windsor,  Newfoundland and Labrador,  Canada,  ",1997-01-03,7094898560,ESDC,nl
17,17,JPDG,United Association Training Center,Private Institution,"P. O. Box 216,  Mount Pearl,  Newfoundland and Labrador,  Canada,  ",1997-10-15,(709) 747-2249,ESDC,nl
18,18,JPDI,Operating Engineers College,Private Institution,"P.O. Box 389,  Salmonier Line,  Holyrood,  Newfoundland and Labrador,  Canada,  ",1997-12-01,7092296464,ESDC,nl
