,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
0,0,HPAB,CBBC Career College Inc,Private Institution,"315 Jamieson Street,  Sydney,  Nova Scotia,  Canada,  ",1988-12-21,902-564-2222,ESDC,ns
1,1,HPAE,Maritime Business College,Private Institution,"800 Sackville Drive,  Lower Sackville,  Nova Scotia,  Canada,  ",1988-10-27,902-463-0604,ESDC,ns
2,2,HPAJ,Nova Scotia College of Early Childhood Education Society,Private Institution,"6208 Quinpool Road, 2nd Fl,  Halifax,  Nova Scotia,  Canada,  ",1988-12-21,(902) 423-7114,ESDC,ns
3,3,HPAK,Academy of Learning College (Halifax),Private Institution,"Mumford Professional Centre,  6960 Mumford Rd ,  Suite 155,  Halifax,  Nova Scotia,  Canada,  ",2005-07-05,(902) 455-3395,ESDC,ns
4,4,HPAM,Academy of Cosmetology,Private Institution,"33 Thornhill Drive,  Suite 201,  Dartmouth,  Nova Scotia,  Canada,  ",1988-12-21,(902) 469-7788,ESDC,ns
5,5,HPAQ,Ravensberg College,Private Institution,"3660 Commission Street,  Halifax,  Nova Scotia,  Canada,  ",2007-03-13,902-482-4704,ESDC,ns
6,6,HPAT,Hair Design Centre Limited,Private Institution,"278 Lacewood Drive,  Halifax,  Nova Scotia,  Canada,  ",1988-12-21,902-455-0535,ESDC,ns
7,7,HPBM,Canadian College of Acupuncture and Traditional Chinese Medicine,Private Institution,"1306 Bedford Hwy,  Bedford ,  Nova Scotia,  Canada,",2010-06-01,,ESDC,ns
8,8,HPBP,Carpenter Millwright College (CMC),Private Institution,"1000 Sackville Drive,  Lower Sackville,  Nova Scotia,  Canada,  ",2010-09-20,(902) 454-5100,ESDC,ns
9,9,HPBS,Eastern Esthetics Career College,Private Institution,"19 Crane Lake Drive,  Halifax,  Nova Scotia,  Canada,",2011-11-10,,ESDC,ns
10,10,HPBZ,Hair Masters,Private Institution,"26 Archibald Avenue,  North Sydney,  Nova Scotia,  Canada,  ",1988-01-14,9027942460,ESDC,ns
11,11,HPCI,Dexter Institute,Private Institution,"927 Rocky Lake Drive,  PO Box 48100,  Bedford,  Nova Scotia,  Canada,",2020-01-22,,ESDC,ns
12,12,HPCJ,PeopleWorx,Private Institution,"11 Opportunity Lane,  Suite 2,  Coldbrook,  Nova Scotia,  Canada,",2014-03-18,,ESDC,ns
13,13,HPCK,Eastern College,Private Institution,"Bay West Centre,  6940 Mumford Road,  Suite 111,  Halifax,  Nova Scotia,  Canada,  ",1990-08-17,(902) 446-3933,ESDC,ns
14,14,HPCO,Success College of Applied Arts & Technology - Sackville,Private Institution,"800 Sackville Drive,  Lower Sackville,  Nova Scotia,  Canada,  ",1990-03-30,(902) 865-8283,ESDC,ns
15,15,HPCX,Medavie HealthEd -Cape Breton,Private Institution,"106 Townsend Street,  Sydney,  Nova Scotia,  Canada,",2015-04-29,,ESDC,ns
16,16,HPDX,Transport Training Centres of Canada Ltd.,Private Institution,"9 Pettipas Drive,  Unit 1,  Dartmouth,  Nova Scotia,  Canada,  ",2012-03-19,(902) 468-8999,ESDC,ns
17,17,HPEE,Island Career Academy,Private Institution,"721 Alexandra Street,  Sydney,  Nova Scotia,  Canada,  ",1996-11-14,9025644940,ESDC,ns
18,18,HPEH,DaVinci College of Art & Design,Private Institution,"800 Sackville Drive,  Lower Sackville,  Nova Scotia,  Canada,  ",1996-12-10,(902) 429-1847,ESDC,ns
19,19,HPEM,ICT Northumberland College,Private Institution,"1888 Brunswick Street,  5th Floor,  Halifax,  Nova Scotia,  Canada,  ",1997-08-11,902-425-2869,ESDC,ns
20,20,HPER,Maritime Environmental Training Institute,Private Institution,"301 Alexandra Street,  Sydney,  Nova Scotia,  Canada,  ",1997-11-18,(902) 539-9766,ESDC,ns
21,21,HPEU,Centre for Distance Education,Private Institution,"222 George Street,  Suite C,  Sydney,  Nova Scotia,  Canada,  1",1998-04-30,(866) 446-5898,ESDC,ns
22,22,HPFB,Canadian College of Massage & Hydrotherapy,Private Institution,"6960 Mumford Rd. Suite 180,  Mumford Professional Centre,  Halifax,  Nova Scotia,  Canada,  ",1999-09-27,(902) 832-3268,ESDC,ns
23,23,HPFD,Atlantic Flight Attendant Academy,Private Institution,"6148 Quinpool Road,  Suite 200,  Halifax,  Nova Scotia,  Canada,  ",2000-07-18,9024220339,ESDC,ns
24,24,HPFI,Commercial Safety College,Private Institution,"11490 Highway 2,  Masstown,  Nova Scotia,  Canada,  ",1988-12-21,902-662-2190,ESDC,ns
25,25,HPFJ,Jane Norman College,Private Institution,"60 Lorne Street,  Truro,  Nova Scotia,  Canada,  ",1993-02-25,9028933342,ESDC,ns
26,26,HPFK,Nova Scotia Firefighters School,Private Institution,"48 Powder Mill Road,  Waverley,  Nova Scotia,  Canada,  ",2001-07-11,9028613823,ESDC,ns
27,27,HPFL,Medavie HealthEd -Dartmouth,Private Institution,"50 Eileen Stubbs Avenue,  Unit 154,  Dartmouth,  Nova Scotia,  Canada,  ",2001-08-21,(902) 464-5288,ESDC,ns
28,28,HPFR,Elevate Beauty Institute of Cosmetology,Private Institution,"77 Crescent Drive ,  Unit 4,  New Minas,  Nova Scotia,  Canada,",2016-03-21,,ESDC,ns
29,29,HPFS,Breton Commercial Truck Training,Private Institution,"270 Stable Drive,  Harbouorside,  Commercial Park,  Sydney,  Nova Scotia,  Canada,",2016-10-19,,ESDC,ns
30,30,HPFV,CBBC Career College Inc (Halifax Campus),Private Institution,"1046 Barrington Street,  Halifax,  Nova Scotia,  Canada,",2017-06-15,,ESDC,ns
31,31,HPFW,Futureworx Career College,Private Institution,"14 Court Street,  Suite 305,  Truro,  Nova Scotia,  Canada,  ",2019-01-07,902-843-4290,ESDC,ns
32,32,HPFX,CBBC Career College Inc Dartmouth Campus,Private Institution,"45 Aldernay Drive,  Dartmouth,  Nova Scotia,  Canada,",2019-04-11,,ESDC,ns
33,33,HPFY,Building Trades Advancement College of Nova Scotia,Private Institution,"24 Lakeside Park Drive,  Suite 101,  Lakeside,  Nova Scotia,  Canada,",2020-08-26,,ESDC,ns
34,34,HUAA,Acadia University,University,"15 University Avenue,  Wolfville,  Nova Scotia,  Canada,  ",1988-12-21,(902) 585-1222,ESDC,ns
35,35,HUAB,Dalhousie University,University,"Awards Office,  6299 South Street,  Room 133,  Halifax,  Nova Scotia,  Canada,  ",1988-12-21,9024942211,ESDC,ns
36,36,HUAC,University of King's College,University,"Financial Aid Office,  6350 Coburg Road,  Halifax,  Nova Scotia,  Canada,  ",1988-12-21,9024221271,ESDC,ns
37,37,HUAD,Mount St. Vincent University,University,"166 Bedford Hwy.,  Halifax,  Nova Scotia,  Canada,  ",1988-12-21,9024434450,ESDC,ns
38,38,HUAE,NSCAD University,University,"5163 Duke St.,  Halifax,  Nova Scotia,  Canada,  ",1988-12-21,902-494-8129,ESDC,ns
39,39,HUAF,Universite Sainte-Anne,University,"Finance Office,  1695 Route 1,  Church Point,  Nova Scotia,  Canada,  ",1988-12-21,9027692114,ESDC,ns
40,40,HUAG,St. Francis Xavier University,University,"P O Box 5000,  5005 Chapel Square,  Antigonish,  Nova Scotia,  Canada,  ",1988-12-21,(902) 863-3300,ESDC,ns
41,41,HUAH,Saint Mary's University,University,"923 Robie Street,  Halifax,  Nova Scotia,  Canada,  ",1988-12-21,(902) 420-5413,ESDC,ns
42,42,HUAJ,Cape Breton University,University,"P.O.Box 5300,  1250 Grand Lake Road,  Sydney,  Nova Scotia,  Canada,  ",1988-12-21,(902) 539-5300,ESDC,ns
43,43,HUAK,Atlantic School of Theology,University,"660 Francklyn Street,  Halifax,  Nova Scotia,  Canada,  ",2014-11-19,(902) 423-5592,ESDC,ns
44,44,HVAA,Nova Scotia Community College (Annapolis Valley Campus),Technical and Vocational,"50 Elliot Road,  Lawrencetown,  Nova Scotia,  Canada,  ",1996-01-01,9028252930,ESDC,ns
45,45,HVAC,Nova Scotia Community College (Ivany Campus),Technical and Vocational,"80 Mawiomi Place,  Dartmouth,  Nova Scotia,  Canada,",2007-01-03,,ESDC,ns
46,46,HVAF,Nova Scotia Community College (Cumberland Campus),Technical and Vocational,"1 Main Street,  P.O. Box 550,  Springhill,  Nova Scotia,  Canada,  ",1996-08-01,9025973737,ESDC,ns
47,47,HVAG,Nova Scotia Community College (Akerley Campus),Technical and Vocational,"21 Woodlawn Road,  Dartmouth,  Nova Scotia,  Canada,  ",1988-03-14,9024914922,ESDC,ns
48,48,HVAH,Nova Scotia Community College (Burridge Campus),Technical and Vocational,"372 Pleasant Street,  Yarmouth,  Nova Scotia,  Canada,  ",1988-12-21,9027420760,ESDC,ns
49,49,HVAL,Nova Scotia Community College - Kingstec Campus,Technical and Vocational,"236 Belcher Street,  Kentville,  Nova Scotia,  Canada,  ",1988-12-21,9026797361,ESDC,ns
