,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
0,0,EJAE,Stanford International College of Business & Technology,Junior College,"25 Scarsdale Rd.,  Units 8 & 9,  Toronto,  Ontario,  Canada,  ",2013-11-04,4164238188,ESDC,on
1,1,EJAF,The Audio Recording Academy,Junior College,"1540 Raven Avenue,  Ottawa,  Ontario,  Canada,  ",2017-01-11,6137980070,ESDC,on
2,2,EPAE,Canadian Business College - Mississauga,Private Institution,"77 City Centre Drive,  Suite 600,  Mississauga,  Ontario,  Canada,  ",2006-06-09,905-279-9929,ESDC,on
3,3,EPAF,Canadian Mothercraft Society,Private Institution,"646 St Clair Avenue West,  Toronto,  Ontario,  Canada,  ",1988-12-21,(416) 483-0511,ESDC,on
4,4,EPAL,Marca College of Hair and Esthetics-Mississauga,Private Institution,"4141 Dixie Road,  Mississauga,  Ontario,  Canada,  ",2008-01-10,(416) 698-2558,ESDC,on
5,5,EPAO,Trillium College-Kingston,Private Institution,"797 Princess St.,  Suite 200,  Kingston,  Ontario,  Canada,   5138",2008-01-30,613 531,ESDC,on
6,6,EPAR,Great Lakes Bible College,Private Institution,"470 Glenelm Crescent,  Waterloo,  Ontario,  Canada,  ",1988-12-21,5198844310,ESDC,on
7,7,EPAS,Heritage Baptist College,Private Institution,"175 Holiday Inn Drive,  Cambridge,  Ontario,  Canada,  ",1988-12-21,5196512869,ESDC,on
8,8,EPAT,Herzing Institutes of Canada,Private Institution,"11 Kodiak Crescent,  Toronto,  Ontario,  Canada,  ",1988-12-21,4165996996,ESDC,on
9,9,EPAU,Institute for Christian Studies,Private Institution,"229 College St.,  Suite 200,  Toronto,  Ontario,  Canada,  ",1988-12-21,4169792331,ESDC,on
10,10,EPAX,Canadian Automotive and Trucking Institute,Private Institution," Alstep Drive,  Mississauga,  Ontario,  Canada,  ",2008-08-25,101-1804,ESDC,on
11,11,EPAY,"KLC College:Healthcare, Business, Education-Smith Falls",Private Institution,"55 Town Centre Court,  Suite 800,  Toronto,  Ontario,  Canada,  ",2008-08-25,(613) 284-1991,ESDC,on
12,12,EPAZ,"KLC College:Healthcare, Business, Education-Whitby",Private Institution,"1615 Dundas St. E.,  Unit 214,  Whitby,  Ontario,  Canada,  ",2008-11-06,(888) 732-0326,ESDC,on
13,13,EPBA,CTS Canadian Career College-Sault Ste Marie.,Private Institution,"100 Churchill Ave.,  Sault Ste. Marie,  Ontario,  Canada,  ",2009-04-29,(705) 946-3933,ESDC,on
14,14,EPBF,Canada's National Ballet School,Private Institution,"400 Jarvis Street,  Toronto,  Ontario,  Canada,  ",1988-12-21,4169643780,ESDC,on
15,15,EPBG,Trillium College Inc.-St Catharines,Private Institution,"60 James St.,  2nd floor,  St. Catherines,  Ontario,  Canada,  ",2009-06-26,(905) 448-4130,ESDC,on
16,16,EPBH,Career College Group Medix-Brampton,Private Institution,"499 Main Street S,  Unit 60,  Brampton,  Ontario,  Canada,  ",2009-07-22,(905) 487-1163,ESDC,on
17,17,EPBM,Trillium College Inc-Toronto,Private Institution,"869 Yonge St.,  Toronto,  Ontario,  Canada,  ",2010-06-22,(905) 448-4130,ESDC,on
18,18,EPBP,Tyndale University,Private Institution,"3377 Bayview Ave.,  Toronto,  Ontario,  Canada,  ",1988-12-21,4162266620,ESDC,on
19,19,EPBT,Toronto Film School,Private Institution,"2000 Steeles Avenue West,  Unit 1,  Concord,  Ontario,  Canada,  ",1988-12-21,(416) 669-0544,ESDC,on
20,20,EPBX,Computek College of Business Healthcare & Technology-Toronto,Private Institution,"2390 Eglinton Ave. E., #248,  Toronto, ON,  Ontario,  Canada,  ",2010-03-02,(416) 285-9941,ESDC,on
21,21,EPCC,Toronto Montessori Teacher Training Institute,Private Institution,"8569 Bayview Avenue,  Richmond Hill,  Ontario,  Canada,  ",1988-12-21,9058896882,ESDC,on
22,22,EPCG,Westervelt College - Windsor,Private Institution,"630 Tecumseh Road East,  Windsor,  Ontario,  Canada,  ",1988-12-21,5196682000,ESDC,on
23,23,EPCH,Willis Business College Limited,Private Institution,"1200 St. Laurent Blvd. Unit 20,  Ottawa,  Ontario,  Canada,  ",1988-12-21,6132331128,ESDC,on
24,24,EPCI,West End Academy,Private Institution,"Merivale Mall,  1642 Merivale Road,  Unit 15A,  Ottawa,  Ontario,  Canada,  ",2010-03-09,6138281818,ESDC,on
25,25,EPCJ,Computek College of Business Healthcare & Technology-Markham,Private Institution,"202-7 Eastvale Drive,  Markham,  Ontario,  Canada,  ",2010-05-18,(905) 471-3344,ESDC,on
26,26,EPCK,Canadian Memorial Chiropractic College,Private Institution,"6100 Leslie Street,  Toronto,  Ontario,  Canada,  ",1988-12-21,4164822340,ESDC,on
27,27,EPCM,"KLC College:Healthcare, Business, Education-Richmond Hill",Private Institution," Leslie St.,  Richmond Hill, ON,  Ontario,  Canada,  ",2010-05-18,201-9005,ESDC,on
28,28,EPCN,Master's College & Seminary,Private Institution,"780 Argyle Street,  Peterborough,  Ontario,  Canada,  ",1988-12-21,(705) 749-0725,ESDC,on
29,29,EPCP,Emmanuel Bible College,Private Institution,"100 Fergus Ave.,  Kitchener,  Ontario,  Canada,  ",1988-12-21,5198948900,ESDC,on
30,30,EPCQ,The Glenn Gould School of Royal Conservatory of Music,Private Institution,"273 Bloor St. W.,  Room 204,  Toronto, ON,  Ontario,  Canada,  ",2010-06-04,(416) 408-2824,ESDC,on
31,31,EPCT,"Anderson College of Health, Business & Technology",Private Institution,"31 King St. E.,  Suite 200,  Hamilton, ON,  Ontario,  Canada,  ",2010-09-08,(902) 273-6656,ESDC,on
32,32,EPCU,Trios College -Scarborough,Private Institution,"1333 Kennedy Rd.,  Unit 1,  Scarborough,  Ontario,  Canada,  ",2011-02-07,(416) 646-1222,ESDC,on
