,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
0,0,IJAA,Holland College - Prince of Wales Campus,Junior College,"140 Weymouth Street,  Charlottetown,  Prince Edward Island,  Canada,  ",1988-12-21,9026294217,ESDC,pe
1,1,IJAC,Holland College - Summerside Waterfront Campus,Junior College,"98 Water Street,  Summerside,  Prince Edward Island,  Canada,   6448",1995-02-13,902 888,ESDC,pe
2,2,IJAD,Holland College - Atlantic Police Academy,Junior College,"P.O. Box 156,  66 Argus Street,  Slemon Park,  Prince Edward Island,  Canada,  ",1995-02-13,9028886700,ESDC,pe
3,3,IJAE,Collège de l'île,Junior College,"P.O. Box 159,  Wellington,  Prince Edward Island,  Canada,  ",1995-08-15,(877) 854-3010,ESDC,pe
4,4,IJAF,Holland College - Georgetown Centre,Junior College,"117 Kent Street,  Georgetown,  Prince Edward Island,  Canada,  ",2000-06-08,9026522055,ESDC,pe
5,5,INAC,Marguerite Connolly Training & Consulting,Nursing Schools,"55 Grafton Street,  Charlottetown,  Prince Edward Island,  Canada,  ",,(902) 566-9705,ESDC,pe
6,6,IPAA,Maritime Christian College,Private Institution,"503 University Avenue,  Charlottetown,  Prince Edward Island,  Canada,  ",1988-12-21,9026288887,ESDC,pe
7,7,IPAD,Private Institute of Hair Design & Aesthetics,Private Institution,"40 Enman Crescent,  Charlottetown,  Prince Edward Island,  Canada,  ",1990-09-20,(902) 628-1563,ESDC,pe
8,8,IPAJ,JVI Transportation And Safety Academy,Private Institution,"75 Kensington Road,  Charlottetown,  Prince Edward Island,  Canada,  ",1993-09-08,(902) 894-5726,ESDC,pe
9,9,IPAK,Hair Concepts Training Academy,Private Institution,"186 MacEwen Road,  Summerside,  Prince Edward Island,  Canada,  ",1994-02-14,(902) 439-6825,ESDC,pe
10,10,IPAN,Academy of Learning,Private Institution,"55 Grafton St,  Charlottetown,  Prince Edward Island,  Canada,  ",1995-01-26,9028948973,ESDC,pe
11,11,IPBI,Homburg Institute,Private Institution,"98 Fitzroy Street,  Charlottetown,  Prince Edward Island,  Canada,  ",2013-05-07,902-566-3956,ESDC,pe
12,12,IPBK,Atlantic Commercial Diving Centre Inc,Private Institution,"100 Industrial Crescent,  P.O. Box 1642,  Summerside,  Prince Edward Island,  Canada,",2020-07-22,,ESDC,pe
13,13,IUAA,University of Prince Edward Island,University,"550 University Ave.,  Charlottetown,  Prince Edward Island,  Canada,  ",1988-12-21,9025660439,ESDC,pe
14,14,IVAE,Holland College - Tourism and Culinary Centre,Technical and Vocational,"4 Sydney Street,  Charlottetown,  Prince Edward Island,  Canada,  ",1997-06-16,(902) 894-6805,ESDC,pe
