,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
0,0,FJAA,College Ahuntsic,Junior College,"9155 Rue St-Hubert,  Montreal,  Quebec,  Canada,  ",2018-02-23,(514) 389-5921,ESDC,qu
1,1,FJAB,College de Chicoutimi,Junior College,"534 Est Rue Jaques-Cartier,  Chicoutimi,  Quebec,  Canada,  ",1988-12-21,4185499520,ESDC,qu
2,2,FJAF,College de Saint-Felicien,Junior College,"1105 Boul. Hamel C.P. 7300,  St. Felicien,  Quebec,  Canada,  ",2012-06-26,(418) 679-5412,ESDC,qu
3,3,FJAG,Dawson College (Cegep),Junior College,"3040 Sherbrooke Street W.,  Montreal,  Quebec,  Canada,  ",2014-02-14,5149318731,ESDC,qu
4,4,FJAI,Cegep - College de la Gaspesie et des Iles,Junior College,"96, rue Jacques Cartier,  Gaspe,  Quebec,  Canada,  ",2012-12-13,(418) 368-2201,ESDC,qu
5,5,FJAM,John Abbott College (Cegep),Junior College,"21 275 Lakeshore Rd.,  Ste. Anne De Bellevue,  Quebec,  Canada,  ",2019-03-29,(514) 457-6610,ESDC,qu
6,6,FJAN,College de Jonquiere (Cegep),Junior College,"2505 Rue St.-Hubert,  Jonquiere,  Quebec,  Canada,  ",2020-09-16,(418) 547-2191,ESDC,qu
7,7,FJAP,College de Levis-Lauzon,Junior College,"205 Mgr. Bourget,  Lauzon,  Quebec,  Canada,  ",2016-10-03,(418) 833-5110,ESDC,qu
8,8,FJAQ,College de Saint-Jerome,Junior College,"455 Rue Fournier,  Saint-Jerome,  Quebec,  Canada,  ",2017-06-26,(450) 436-1580,ESDC,qu
9,9,FJAR,"College de Victoriaville,",Junior College,"475 Notre-Dame Est,  Victoriaville,  Quebec,  Canada,  ",2019-03-21,(819) 758-6401,ESDC,qu
10,10,FJAS,College Montmorency (Cegep),Junior College,"475 Blvd. De L'Avenir,  Laval,  Quebec,  Canada,  ",2012-09-27,(514) 975-6100,ESDC,qu
11,11,FJAV,College de Maisonneuve,Junior College,"3800 Est Rue Sherbrooke,  Montreal,  Quebec,  Canada,  ",2018-06-21,(514) 254-7131,ESDC,qu
12,12,FJBA,CEGEP de la Pocatiere,Junior College,"140, 4ieme Ave,  La Pocatiere,  Quebec,  Canada,  ",2013-12-18,(418) 856-1525,ESDC,qu
13,13,FJBB,Champlain Regional College - St Lambert Longueuil Campus,Junior College,"900 Riverside Drive,  St Lambert,  Quebec,  Canada,  ",2016-10-19,(450) 672-7360,ESDC,qu
14,14,FJBC,Champlain College Lennoxville,Junior College,"2580 College Street,  Sherbrooke,  Quebec,  Canada,  ",1988-12-21,(819) 564-3666,ESDC,qu
15,15,FJBE,College de Rimouski,Junior College,"60 Rue De L'Eveche Ouest,  Rimouski,  Quebec,  Canada,  ",1988-12-21,(418) 723-1880,ESDC,qu
16,16,FJBF,Cegep de l'Abitibi-Temiscamingue,Junior College,"425, boulevard du College,  Rouyn-Noranda,  Quebec,  Canada,  ",2018-09-18,819-762-0931,ESDC,qu
17,17,FJBM,College de Trois-Rivieres (Cegep),Junior College,"3500 Rue De Courval,  Trois-Rivieres,  Quebec,  Canada,  ",2017-03-07,(819) 376-1721,ESDC,qu
18,18,FJBN,Vanier College (Cegep),Junior College,"821 St. Croix Street,  Laurent,  Quebec,  Canada,  ",2005-09-06,5147447500,ESDC,qu
19,19,FJBO,CEGEP du Vieux-Montreal,Junior College,"N/A,  255 Rue Ontario Est,  Montreal,  Quebec,  Canada,  ",2012-11-07,(514) 982-3437,ESDC,qu
20,20,FJBT,CEGEP DE THETFORD,Junior College,"671 boul Frontenac Ouest,  Thetford Mines, Quebec,  Quebec,  Canada,  ",2019-01-07,(418) 338-5591,ESDC,qu
21,21,FJBV,College de Bois-De-Boulogne,Junior College,"10555 Avenue De,  Bois-De-Boulogne,  Montreal,  Quebec,  Canada,  ",2018-09-19,(514) 332-3000,ESDC,qu
22,22,FJBW,College de Rosemont (Cegep),Junior College,"6400 16 E. Ave.,  Montreal,  Quebec,  Canada,  ",2018-09-13,(514) 376-1620,ESDC,qu
23,23,FJCB,Cegep de la Gaspesie et des Iles - Carleton,Junior College,"776 Boulevard Perron,  Carleton-Sur-Mer,  Quebec,  Canada,",2016-09-23,,ESDC,qu
24,24,FJCC,Cegep Saint-Jean-Sur-Richelieu,Junior College,"C.P. 1018,  30 boul du Seminaire,  Saint-Jean-Sur-Richelieu,  Quebec,  Canada,  ",2019-05-10,(514) 347-5301,ESDC,qu
25,25,FJCE,College de Valleyfield,Junior College,"169 Rue Champlain,  Valleyfield,  Quebec,  Canada,  ",2019-10-02,5143739441,ESDC,qu
26,26,FJCK,Heritage College - Cegep,Junior College,"325, boul. Cite des Jeunes,  Gatineau,  Quebec,  Canada,  ",2017-12-06,8197782270,ESDC,qu
27,27,FJCT,Cegep Baie-Comeau,Junior College,"537 Bleau,  Baie-Comeau,  Quebec,  Canada,  ",2018-02-09,(418) 589-5707,ESDC,qu
28,28,FJCY,Centre de Formation Proffessionelle (C.F.P.) Limoilou,Junior College,"2050 8e Ave.,  Quebec,  Quebec,  Canada,  ",2017-02-28,(418) 525-8182,ESDC,qu
29,29,FJDD,Centre de Formation Professionnelle (C.F.P.) Relance,Junior College,"155, Mgr. Ross Ouest,  C.P. 1268,  Chandler,  Quebec,  Canada,  ",2016-12-05,4186893911,ESDC,qu
30,30,FJDF,TAV College,Junior College,"6333 Decarie Boulevard ,  Montreal,  Quebec,  Canada,  ",2017-02-09,(514) 731-2296,ESDC,qu
31,31,FJDO,College Ultra De Montreal,Junior College,"502, 1255 Boulevard,  Robert-Bourassa,  Montreal,  Quebec,  Canada,  ",2016-02-02,5142252540,ESDC,qu
32,32,FJDP,Cegep Garneau,Junior College,"1660 Boulevard de l entente,  Quebec City,  Quebec,  Canada,  ",2016-07-28,4186888310,ESDC,qu
33,33,FJDQ,Ecole de Technologie Superieure,Junior College,"1100 Notre Dame Street West,  Montreal ,  Quebec,  Canada,  ",2018-03-02,5143968800,ESDC,qu
34,34,FJDR,CEGEP de Sherbrooke,Junior College,"475 Rue du Cegep,  Sherbrooke,  Quebec,  Canada,  ",2019-02-14,8195646350,ESDC,qu
35,35,FJDS,Centre de Formation Professionnelle de la Baie-James,Junior College,"265-A Rue Lanctot,  Chibougamau,  Quebec,  Canada,",2019-08-21,,ESDC,qu
36,36,FJDT,College Salette,Junior College,"3536 Boul. St-Laurent,  Montreal,  Quebec,  Canada,",2019-08-28,,ESDC,qu
37,37,FJDU,Campus D’Effets Visuels Inc.,Junior College,"226 ave Papineau #105,  Montreal,  Quebec,  Canada,",2020-02-27,,ESDC,qu
38,38,FJDV,College Air Richelieu,Junior College,"5800 Route De l’Aeroport,  St-Hubert,  Quebec,  Canada,",2020-06-01,,ESDC,qu
39,39,FPAA,Herzing College (Montreal),Private Institution,"1616 Rene Levesque Blvd.,  Montreal,  Quebec,  Canada,  ",2013-07-03,514-935-7494,ESDC,qu
40,40,FPAF,"CDI College of Business, Technology, Health Care",Private Institution,"416, boulevard de,  Maisonneuve Ouest,  Montreal,  Quebec,  Canada,  ",2018-05-08,5148494757,ESDC,qu
41,41,FPAL,National Theatre School of Canada,Private Institution,"5030 Saint - Dennis,  Montreal,  Quebec,  Canada,  ",1988-12-21,5148427954,ESDC,qu
42,42,FPAN,College O'sullivan de Montreal,Private Institution,"1191, rue de la Montagne,  Montreal,  Quebec,  Canada,  ",2020-09-16,(514) 866-4622,ESDC,qu
43,43,FPBC,Bart College,Private Institution,"751 Cote D'Abraham,  Quebec,  Quebec,  Canada,  ",2015-12-02,(418) 522-3906,ESDC,qu
44,44,FPBH,Lasalle College,Private Institution,"2000 Sainte-Catherine St. W.,  R-D,  Montreal,  Quebec,  Canada,  ",1988-12-21,5149392006,ESDC,qu
45,45,FPBJ,College Lafleche,Private Institution,"1687 Blvd Du Carmel,  Trois-Rivieres,  Quebec,  Canada,  ",2017-10-18,(819) 375-7346,ESDC,qu
46,46,FPBN,College O'sullivan de Quebec,Private Institution,"600 Rue St-Jean,  Quebec,  Quebec,  Canada,  ",2017-09-01,(418) 529-3355,ESDC,qu
47,47,FPBZ,College de L'immobilier du Quebec,Private Institution,"600 Chemin du Golf,  Ile des Soeurs,  Quebec,  Canada,  ",2020-08-17,(514) 762-1862,ESDC,qu
48,48,FPCC,INSTITUT TECHNIQUE AVIRON MTL.,Private Institution,"5460 Royalmount,  Ville Mont-Royal,  Quebec,  Canada,",2009-03-25,,ESDC,qu
49,49,FPCM,Trebas Institute,Private Institution,"550 Sherbrooke Street West,  6th Floor,  East Tower,  Montreal,  Quebec,  Canada,  ",1988-12-21,5148454141,ESDC,qu
50,50,FPCX,College de Photographie Marsan,Private Institution,"3536 St. Laurent Blvd.,  Montreal,  Quebec,  Canada,  ",2018-01-31,(514) 525-3030,ESDC,qu
51,51,FPCY,College Inter-Dec,Private Institution,"2000 rue Sainte Catherine W,  Suite 8000,  Montreal,  Quebec,  Canada,  ",1988-12-21,5149394444,ESDC,qu
52,52,FPDP,Aviron Quebec Inc.,Private Institution,"270 Blvd. Charest,  Quebec,  Quebec,  Canada,  ",2013-02-19,(418) 529-1321,ESDC,qu
53,53,FPDS,Recording Arts Canada,Private Institution,"390, Notre-Dame Ouest,  Bureau 320,  Montreal,  Quebec,  Canada,  ",1994-09-12,5142864336,ESDC,qu
