,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
0,0,CJAA,Carlton Trail Regional College,Junior College,"Box 720,  611 - 17th Street,  Humboldt,  Saskatchewan,  Canada,  ",1988-12-21,(306) 682-2623,ESDC,sk
1,1,CJAC,Cumberland Regional College,Junior College,"Box 2225 ,  503-2nd Street East,  Nipawin,  Saskatchewan,  Canada,  ",1988-12-21,(306) 862-9833,ESDC,sk
2,2,CJAF,Northlands College,Junior College,"P. O. Box 1000,  Air Ronge,  Saskatchewan,  Canada,  ",1993-05-18,(306) 425-4480,ESDC,sk
3,3,CJAG,North West Regional College,Junior College,"10702 Diefenbaker Drive,  North Battleford,  Saskatchewan,  Canada,  ",1988-12-21,(306) 937-5100,ESDC,sk
4,4,CJAI,Parkland Regional College,Junior College,"200 Block 9th Avenue East,  P.O. Box 790,  Melville,  Saskatchewan,  Canada,  ",1988-12-21,(306) 563-6808,ESDC,sk
5,5,CJAM,Southeast Regional College,Junior College,"Box 1565,  Weyburn,  Saskatchewan,  Canada,  ",1988-12-21,(306) 848-2505,ESDC,sk
6,6,CJAR,Great Plains College,Junior College,"Box 700,  Biggar,  Saskatchewan,  Canada,  ",2009-05-28,(306) 948-3363,ESDC,sk
7,7,CJAT,Saskatchewan Indian Institute of Technologies,Junior College,"118 - 335 Packham Avenue,  Saskatoon,  Saskatchewan,  Canada,  ",1988-05-12,(306) 244-4444,ESDC,sk
8,8,CPAC,Briercrest College and Seminary,Private Institution,"510 College Dr.,  Caronport,  Saskatchewan,  Canada,  ",1988-12-21,(306) 756-3200,ESDC,sk
9,9,CPAG,Eston College,Private Institution,"Box 579,  Eston,  Saskatchewan,  Canada,  ",1988-12-21,(306) 962-3621,ESDC,sk
10,10,CPAM,Saskatoon Business College,Private Institution,"221 Third Ave. N,  Saskatoon,  Saskatchewan,  Canada,  ",1988-12-21,(306) 244-6333,ESDC,sk
11,11,CPAO,Horizon College & Seminary,Private Institution,"1303 Jackson Ave.,  Saskatoon,  Saskatchewan,  Canada,  ",1988-12-21,(306) 374-6655,ESDC,sk
12,12,CPAU,Saskatoon Spa Academy Ltd,Private Institution,"511 J 33rd Street West ,  Saskatoon,  Saskatchewan,  Canada,",2011-01-11,,ESDC,sk
13,13,CPAV,Southeast Aviation Services,Private Institution,"PO Box 1701 STN Main ,  Estevan,  Saskatchewan,  Canada,",2011-05-12,,ESDC,sk
14,14,CPAW,The Globe Theatre Conservatory,Private Institution,"1801 Scarth Street, 4th Floor ,  Regina,  Saskatchewan,  Canada,  ",2012-04-19,306-525-9553,ESDC,sk
15,15,CPAX,The Recording Arts Institute of Saskatoon,Private Institution,"1926 Alberta Avenue,  Saskatoon,  Saskatchewan,  Canada,  ",2012-10-15,3062926744,ESDC,sk
16,16,CPAZ,Apex Academy of Professional Grooming and Animal Arts,Private Institution,"1180 Winnipeg Street,  Regina,  Saskatchewan,  Canada,",2014-03-19,,ESDC,sk
17,17,CPBA,Millar College of the Bible,Private Institution,"Box 25,  Pamburn,  Saskatchewan,  Canada,  ",1988-12-21,(306) 582-2033,ESDC,sk
18,18,CPBD,Nipawin Bible College,Private Institution,"Box 1986,  Highway 35 South,  Nipawin,  Saskatchewan,  Canada,  ",1988-12-21,(306) 862-5095,ESDC,sk
19,19,CPBE,THE STYLE ACADEMY INC.,Private Institution,"2455 Broad St,  Regina,  Saskatchewan,  Canada,  ",1988-12-21,(306) 522-2077,ESDC,sk
20,20,CPBH,Elite Hairstyling & Esthetics Training Center,Private Institution,"228 2nd Ave NW,  Moose Jaw,  Saskatchewan,  Canada,",2015-03-27,,ESDC,sk
21,21,CPBI,Axiom Career College,Private Institution,"2345 Ave C North, Unit #1,  Saskatoon,  Saskatchewan,  Canada,",2017-07-26,,ESDC,sk
22,22,CPBL,Regina Flying Club,Private Institution,"2610 Airport Road,  Regina,  Saskatchewan,  Canada,  ",1988-12-21,(306) 525-6194,ESDC,sk
23,23,CPBN,Western Academy Broadcasting College Ltd,Private Institution,"P.O. Box 6082,  Saskatoon,  Saskatchewan,  Canada,  ",1988-12-21,3066651771,ESDC,sk
24,24,CPBY,Mckay Career Training Inc.,Private Institution,"133 Third Avenue North,  Saskatoon,  Saskatchewan,  Canada,  ",1988-12-21,(306) 955-1616,ESDC,sk
25,25,CPCJ,Faith Alive Bible College,Private Institution,"637 University Drive,  Saskatoon,  Saskatchewan,  Canada,  ",1988-08-30,(306) 652-2230,ESDC,sk
26,26,CPDH,Avant-Garde College,Private Institution,"1033 - 8th Avenue,  Regina,  Saskatchewan,  Canada,  ",1988-03-24,(306) 522-5900,ESDC,sk
27,27,CPDN,Mitchinson Flying Service,Private Institution,"2620 Thayer Ave,  Saskatoon,  Saskatchewan,  Canada,  ",1989-01-23,(306) 244-6714,ESDC,sk
28,28,CPDT,MC College,Private Institution,"228 - 21st Street East,  Saskatoon,  Saskatchewan,  Canada,  ",1989-11-09,(306) 664-2474,ESDC,sk
29,29,CPED,The Sasktoon Academy of Learning,Private Institution,"1202 A Quebec Avenue,  Saskatoon,  Saskatchewan,  Canada,  ",1993-03-16,(306) 373-8700,ESDC,sk
30,30,CPEE,Professional Institute of Massage Therapy,Private Institution,"114 - 701 Cynthia Street ,  Saskatoon,  Saskatchewan,  Canada,  ",1993-06-28,(306) 955-5833,ESDC,sk
31,31,CPEF,Timeless Instruments,Private Institution,"Box 51,  Tugaske,  Saskatchewan,  Canada,  ",1993-11-17,(306) 759-2042,ESDC,sk
32,32,CPHJ,Nipawin Flight Center,Private Institution,"Box 209,  Nipawin,  Saskatchewan,  Canada,  ",1997-03-20,(306) 862-4451,ESDC,sk
33,33,CPHP,Western College of Remedial Massage Therapies Inc.,Private Institution,"832 McCarthy Boulevard ,  Regina,  Saskatchewan,  Canada,  ",1998-04-08,(306) 757-2242,ESDC,sk
34,34,CPHQ,Academy of Learning,Private Institution,"1th Street,  North Battleford,  Saskatchewan,  Canada,  ",1998-04-08,492-105,ESDC,sk
35,35,CPHR,Academy of Fashion Design,Private Institution,"625-B 1st Avenue North,  Saskatoon,  Saskatchewan,  Canada,  ",1998-05-29,3069789088,ESDC,sk
36,36,CPHW,Leading Edge Aviation Limited,Private Institution,"P.O. Box 1477,  Yorkton,  Saskatchewan,  Canada,  ",1998-10-29,(306) 783-0321,ESDC,sk
37,37,CPID,Millennium Aviation,Private Institution,"#6 Hangar Row,  Saskatoon Airport,  Wayne Hicks Lane,  Saskatoon,  Saskatchewan,  Canada,  ",2001-02-07,(306) 384-4230,ESDC,sk
38,38,CPII,RCMP Training Academy,Private Institution,"Cadet Training Centre,  P.O. Box 6500,  Regina,  Saskatchewan,  Canada,  ",1999-05-27,(306) 780-5820,ESDC,sk
39,39,CUAB,University of Regina,University,"Student Awards & Financial Aid,  Administration-Humanities 207,  3737 Wascana Parkway,  Regina,  Saskatchewan,  Canada,  ",1988-12-21,(306) 585-4111,ESDC,sk
40,40,CUAC,University of Saskatchewan,University,"Financial Services Division,  Administration Bldg - Room E40,  105 Administration Place,  Saskatoon,  Saskatchewan,  Canada,  ",1988-12-21,3069668670,ESDC,sk
41,41,CUAD,Lutheran Theological Seminary,University,"114 Seminary Cres.,  Saskatoon,  Saskatchewan,  Canada,  ",1988-12-21,(306) 966-7850,ESDC,sk
42,42,CUAE,The College of Emmanuel & St. Chad,University,"114 Seminary Crescent,  Saskatoon,  Saskatchewan,  Canada,  ",1988-12-21,(306) 975-3753,ESDC,sk
43,43,CUAF,St. Andrew's College,University,"1121 College Dr.,  Saskatoon,  Saskatchewan,  Canada,  ",1988-12-21,(306) 966-8970,ESDC,sk
44,44,CUAG,University of Regina Campion College,University," Wascana Pkwy.,  Regina,  Saskatchewan,  Canada,  ",1988-12-21,100-3737,ESDC,sk
45,45,CUAH,University of Regina Luther College,University," Wascana Pkwy,  Regina,  Saskatchewan,  Canada,  ",1988-12-21,100-3737,ESDC,sk
46,46,CUAI,St. Peter's College,University,"P. O. Box 40,  Muenster,  Saskatchewan,  Canada,  ",1988-12-21,(306) 682-7888,ESDC,sk
47,47,CUAJ,First Nations University of Canada,University,"1 First Nations Way,  Regina,  Saskatchewan,  Canada,  ",1988-12-21,3065468400,ESDC,sk
48,48,CUAL,Gabriel Dumont Institute,University,"917 22nd Street,  Saskatoon,  Saskatchewan,  Canada,  ",2009-05-28,(306) 242-6070,ESDC,sk
49,49,CVAB,Saskatoon Health Region Orthoptic Program,Technical and Vocational,"Eye Care Centre,  Saskatoon City Hospital,  701 Queen Street,  Saskatoon,  Saskatchewan,  Canada,  ",2005-08-25,(306) 655-8000,ESDC,sk
50,50,CVAF,Dumont Technical Institute,Technical and Vocational,"917 22nd Street West,  Saskatoon,  Saskatchewan,  Canada,  ",2009-05-28,(306) 242-6070,ESDC,sk
51,51,CVAH,Saskatchewan Polytechnic Moose Jaw Campus,Technical and Vocational,"P.O. Box 1420,  Moose Jaw,  Saskatchewan,  Canada,  ",1988-01-11,(306) 694-3200,ESDC,sk
52,52,CVAM,Saskatchewan Polytechnic Regina Campus,Technical and Vocational,"P.O. Box 556,  Regina,  Saskatchewan,  Canada,  ",1988-01-11,(306) 565-4356,ESDC,sk
53,53,CVAP,Saskatchewan Polytechnic Saskatoon Campus,Technical and Vocational,"1130 Idylwyld Dr. N.,  P.O. Box 1520,  Saskatoon,  Saskatchewan,  Canada,  ",1988-01-11,(306) 933-6440,ESDC,sk
54,54,CVAU,Saskatchewan Polytechnic Prince Albert Campus,Technical and Vocational,"1100-15th St. E.,  P.O. Box 3003,  Prince Albert,  Saskatchewan,  Canada,  ",1971-08-31,(306) 953-7000,ESDC,sk
55,55,CZAA,College Mathieu,Miscellaneous,"C.P. 989,  Gravelbourg,  Saskatchewan,  Canada,",2010-04-20,,ESDC,sk
